segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,line,0.0,1.526275,-0.037212,0.284148,521,1.557729,11.533558,7e-06,0.069758,1.865253,-5.278397,5.531699,0.000262,0.281043,1.554644
2,arc,1.526275,2.802346,0.284148,-0.473596,418,1.494235,-31.350958,0.000114,0.089168,6.781463,7.47947,8.892813,5e-06,0.166906,1.484265
3,arc,2.802346,3.904984,-0.473596,-0.910984,365,1.186816,-21.70935,6.4e-05,0.064111,5.968799,5.864735,7.083888,1e-06,0.167643,1.187563
4,arc,3.904984,5.151594,-0.910984,-1.150066,417,1.26935,-10.861414,0.000107,0.067504,5.646079,4.779532,5.949975,0.0,0.21372,1.271626
5,arc,5.151594,6.477398,-1.150066,-1.065856,449,1.328369,3.561583,0.000211,0.085285,5.533011,3.406494,4.571322,0.0,0.291617,1.333073
6,arc,6.477398,7.580952,-1.065856,-0.65128,379,1.178462,20.538662,0.000212,0.1029,5.691604,2.694395,3.841443,0.0,0.30806,1.183396
7,arc,7.580952,8.453153,-0.65128,0.063916,305,1.122546,39.014724,0.000312,0.159537,5.840245,2.371429,3.486326,0.0,0.324893,1.132682
8,arc,8.453153,9.26969,0.063916,1.637641,296,1.723451,61.720026,0.00495,0.695172,5.756101,2.440334,3.594024,5e-06,0.497685,1.78869
9,line,9.26969,10.873256,1.637641,2.173864,544,1.650014,13.627054,0.000703,0.417465,10.704876,-0.648264,2.757337,0.000784,0.620234,1.710193
10,arc,10.873256,11.989634,2.173864,2.208692,375,1.121722,5.595146,0.001044,0.273669,11.557542,0.946989,1.356317,0.000227,0.83872,1.137569
11,arc,11.989634,12.944457,2.208692,0.186989,298,2.250442,-64.894748,4.8e-05,0.304466,-32.07457,-19.667747,49.194031,6e-06,0.045448,2.235776
12,arc,12.944457,13.880527,0.186989,-0.136562,311,0.95349,-10.969066,0.006374,0.768468,13.485237,0.308347,0.551919,0.000345,2.07645,1.146033
13,arc,13.880527,15.498227,-0.136562,-0.882684,534,1.824519,-27.545375,0.07444,1.503165,14.516048,-0.442966,0.84355,0.004924,3.113281,2.626209
