segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,line,0.0,1.633948,-0.030012,0.331348,547,1.672892,12.387114,6e-06,0.068157,1.299722,-2.050778,2.301896,0.002038,0.710964,1.636564
2,arc,1.633948,2.909623,0.331348,-0.40651,410,1.483007,-30.661486,0.000115,0.086446,6.699646,7.426255,8.701186,5e-06,0.169395,1.473941
3,arc,2.909623,3.799852,-0.40651,-0.763182,289,0.959072,-21.841059,2.5e-05,0.049601,6.108244,6.278467,7.409837,0.0,0.129503,0.959595
4,arc,3.799852,5.255154,-0.763182,-1.043933,477,1.482417,-10.975418,0.000192,0.076701,5.67721,5.003892,6.06267,1e-06,0.245038,1.485585
5,arc,5.255154,6.582513,-1.043933,-0.938711,441,1.331374,4.450874,0.000212,0.085387,5.565606,3.536533,4.589745,0.0,0.291109,1.336117
6,arc,6.582513,7.692381,-0.938711,-0.502628,374,1.191953,21.387688,0.000217,0.103985,5.726176,2.8652,3.89908,0.0,0.307009,1.197051
7,arc,7.692381,9.218448,-0.502628,1.31916,529,2.309042,48.630731,0.007879,0.49957,5.819442,2.610557,3.632964,1e-06,0.666101,2.419921
8,arc,9.218448,10.146288,1.31916,2.187565,316,1.132253,34.968899,0.012598,1.141611,10.003775,1.406425,0.748752,0.00033,1.86192,1.394116
9,line,10.146288,11.017405,2.187565,2.371419,289,0.893747,12.920563,5e-06,0.079371,9.594704,6.580997,4.423017,4.1e-05,0.201022,0.889123
10,arc,11.017405,12.094307,2.371419,2.426213,355,1.083212,6.187376,0.001033,0.274874,11.688513,1.218713,1.295266,0.000187,0.851434,1.102833
11,arc,12.094307,13.050971,2.426213,0.417739,293,2.240442,-64.722836,4.8e-05,0.297731,-31.312075,-19.296496,48.537146,6e-06,0.045833,2.224616
12,arc,13.050971,13.983898,0.417739,0.10489,304,0.94762,-10.102763,0.006294,0.756999,13.582981,0.541522,0.545092,0.00036,2.084976,1.136503
13,arc,13.983898,14.869783,0.10489,0.630219,298,0.970496,24.102437,0.007365,1.140357,14.606551,0.095122,0.608948,0.000444,2.012283,1.225375
14,arc,14.869783,15.813732,0.630219,-1.067319,291,2.070141,-62.871797,0.004897,0.667139,12.545223,-1.564723,3.219536,0.001135,0.605704,1.950086
