parameter,label,value
x_span,x_span,16.562987
z_span,z_span,8.177693
slot_width,槽口宽度代理值,11.877933
arc_radius_mean,圆弧半径中位数,4.518839
arc_radius_min,arc_radius_min,0.626694
arc_radius_max,arc_radius_max,9.963816
center_distance_mean,相邻圆心距离中位数,1.526614
arc_length_total,圆弧长度总和,21.759746
horizontal_line_length_total,水平线段长度总和,0.0
slant_line_length_total,斜线线段长度总和,3.658553
line_length_total,line_length_total,3.658553
slant_angle_deg,斜线与水平夹角中位数,17.305586
herringbone_height,人字形线高度代理值,4.004556
