segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,line,0.0,0.993121,-0.031333,0.164304,357,1.009736,10.408456,1.2e-05,0.099926,0.219883,1.569522,1.560773,0.000587,0.639544,0.998182
2,line,0.993121,1.944603,0.164304,-0.415943,325,1.133263,-32.902607,3.5e-05,0.14773,4.199167,4.104894,5.040365,6.5e-05,0.220365,1.11072
3,arc,1.944603,2.937276,-0.415943,-0.8845,342,1.098401,-25.345379,4.7e-05,0.060309,5.528586,5.859171,7.224446,1e-06,0.152068,1.098605
4,arc,2.937276,3.981871,-0.8845,-1.192083,364,1.088754,-16.374199,4.2e-05,0.060697,5.453,5.73584,7.082149,1e-06,0.153907,1.089989
5,arc,3.981871,4.960448,-1.192083,-1.304696,345,0.98503,-6.562102,4.2e-05,0.052171,5.112315,4.314926,5.620437,0.0,0.175443,0.986068
6,arc,4.960448,5.958313,-1.304696,-1.22413,356,1.001068,4.584152,5.9e-05,0.059391,5.069547,3.593362,4.897229,0.0,0.204706,1.002494
7,arc,5.958313,6.948207,-1.22413,-0.90759,358,1.038287,17.561767,0.000107,0.083623,5.221718,2.814033,4.102841,0.0,0.253934,1.041852
8,arc,6.948207,8.19798,-0.90759,0.038631,462,1.560643,36.792847,0.000973,0.201384,5.382661,2.45523,3.709743,0.0,0.425754,1.579438
9,arc,8.19798,8.958807,0.038631,1.406154,295,1.533151,60.247761,0.002261,0.551313,5.235429,2.573199,3.899961,1e-06,0.403961,1.57543
10,arc,8.958807,9.788608,1.406154,1.764002,299,0.870558,17.601355,0.000799,0.581811,9.66007,0.732363,1.01086,0.000195,0.929332,0.939425
11,line,9.788608,11.048847,1.764002,2.01096,449,1.283054,10.821053,8e-06,0.057609,11.618221,-4.390945,6.399858,8.5e-05,0.200235,1.281478
12,arc,11.048847,11.917007,2.01096,1.571349,300,0.913344,-18.097565,0.007138,0.867395,11.368005,1.536294,0.532854,0.000169,2.098979,1.11845
13,arc,11.917007,13.609521,1.571349,-0.289837,566,2.590567,-49.20631,0.085408,1.277776,13.428213,0.892447,1.327849,0.013263,2.145192,2.848491
14,arc,13.609521,14.716888,-0.289837,-0.069791,395,1.111088,4.690785,0.010677,1.131329,14.185659,-0.402843,0.599522,0.0005,2.38791,1.431604
