parameter,label,value
x_span,x_span,14.435613
z_span,z_span,11.188884
slot_width,槽口宽度代理值,13.954268
arc_radius_mean,圆弧半径中位数,6.127473
arc_radius_min,arc_radius_min,0.505904
arc_radius_max,arc_radius_max,27.744728
center_distance_mean,相邻圆心距离中位数,1.167985
arc_length_total,圆弧长度总和,27.789379
horizontal_line_length_total,水平线段长度总和,0.0
slant_line_length_total,斜线线段长度总和,0.996152
line_length_total,line_length_total,0.996152
slant_angle_deg,斜线与水平夹角中位数,32.452857
herringbone_height,人字形线高度代理值,6.44171
