task_id,lat,lon,members_within_3km,quota_within_3km,credit_within_3km,nearest_member_km
A0001,22.566142254795,113.980836777953,18,252.0,39617.64889999999,1.5048366303419212
A0002,22.6862052598878,113.940525211308,24,80.0,808.8261,0.30668338142217183
A0003,22.5765118283363,113.95719800411,16,240.0,38704.4542,0.4977280415854705
A0004,22.5648408102711,114.24457109293,1,1.0,0.3636,1.0847346794230268
A0005,22.5588877510826,113.950722665736,19,351.0,49667.11119999999,0.29906310379745443
A0006,22.5589990603263,114.241317401629,1,1.0,0.3636,0.40225895324157407
A0007,22.5490037129604,113.97225969676,16,172.0,11661.2449,0.2528250375156119
A0008,22.5627735077314,113.956573538052,19,345.0,49647.187999999995,0.6006711998879952
A0009,22.5000119233833,113.895660567915,2,6.0,20.285300000000003,0.14434700755288524
A0010,22.5437860995949,113.923977803989,29,187.0,2915.0680999999995,0.2736459761154775
A0011,22.5248636906434,113.930859554515,31,162.0,1870.4935,0.15442683697818757
A0012,22.519087000679,113.935843611296,28,145.0,1751.3177,0.4545062035054633
A0013,22.5479724310799,113.977909038602,14,171.0,12451.830999999998,0.03888250223538628
A0014,22.5061687130557,113.931428439716,20,88.0,871.4309000000001,0.6906774334128706
A0015,22.4996256609397,113.936514493699,15,71.0,787.7128,0.306950503365201
A0016,22.540321415216,113.923645598933,30,200.0,3042.0537999999997,0.1175167514194972
A0017,22.5245541889304,113.92473190182,30,157.0,1850.5704,0.6479415197408768
A0018,22.4981900986281,113.898481737691,2,6.0,20.285300000000003,0.33842922681962817
A0019,22.5460394638191,113.974968421143,14,160.0,11555.5293,0.12807432842292715
A0020,22.497728920198,113.937337700868,12,47.0,459.0589,0.4388453620810303
A0021,22.4941624669753,113.927139030908,10,29.0,252.74280000000002,1.27159711792543
A0022,22.5159201164617,113.93567688759,27,144.0,1749.3254000000002,0.24531100452711813
A0023,22.5157856773782,113.94205574693,23,105.0,992.962,0.5634497453128449
A0024,22.5422096257037,114.019649276618,8,34.0,1062.0413999999998,0.4496308958470915
A0025,22.5445896135667,113.99866008452,12,51.0,1181.9481,1.0331073708933074
A0026,22.4930831267728,113.935839142226,9,25.0,234.4818,0.3931437120410453
A0027,22.5248894876791,113.919142922515,24,127.0,1517.5456,0.5136300011957927
A0028,22.5480858154297,113.945311875335,28,248.0,12747.812299999996,0.44905762550732475
A0029,22.5647073449243,113.982009250796,17,250.0,39617.649,1.4230948019277745
A0030,22.5819344788478,114.156395293242,13,33.0,605.5142,1.1186260573463997
A0031,22.5429361050784,114.131407227026,27,111.0,2532.8388999999997,0.3867598325719048
A0032,22.5239495360594,113.943441614942,28,149.0,1808.7241,0.35562155360098335
A0033,22.5510130545882,113.956744570929,18,184.0,11721.014299999999,0.2752580402130776
