point_id,x,y,distance_to_fit_center
1,8.963235,1.598013,7.309665
2,8.78597,2.547097,7.189619
3,8.702319,3.479975,7.284605
4,8.348487,4.379754,7.233382
5,7.842197,5.237655,7.15783
6,7.288836,5.997509,7.122868
7,6.852691,6.815467,7.335269
8,6.102383,7.474635,7.336472
9,5.339096,7.887225,7.252539
10,4.546174,8.460225,7.407445
11,3.524841,8.609089,7.215087
12,2.546499,8.912864,7.32661
13,1.699991,8.980294,7.339586
14,0.738978,8.900871,7.317414
15,-0.088951,8.625823,7.19907
16,-1.100115,8.435135,7.331147
17,-2.036272,8.011268,7.36193
18,-2.709586,7.413861,7.236423
19,-3.467849,6.873327,7.321815
20,-4.180695,5.98621,7.274766
21,-4.701008,5.292131,7.328988
22,-5.048474,4.393976,7.245602
23,-5.387172,3.447407,7.268937
24,-5.41219,2.652264,7.137904
25,-5.642765,1.666256,7.296504
26,-5.638695,0.698929,7.35297
27,-5.356833,-0.285082,7.270263
28,-4.999842,-1.165358,7.221107
29,-4.585521,-1.940272,7.193906
30,-4.07528,-2.873333,7.293767
31,-3.480909,-3.568908,7.314765
32,-2.742687,-4.135855,7.259377
33,-2.070102,-4.567127,7.239179
34,-1.136443,-5.191346,7.379962
35,-0.206045,-5.408003,7.290063
36,0.817583,-5.61467,7.303542
37,1.491863,-5.627329,7.269985
38,2.660055,-5.53706,7.248118
39,3.472722,-5.463508,7.333541
40,4.475739,-4.965856,7.184188
41,5.300177,-4.668569,7.287363
42,6.099216,-4.225251,7.360289
43,6.835097,-3.534741,7.323504
44,7.539902,-2.759366,7.349108
45,7.919373,-2.003141,7.24827
46,8.361608,-1.050834,7.227814
47,8.699702,-0.269612,7.300418
48,8.951452,0.713886,7.356394
