n,acceptance_number,reject_good_probability,accept_bad_probability
20,0,0.09538951972538245,0.4656019211445037
30,0,0.13961580808530394,0.31770360690057803
40,0,0.18167987897732574,0.2167851489734527
50,0,0.22168744293135811,0.14792340972744736
60,0,0.2597390423032955,0.10093558183763701
70,0,0.2959303039463702,0.06887342375134506
80,0,0.33035217952943585,0.04699580081544207
90,0,0.3630911741061219,0.03206759841442575
100,0,0.3942295635092721,0.021881335145394264
110,0,0.4238456011169962,0.014930735428247072
120,0,0.45201371450995786,0.010187991680902318
130,0,0.4788046925141124,0.006951779099492142
140,0,0.5042858630989493,0.0047435484992323414
150,0,0.5285212625783142,0.0032367617040957495
160,0,0.551571796539023,0.0022086052942847057
170,0,0.5734953929016985,0.0015070424677139386
180,0,0.5943471474984817,0.001028330868068881
190,0,0.6141794625334684,0.0007016818682139636
200,1,0.2642403473932631,0.0042096460309533745
210,1,0.28267298294351373,0.002999740637558298
220,1,0.3010619071528309,0.0021337285212424174
230,1,0.3193673360626892,0.0015152155557299676
240,1,0.33755348025933996,0.0010743474554368504
250,1,0.3555882493806516,0.0007606753263970239
260,1,0.37344297596835774,0.0005378758231097708
270,1,0.3910921574804136,0.00037986755669953964
280,1,0.40851321534782825,0.00026796945997805376
290,1,0.4256862700260102,0.0001888310144061402
300,1,0.44259393105259937,0.0001329307003056039
310,1,0.45922110118212744,9.349052128903746e-05
320,1,0.47555479372288834,6.569377958106884e-05
330,1,0.49158396225326983,4.612297305311065e-05
340,1,0.5072993419436922,3.235689829148272e-05
350,1,0.5226933017563746,2.2682533139599258e-05
360,1,0.537759706838574,1.588943222047216e-05
370,1,0.5524937904658569,1.1123286428025436e-05
380,1,0.5668920349305139,7.781805319056492e-06
390,1,0.5809520608065469,5.440810734895154e-06
400,2,0.3233230170874575,3.1570789001691744e-05
410,2,0.3368877153193284,2.2563747948458706e-05
420,2,0.35043586629880674,1.6109542088320363e-05
430,2,0.3639517039811777,1.1490032608704933e-05
440,2,0.3774203082391373,8.187364193937977e-06
450,2,0.3908275957790037,5.828666905165842e-06
460,2,0.40416030816583937,4.145845005848851e-06
470,2,0.4174059973478048,2.946395261521499e-06
480,2,0.43055300903460947,2.0922693028459615e-06
490,2,0.44359046425220483,1.4845897392804404e-06
500,2,0.45650823936570095,1.0526173078606554e-06
510,2,0.46929694483467665,7.457991824610267e-07
520,2,0.4819479029394511,5.280464626535141e-07
530,2,0.49445312469331704,3.7362169308778346e-07
540,2,0.5068052861340632,2.641873621490706e-07
550,2,0.5189977041681973,1.8669030275098078e-07
560,2,0.5310243121229983,1.3184707728366005e-07
570,2,0.5428796351447477,9.306086208820856e-08
580,2,0.5545587655661209,6.564774440574914e-08
590,2,0.5660573383516383,4.628461621256824e-08
600,3,0.352767642119343,2.651367600012389e-07
610,3,0.3639962964656134,1.8971226500589914e-07
620,3,0.37521573020234456,1.3564407453479092e-07
630,3,0.38641701795705186,9.691610378883986e-08
640,3,0.3975915611582579,6.919744819825325e-08
650,3,0.40873109228706717,4.9373296588401406e-08
660,3,0.41982767783521213,3.520550653843868e-08
670,3,0.4308737200597985,2.5087283738764017e-08
680,3,0.44186195762202374,1.7866071201320914e-08
690,3,0.45278546519405927,1.271581876589069e-08
