time_s,handle,x_m,y_m,speed_m_s,theta_rad
-100,龙头前把手,-25.123935,12.756881,1.0,104.142392
-100,第1节龙身前把手,-23.725929,15.250506,1.0,104.243839
-100,第51节龙身前把手,27.561717,-8.971641,1.0,107.128844
-100,第101节龙身前把手,-29.740655,-0.522585,1.0,109.938173
-100,第151节龙身前把手,27.838672,12.426954,1.0,112.677486
-100,第201节龙身前把手,-19.71279,-24.196446,1.0,115.351771
-100,龙尾后把手,-30.380312,8.41076,1.0,116.509013
-99,龙头前把手,-25.552099,11.853238,1.0,104.106898
-99,第1节龙身前把手,-24.243429,14.394884,1.0,104.208379
-99,第51节龙身前把手,27.845841,-8.012905,1.0,107.09434
-99,第101节龙身前把手,-29.697194,-1.521593,1.0,109.904551
-99,第151节龙身前把手,27.408119,13.32947,1.0,112.644681
-99,第201节龙身前把手,-18.922186,-24.808705,1.0,115.319727
-99,龙尾后把手,-30.623477,7.440818,1.0,116.477287
-98,龙头前把手,-25.947917,10.934966,1.0,104.071392
-98,第1节龙身前把手,-24.730262,13.521449,1.0,104.172908
-98,第51节龙身前把手,28.096713,-7.044936,1.0,107.059824
-98,第101节龙身前把手,-29.620166,-2.518574,1.0,109.870918
-98,第151节龙身前把手,26.948189,14.217374,1.0,112.611867
-98,第201节龙身前把手,-18.112369,-25.395314,1.0,115.287673
-98,龙尾后把手,-30.835747,6.46365,1.0,116.445552
-97,龙头前把手,-26.31088,10.003219,1.0,104.035873
-97,第1节龙身前把手,-25.185805,12.631294,1.0,104.137424
-97,第51节龙身前把手,28.314024,-6.068884,1.0,107.025297
-97,第101节龙身前把手,-29.509649,-3.512401,1.0,109.837275
-97,第151节龙身前把手,26.45937,15.089708,1.0,112.579043
-97,第201节龙身前把手,-17.284164,-25.955663,1.0,115.255611
-97,龙尾后把手,-31.016898,5.480237,1.0,116.413809
-96,龙头前把手,-26.640518,9.059167,1.0,104.000343
-96,第1节龙身前把手,-25.609473,11.725534,1.0,104.101928
-96,第51节龙身前把手,28.497503,-5.085911,1.0,106.990759
-96,第101节龙身前把手,-29.365758,-4.501947,1.0,109.803621
-96,第151节龙身前把手,25.942179,15.945525,1.0,112.546209
-96,第201节龙身前把手,-16.438418,-26.489169,1.0,115.22354
-96,龙尾后把手,-31.166739,4.49157,1.0,116.382057
-95,龙头前把手,-26.936403,8.103999,1.0,103.9648
-95,第1节龙身前把手,-26.000721,10.805306,1.0,104.06642
-95,第51节龙身前把手,28.646922,-4.097188,1.0,106.95621
-95,第101节龙身前把手,-29.188645,-5.486089,1.0,109.769957
-95,第151节龙身前把手,25.397166,16.7839,1.0,112.513366
-95,第201节龙身前把手,-15.575997,-26.995275,1.0,115.19146
-95,龙尾后把手,-31.285112,3.498643,1.0,116.350296
-94,龙头前把手,-27.19815,7.138917,1.0,103.929245
-94,第1节龙身前把手,-26.359046,9.871765,1.0,104.0309
-94,第51节龙身前把手,28.76209,-3.103892,1.0,106.92165
-94,第101节龙身前把手,-28.9785,-6.463712,1.0,109.736283
-94,第151节龙身前把手,24.824911,17.60392,1.0,112.480513
-94,第201节龙身前把手,-14.697783,-27.473453,1.0,115.159371
-94,龙尾后把手,-31.371887,2.502457,1.0,116.318527
-93,龙头前把手,-27.425416,6.165138,1.0,103.893678
-93,第1节龙身前把手,-26.683983,8.926085,1.0,103.995368
-93,第51节龙身前把手,28.84286,-2.107209,1.0,106.887079
-93,第101节龙身前把手,-28.735553,-7.433702,1.0,109.702599
-93,第151节龙身前把手,24.226023,18.404697,1.0,112.44765
-93,第201节龙身前把手,-13.804676,-27.923203,1.0,115.127273
-93,龙尾后把手,-31.42697,1.504017,1.0,116.286749
-92,龙头前把手,-27.617903,5.183892,1.0,103.858099
-92,第1节龙身前把手,-26.975111,7.969456,1.0,103.959823
-92,第51节龙身前把手,28.889122,-1.10833,1.0,106.852496
-92,第101节龙身前把手,-28.460069,-8.394959,1.0,109.668904
-92,第151节龙身前把手,23.601143,19.18536,1.0,112.414778
-92,第201节龙身前把手,-12.897593,-28.344053,1.0,115.095167
-92,龙尾后把手,-31.450295,0.504332,1.0,116.254963
-91,龙头前把手,-27.775353,4.196419,1.0,103.822508
-91,第1节龙身前把手,-27.23205,7.003083,1.0,103.924267
-91,第51节龙身前把手,28.900812,-0.108448,1.0,106.817903
-91,第101节龙身前把手,-28.15235,-9.346386,1.0,109.635199
-91,第151节龙身前把手,22.950937,19.945059,1.0,112.381897
-91,第201节龙身前把手,-11.977466,-28.735561,1.0,115.063051
-91,龙尾后把手,-31.44183,-0.49559,1.0,116.223167
-90,龙头前把手,-27.897557,3.203967,1.0,103.786904
-90,第1节龙身前把手,-27.454464,6.028185,1.0,103.888698
-90,第51节龙身前把手,28.877903,0.89124,1.0,106.783298
-90,第101节龙身前把手,-27.812736,-10.286901,1.0,109.601484
-90,第151节龙身前把手,22.276102,20.682966,1.0,112.349005
-90,第201节龙身前把手,-11.045238,-29.097315,1.0,115.030926
-90,龙尾后把手,-31.401576,-1.494738,1.0,116.191363
-89,龙头前把手,-27.984346,2.207794,1.0,103.751288
-89,第1节龙身前把手,-27.64206,5.045993,1.0,103.853117
-89,第51节龙身前把手,28.820412,1.889536,1.0,106.748682
-89,第101节龙身前把手,-27.441605,-11.21543,1.0,109.567758
-89,第151节龙身前把手,21.577359,21.398277,1.0,112.316104
-89,第201节龙身前把手,-10.10187,-29.428934,1.0,114.998793
-89,龙尾后把手,-31.329563,-2.492099,1.0,116.159551
-88,龙头前把手,-28.035599,1.209161,1.0,103.71566
-88,第1节龙身前把手,-27.794588,4.057747,1.0,103.817524
-88,第51节龙身前把手,28.728396,2.885243,1.0,106.714054
-88,第101节龙身前把手,-27.039367,-12.130914,1.0,109.534021
-88,第151节龙身前把手,20.85546,22.09021,1.0,112.283194
-88,第201节龙身前把手,-9.148333,-29.730066,1.0,114.96665
-88,龙尾后把手,-31.225857,-3.486665,1.0,116.127729
-87,龙头前把手,-28.051238,0.209336,1.0,103.68002
-87,第1节龙身前把手,-27.911842,3.064698,1.0,103.781919
-87,第51节龙身前把手,28.601955,3.877167,1.0,106.679415
-87,第101节龙身前把手,-26.606472,-13.032305,1.0,109.500275
-87,第151节龙身前把手,20.111179,22.758008,1.0,112.250274
-87,第201节龙身前把手,-8.185609,-30.000392,1.0,114.934498
-87,龙尾后把手,-31.090554,-4.477426,1.0,116.095899
-86,龙头前把手,-28.031231,-0.790411,1.0,103.644368
-86,第1节龙身前把手,-27.993663,2.068104,1.0,103.746301
-86,第51节龙身前把手,28.44123,4.864115,1.0,106.644766
-86,第101节龙身前把手,-26.143403,-13.918574,1.0,109.466518
-86,第151节龙身前把手,19.345316,23.400942,1.0,112.217344
-86,第201节龙身前把手,-7.214691,-30.239623,1.0,114.902338
-86,龙尾后把手,-30.923781,-5.463379,1.0,116.06406
-85,龙头前把手,-27.975592,-1.788809,1.0,103.608703
-85,第1节龙身前把手,-28.039934,1.069228,1.0,103.710671
-85,第51节龙身前把手,28.246401,5.844902,1.0,106.610104
-85,第101节龙身前把手,-25.650679,-14.788705,1.0,109.43275
-85,第151节龙身前把手,18.558696,24.018307,1.0,112.184404
-85,第201节龙身前把手,-6.236581,-30.447505,1.0,114.870168
-85,龙尾后把手,-30.725701,-6.443522,1.0,116.032213
-84,龙头前把手,-27.884378,-2.784587,1.0,103.573026
-84,第1节龙身前把手,-28.050583,0.069338,1.0,103.675029
-84,第51节龙身前把手,28.017693,6.818345,1.0,106.575432
-84,第101节龙身前把手,-25.128852,-15.641701,1.0,109.398972
-84,第151节龙身前把手,17.752167,24.609424,1.0,112.151455
-84,第201节龙身前把手,-5.252289,-30.623812,1.0,114.837989
-84,龙尾后把手,-30.496504,-7.416858,1.0,116.000356
-83,龙头前把手,-27.757694,-3.776476,1.0,103.537336
-83,第1节龙身前把手,-28.025586,-0.930297,1.0,103.639375
-83,第51节龙身前把手,27.755369,7.783273,1.0,106.540748
-83,第101节龙身前把手,-24.57851,-16.476583,1.0,109.365184
-83,第151节龙身前把手,16.926597,25.173644,1.0,112.118496
-83,第201节龙身前把手,-4.262834,-30.768353,1.0,114.805802
-83,龙尾后把手,-30.236416,-8.382399,1.0,115.968491
-82,龙头前把手,-27.595689,-4.763212,1.0,103.501635
-82,第1节龙身前把手,-27.964962,-1.928404,1.0,103.603709
-82,第51节龙身前把手,27.459734,8.738522,1.0,106.506053
-82,第101节龙身前把手,-24.000271,-17.292392,1.0,109.331385
-82,第151节龙身前把手,16.08288,25.710347,1.0,112.085528
-82,第201节龙身前把手,-3.269239,-30.880969,1.0,114.773605
-82,龙尾后把手,-29.945691,-9.339162,1.0,115.936617
-81,龙头前把手,-27.398558,-5.743535,1.0,103.465921
-81,第1节龙身前把手,-27.868775,-2.923714,1.0,103.56803
-81,第51节龙身前把手,27.131133,9.682937,1.0,106.471347
-81,第101节龙身前把手,-23.394787,-18.08819,1.0,109.297576
-81,第151节龙身前把手,15.221925,26.21894,1.0,112.052549
-81,第201节龙身前把手,-2.272533,-30.961535,1.0,114.741399
-81,龙尾后把手,-29.624617,-10.286171,1.0,115.904735
-80,龙头前把手,-27.166539,-6.716192,1.0,103.430194
-80,第1节龙身前把手,-27.737136,-3.914959,1.0,103.532339
-80,第51节龙身前把手,26.769951,10.615379,1.0,106.436629
-80,第101节龙身前把手,-22.762744,-18.863061,1.0,109.263756
-80,第151节龙身前把手,14.344666,26.698863,1.0,112.019561
-80,第201节龙身前把手,-1.27375,-31.009958,1.0,114.709184
-80,龙尾后把手,-29.273511,-11.222462,1.0,115.872843
-79,龙头前把手,-26.899917,-7.679938,1.0,103.394456
-79,第1节龙身前把手,-27.570201,-4.900872,1.0,103.496635
-79,第51节龙身前把手,26.376613,11.534718,1.0,106.4019
-79,第101节龙身前把手,-22.104855,-19.616113,1.0,109.229926
-79,第151节龙身前把手,13.452052,27.149584,1.0,111.986564
-79,第201节龙身前把手,-0.273925,-31.02618,1.0,114.67696
-79,龙尾后把手,-28.892724,-12.147078,1.0,115.840943
-78,龙头前把手,-26.59902,-8.633539,1.0,103.358705
-78,第1节龙身前把手,-27.368169,-5.880197,1.0,103.46092
-78,第51节龙身前把手,25.951583,12.439842,1.0,106.36716
-78,第101节龙身前把手,-21.421865,-20.346476,1.0,109.196086
-78,第151节龙身前把手,12.545051,27.570604,1.0,111.953556
-78,第201节龙身前把手,0.725904,-31.010173,1.0,114.644728
-78,龙尾后把手,-28.482634,-13.059077,1.0,115.809034
-77,龙头前把手,-26.264222,-9.575772,1.0,103.322941
-77,第1节龙身前把手,-27.131288,-6.851681,1.0,103.425192
-77,第51节龙身前把手,25.495364,13.329653,1.0,106.332409
-77,第101节龙身前把手,-20.71455,-21.053306,1.0,109.162234
-77,第151节龙身前把手,11.624647,27.961456,1.0,111.920539
-77,第201节龙身前把手,1.724697,-30.961945,1.0,114.612486
-77,龙尾后把手,-28.04365,-13.957525,1.0,115.777117
-76,龙头前把手,-25.895939,-10.505428,1.0,103.287165
-76,第1节龙身前把手,-26.859846,-7.814081,1.0,103.389451
-76,第51节龙身前把手,25.008497,14.203071,1.0,106.297646
-76,第101节龙身前把手,-19.983712,-21.735787,1.0,109.128373
-76,第151节龙身前把手,10.691839,28.321704,1.0,111.887512
-76,第201节龙身前把手,2.721416,-30.881539,1.0,114.580235
-76,龙尾后把手,-27.576212,-14.841503,1.0,115.74519
-75,龙头前把手,-25.49463,-11.421313,1.0,103.251377
-75,第1节龙身前把手,-26.55418,-8.766164,1.0,103.353698
-75,第51节龙身前把手,24.49156,15.059035,1.0,106.262871
-75,第101节龙身前把手,-19.230182,-22.393128,1.0,109.094501
-75,第151节龙身前把手,9.747641,28.650946,1.0,111.854475
-75,第201节龙身前把手,3.715023,-30.769027,1.0,114.547974
-75,龙尾后把手,-27.08079,-15.710106,1.0,115.713255
-74,龙头前把手,-25.060799,-12.322248,1.0,103.215577
-74,第1节龙身前把手,-26.214668,-9.706708,1.0,103.317933
-74,第51节龙身前把手,23.945168,15.896505,1.0,106.228086
-74,第101节龙身前把手,-18.454818,-23.024567,1.0,109.060618
-74,第151节龙身前把手,8.793082,28.948814,1.0,111.821429
-74,第201节龙身前把手,4.704482,-30.624519,1.0,114.515705
-74,龙尾后把手,-26.557879,-16.562443,1.0,115.68131
-73,龙头前把手,-24.594991,-13.207073,1.0,103.179764
-73,第1节龙身前把手,-25.841732,-10.634508,1.0,103.282156
