speed_cm_min,peak_temperature_c,peak_time_s,time_150_190_s,time_above_217_s,max_heating_slope_c_per_s,max_cooling_slope_c_per_s,area_217_to_peak,symmetry_metric_c,process_feasible
65.0,268.2477092536996,314.5,100.0,105.0,1.8556156354894675,2.191140062979116,2144.2746028538418,17.78978663128405,False
65.5,267.76139311336914,312.0,100.0,103.5,1.8556156354894675,2.178639772862482,2084.9531419011278,17.10175020301083,False
66.0,267.1725033319551,309.5,99.5,102.0,1.8556156354894675,2.17609151701879,2017.9027679425767,16.677495692767085,False
66.5,266.6180075815128,307.5,98.5,100.5,1.8556156354894675,2.1742768029345143,1975.5578180316409,16.992722892549505,False
67.0,266.13860674126767,305.0,98.5,99.0,1.8556156354894675,2.1714910747840577,1915.1121217662067,16.409634027220445,False
67.5,265.5622227844217,303.0,98.0,97.5,1.8556156354894675,2.16342531452932,1871.7839594233292,16.57547618325806,False
68.0,265.01238890462844,300.5,97.5,96.0,1.8556156354894675,2.1636222631798887,1803.8176223233193,15.821453605641391,False
68.5,264.52517567646805,298.5,97.5,94.5,1.8556156354894675,2.1553092417341873,1766.6401077345781,15.845052668591823,False
69.0,263.95093329544466,296.5,97.0,93.0,1.8556156354894675,2.1467964866480997,1721.98574322476,15.81072198420347,False
69.5,263.4019908851782,294.0,96.5,91.0,1.8556156354894675,2.1489998107507517,1653.7378083505055,14.826898193776962,False
70.0,262.9434990460369,292.0,96.0,90.0,1.8556156354894675,2.14272550293731,1615.694455931011,14.947834479362802,False
70.5,262.3792924033298,290.0,96.0,88.5,1.8556156354894675,2.136085981806218,1570.2034317137536,14.692786076592402,False
71.0,261.82032498442925,288.0,95.0,87.5,1.8556156354894675,2.130063853578889,1524.6458505261533,14.68813219075371,False
71.5,261.3469936393985,286.0,95.0,86.0,1.8556156354894675,2.125371110842906,1485.7190690167276,14.319872023373245,False
72.0,260.79622488567674,284.0,94.5,84.5,1.8556156354894675,2.1205635787242443,1439.7734412904554,14.178527713983804,False
