time,state
0.0,108.240246
2.0,91.88522
4.0,78.551472
6.0,67.710227
8.0,58.926994
10.0,51.802376
12.0,45.978386
14.0,41.222528
16.0,37.360866
18.0,34.229902
20.0,31.681915
22.0,29.597297
24.0,27.90099
26.0,26.526572
28.0,25.412702
30.0,24.503314
32.0,23.758114
34.0,23.152393
36.0,22.662755
38.0,22.266954
40.0,21.943896
42.0,21.677321
44.0,21.459768
46.0,21.28414
48.0,21.143262
50.0,21.02988
52.0,20.936656
54.0,20.858406
56.0,20.794053
58.0,20.742184
60.0,20.701121
62.0,20.668922
64.0,20.643382
66.0,20.622028
68.0,20.603264
70.0,20.587796
72.0,20.57529
74.0,20.565327
76.0,20.557445
78.0,20.551139
80.0,20.54586
