time_s,position_cm,air_temperature_c,center_temperature_c
0.0,0.0,25.0,25.0
0.5,0.770833,25.0,25.0
1.0,1.541667,25.0,25.0
1.5,2.3125,25.0,25.0
2.0,3.083333,25.0,25.0
2.5,3.854167,25.0,25.0
3.0,4.625,25.0,25.0
3.5,5.395833,25.0,25.0
4.0,6.166667,25.0,25.0
4.5,6.9375,25.0,25.0
5.0,7.708333,25.0,25.0
5.5,8.479167,25.0,25.0
6.0,9.25,25.0,25.0
6.5,10.020833,25.0,25.0
7.0,10.791667,25.0,25.0
7.5,11.5625,25.0,25.0
8.0,12.333333,25.0,25.0
8.5,13.104167,25.0,25.0
9.0,13.875,25.0,25.0
9.5,14.645833,25.0,25.0
10.0,15.416667,25.0,25.0
10.5,16.1875,25.0,25.0
11.0,16.958333,25.0,25.0
11.5,17.729167,25.0,25.0
12.0,18.5,25.0,25.0
12.5,19.270833,25.0,25.0
13.0,20.041667,25.0,25.0
13.5,20.8125,25.0,25.0
14.0,21.583333,25.0,25.0
14.5,22.354167,25.0,25.0
15.0,23.125,25.0,25.0
15.5,23.895833,25.0,25.0
16.0,24.666667,25.0,25.0
16.5,25.4375,227.902021,25.0
17.0,26.208333,227.902021,25.929939
17.5,26.979167,227.902021,26.855616
18.0,27.75,227.902021,27.77705
18.5,28.520833,227.902021,28.694261
19.0,29.291667,227.902021,29.607268
19.5,30.0625,227.902021,30.516091
20.0,30.833333,227.902021,31.420749
20.5,31.604167,227.902021,32.32126
21.0,32.375,227.902021,33.217644
21.5,33.145833,227.902021,34.10992
22.0,33.916667,227.902021,34.998106
22.5,34.6875,227.902021,35.882222
23.0,35.458333,227.902021,36.762286
23.5,36.229167,227.902021,37.638316
24.0,37.0,227.902021,38.510331
24.5,37.770833,227.902021,39.378349
25.0,38.541667,227.902021,40.242389
25.5,39.3125,227.902021,41.102469
26.0,40.083333,227.902021,41.958607
26.5,40.854167,227.902021,42.810822
27.0,41.625,227.902021,43.65913
27.5,42.395833,227.902021,44.503551
28.0,43.166667,227.902021,45.344101
28.5,43.9375,227.902021,46.180799
29.0,44.708333,227.902021,47.013662
29.5,45.479167,227.902021,47.842708
30.0,46.25,227.902021,48.667955
30.5,47.020833,227.902021,49.489419
31.0,47.791667,227.902021,50.307118
31.5,48.5625,227.902021,51.121069
32.0,49.333333,227.902021,51.93129
32.5,50.104167,227.902021,52.737798
33.0,50.875,227.902021,53.540609
33.5,51.645833,227.902021,54.339741
34.0,52.416667,227.902021,55.13521
34.5,53.1875,227.902021,55.927034
35.0,53.958333,227.902021,56.715228
35.5,54.729167,227.902021,57.49981
36.0,55.5,227.902021,58.280796
36.5,56.270833,227.902021,59.058202
37.0,57.041667,227.902021,59.832046
37.5,57.8125,227.902021,60.602343
38.0,58.583333,227.902021,61.369109
38.5,59.354167,227.902021,62.132362
39.0,60.125,227.902021,62.892116
39.5,60.895833,227.902021,63.648388
40.0,61.666667,227.902021,64.401194
40.5,62.4375,227.902021,65.150549
41.0,63.208333,227.902021,65.89647
41.5,63.979167,227.902021,66.638973
42.0,64.75,227.902021,67.378072
42.5,65.520833,227.902021,68.113784
43.0,66.291667,227.902021,68.846125
43.5,67.0625,227.902021,69.575108
44.0,67.833333,227.902021,70.300751
44.5,68.604167,227.902021,71.023068
45.0,69.375,227.902021,71.742074
45.5,70.145833,227.902021,72.457785
46.0,70.916667,227.902021,73.170216
46.5,71.6875,227.902021,73.879381
47.0,72.458333,227.902021,74.585297
47.5,73.229167,227.902021,75.287976
48.0,74.0,227.902021,75.987436
48.5,74.770833,227.902021,76.68369
49.0,75.541667,227.902021,77.376752
49.5,76.3125,227.902021,78.066638
50.0,77.083333,227.902021,78.753363
50.5,77.854167,227.902021,79.43694
51.0,78.625,227.902021,80.117383
51.5,79.395833,227.902021,80.794709
52.0,80.166667,227.902021,81.46893
52.5,80.9375,227.902021,82.140061
53.0,81.708333,227.902021,82.808116
53.5,82.479167,227.902021,83.473109
54.0,83.25,227.902021,84.135054
54.5,84.020833,227.902021,84.793966
55.0,84.791667,227.902021,85.449858
55.5,85.5625,227.902021,86.102743
56.0,86.333333,227.902021,86.752636
56.5,87.104167,227.902021,87.399551
57.0,87.875,227.902021,88.043501
57.5,88.645833,227.902021,88.684499
58.0,89.416667,227.902021,89.32256
58.5,90.1875,227.902021,89.957696
59.0,90.958333,227.902021,90.589921
59.5,91.729167,227.902021,91.219249
60.0,92.5,227.902021,91.845692
60.5,93.270833,227.902021,92.469265
61.0,94.041667,227.902021,93.089979
61.5,94.8125,227.902021,93.707848
62.0,95.583333,227.902021,94.322886
62.5,96.354167,227.902021,94.935105
63.0,97.125,227.902021,95.544518
63.5,97.895833,227.902021,96.151137
64.0,98.666667,227.902021,96.754977
64.5,99.4375,227.902021,97.356049
65.0,100.208333,227.902021,97.954366
65.5,100.979167,227.902021,98.549941
66.0,101.75,227.902021,99.142787
66.5,102.520833,227.902021,99.732915
67.0,103.291667,227.902021,100.320339
67.5,104.0625,227.902021,100.90507
68.0,104.833333,227.902021,101.487121
68.5,105.604167,227.902021,102.066505
69.0,106.375,227.902021,102.643233
69.5,107.145833,227.902021,103.217318
70.0,107.916667,227.902021,103.788772
70.5,108.6875,227.902021,104.357607
71.0,109.458333,227.902021,104.923835
71.5,110.229167,227.902021,105.487467
72.0,111.0,227.902021,106.048517
72.5,111.770833,227.902021,106.606995
73.0,112.541667,227.902021,107.162913
73.5,113.3125,227.902021,107.716283
74.0,114.083333,227.902021,108.267118
74.5,114.854167,227.902021,108.815427
75.0,115.625,227.902021,109.361224
75.5,116.395833,227.902021,109.904519
76.0,117.166667,227.902021,110.445325
76.5,117.9375,227.902021,110.983651
77.0,118.708333,227.902021,111.51951
77.5,119.479167,227.902021,112.052914
78.0,120.25,227.902021,112.583872
78.5,121.020833,227.902021,113.112398
79.0,121.791667,227.902021,113.6385
79.5,122.5625,227.902021,114.162192
80.0,123.333333,227.902021,114.683484
80.5,124.104167,227.902021,115.202386
81.0,124.875,227.902021,115.71891
81.5,125.645833,227.902021,116.233067
82.0,126.416667,227.902021,116.744867
82.5,127.1875,227.902021,117.254321
83.0,127.958333,227.902021,117.761441
83.5,128.729167,227.902021,118.266236
84.0,129.5,227.902021,118.768718
84.5,130.270833,227.902021,119.268897
85.0,131.041667,227.902021,119.766783
85.5,131.8125,227.902021,120.262388
86.0,132.583333,227.902021,120.755721
86.5,133.354167,227.902021,121.246793
87.0,134.125,227.902021,121.735614
87.5,134.895833,227.902021,122.222195
88.0,135.666667,227.902021,122.706546
88.5,136.4375,227.902021,123.188677
89.0,137.208333,227.902021,123.668599
89.5,137.979167,227.902021,124.14632
90.0,138.75,227.902021,124.621853
90.5,139.520833,227.902021,125.095205
91.0,140.291667,227.902021,125.566389
91.5,141.0625,227.902021,126.035413
92.0,141.833333,227.902021,126.502287
92.5,142.604167,227.902021,126.967021
93.0,143.375,227.902021,127.429626
93.5,144.145833,227.902021,127.89011
94.0,144.916667,227.902021,128.348484
94.5,145.6875,227.902021,128.804757
95.0,146.458333,227.902021,129.258938
95.5,147.229167,227.902021,129.711039
96.0,148.0,227.902021,130.161067
96.5,148.770833,227.902021,130.609032
97.0,149.541667,227.902021,131.054945
97.5,150.3125,227.902021,131.498813
98.0,151.083333,227.902021,131.940648
98.5,151.854167,227.902021,132.380457
99.0,152.625,227.902021,132.818251
99.5,153.395833,227.902021,133.254038
100.0,154.166667,227.902021,133.687828
100.5,154.9375,227.902021,134.119629
101.0,155.708333,227.902021,134.549452
101.5,156.479167,227.902021,134.977305
102.0,157.25,227.902021,135.403197
102.5,158.020833,227.902021,135.827137
103.0,158.791667,227.902021,136.249133
103.5,159.5625,227.902021,136.669196
104.0,160.333333,227.902021,137.087334
104.5,161.104167,227.902021,137.503555
105.0,161.875,227.902021,137.917868
105.5,162.645833,227.902021,138.330283
106.0,163.416667,227.902021,138.740807
106.5,164.1875,227.902021,139.14945
107.0,164.958333,227.902021,139.55622
107.5,165.729167,227.902021,139.961126
108.0,166.5,227.902021,140.364176
108.5,167.270833,227.902021,140.765379
109.0,168.041667,227.902021,141.164743
109.5,168.8125,227.902021,141.562276
110.0,169.583333,227.902021,141.957988
110.5,170.354167,227.902021,142.351886
111.0,171.125,227.902021,142.743979
111.5,171.895833,227.902021,143.134274
112.0,172.666667,227.902021,143.522781
112.5,173.4375,227.902021,143.909507
113.0,174.208333,227.902021,144.294461
113.5,174.979167,227.902021,144.677651
114.0,175.75,227.902021,145.059084
114.5,176.520833,227.902021,145.438769
115.0,177.291667,227.902021,145.816714
115.5,178.0625,227.902021,146.192926
116.0,178.833333,227.902021,146.567415
116.5,179.604167,227.902021,146.940187
117.0,180.375,227.902021,147.311251
117.5,181.145833,227.902021,147.680614
118.0,181.916667,227.902021,148.048284
118.5,182.6875,227.902021,148.414269
119.0,183.458333,227.902021,148.778576
119.5,184.229167,227.902021,149.141214
120.0,185.0,227.902021,149.50219
120.5,185.770833,227.902021,149.861511
121.0,186.541667,227.902021,150.219186
121.5,187.3125,227.902021,150.575221
122.0,188.083333,227.902021,150.929625
122.5,188.854167,227.902021,151.282404
123.0,189.625,227.902021,151.633567
123.5,190.395833,227.902021,151.98312
124.0,191.166667,227.902021,152.33107
124.5,191.9375,227.902021,152.677427
125.0,192.708333,227.902021,153.022195
125.5,193.479167,227.902021,153.365384
126.0,194.25,227.902021,153.707
126.5,195.020833,227.902021,154.04705
127.0,195.791667,227.902021,154.385541
127.5,196.5625,227.902021,154.722481
128.0,197.333333,227.902021,155.057877
128.5,198.104167,231.181409,155.391736
129.0,198.875,235.365455,155.739094
129.5,199.645833,239.549502,156.104037
130.0,200.416667,243.733548,156.486484
130.5,201.1875,247.917595,156.886354
131.0,201.958333,252.101641,157.303567
131.5,202.729167,255.041782,157.738045
132.0,203.5,255.041782,158.184007
132.5,204.270833,255.041782,158.627925
133.0,205.041667,255.041782,159.069808
133.5,205.8125,255.041782,159.509666
134.0,206.583333,255.041782,159.947508
134.5,207.354167,255.041782,160.383343
135.0,208.125,255.041782,160.817181
135.5,208.895833,255.041782,161.24903
136.0,209.666667,255.041782,161.6789
136.5,210.4375,255.041782,162.1068
137.0,211.208333,255.041782,162.532739
137.5,211.979167,255.041782,162.956726
138.0,212.75,255.041782,163.378769
138.5,213.520833,255.041782,163.798879
139.0,214.291667,255.041782,164.217062
139.5,215.0625,255.041782,164.633329
140.0,215.833333,255.041782,165.047689
140.5,216.604167,255.041782,165.460149
141.0,217.375,255.041782,165.870719
141.5,218.145833,255.041782,166.279407
142.0,218.916667,255.041782,166.686222
142.5,219.6875,255.041782,167.091172
143.0,220.458333,255.041782,167.494267
143.5,221.229167,255.041782,167.895514
144.0,222.0,255.041782,168.294922
144.5,222.770833,255.041782,168.692499
145.0,223.541667,255.041782,169.088255
145.5,224.3125,255.041782,169.482196
146.0,225.083333,255.041782,169.874332
146.5,225.854167,255.041782,170.264671
147.0,226.625,255.041782,170.653221
147.5,227.395833,255.041782,171.03999
148.0,228.166667,255.041782,171.424986
148.5,228.9375,255.041782,171.808218
149.0,229.708333,255.041782,172.189693
149.5,230.479167,255.041782,172.56942
150.0,231.25,255.041782,172.947407
150.5,232.020833,255.041782,173.323661
151.0,232.791667,255.041782,173.698191
151.5,233.5625,259.985096,174.071004
152.0,234.333333,266.759266,174.464765
152.5,235.104167,273.533436,174.887768
153.0,235.875,280.307607,175.33988
153.5,236.645833,287.081777,175.820967
154.0,237.416667,293.855948,176.330897
154.5,238.1875,298.982347,176.869537
