t,observed,fitted,type
1,0.0,10.072881,history
2,3.0,10.170894,history
3,4.0,10.268907,history
4,5.0,10.36692,history
5,6.0,10.464933,history
6,7.0,10.562946,history
7,8.0,10.660959,history
8,9.0,10.758971,history
9,10.0,10.856984,history
10,11.0,10.954997,history
11,12.0,11.05301,history
12,13.0,11.151023,history
13,14.0,11.249036,history
14,15.0,11.347049,history
15,16.0,11.445061,history
16,17.0,11.543074,history
17,18.0,11.641087,history
18,19.0,11.7391,history
19,20.0,11.837113,history
20,21.0,11.935126,history
21,22.0,12.033139,history
22,23.0,12.131151,history
23,24.0,12.229164,history
24,25.0,12.327177,history
25,26.0,12.42519,history
26,27.0,12.523203,history
27,28.0,12.621216,history
28,29.0,12.719229,history
29,1.0,12.817241,history
30,2.0,12.915254,history
31,2.0,13.013267,history
32,2.0,13.11128,history
33,3.0,13.209293,history
34,3.0,13.307306,history
35,4.0,13.405319,history
36,4.0,13.503331,history
37,5.0,13.601344,history
38,6.0,13.699357,history
39,6.0,13.79737,history
40,6.0,13.895383,history
41,8.0,13.993396,history
42,9.0,14.091409,history
43,9.0,14.189421,history
44,10.0,14.287434,history
45,10.0,14.385447,history
46,11.0,14.48346,history
47,11.0,14.581473,history
48,12.0,14.679486,history
49,13.0,14.777499,history
50,15.0,14.875511,history
51,15.0,14.973524,history
52,16.0,15.071537,history
53,17.0,15.16955,history
54,19.0,15.267563,history
55,20.0,15.365576,history
56,21.0,15.463589,history
57,22.0,15.561601,history
58,23.0,15.659614,history
59,25.0,15.757627,history
49,,14.777499,forecast
50,,14.875511,forecast
51,,14.973524,forecast
52,,15.071537,forecast
53,,15.16955,forecast
54,,15.267563,forecast
55,,15.365576,forecast
56,,15.463589,forecast
57,,15.561601,forecast
58,,15.659614,forecast
59,,15.757627,forecast
60,,15.85564,forecast
