match_id,point_index,set_no,game_no,point_no,player1,player2,server,point_victor,expected_p1_win,serve_adjusted_residual,momentum_p1,better_player
2023-wimbledon-1701,1,1,1,1,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.24586643762078586,Novak Djokovic
2023-wimbledon-1701,2,1,1,2,Carlos Alcaraz,Novak Djokovic,2,1,0.24586643762078586,0.7541335623792141,-0.0658664376207859,Novak Djokovic
2023-wimbledon-1701,3,1,1,3,Carlos Alcaraz,Novak Djokovic,2,1,0.4704986676817663,0.5295013323182337,0.04129976096823761,Carlos Alcaraz
2023-wimbledon-1701,4,1,1,4,Carlos Alcaraz,Novak Djokovic,2,2,0.4704986676817663,-0.4704986676817663,-0.05082395618876307,Novak Djokovic
2023-wimbledon-1701,5,1,1,5,Carlos Alcaraz,Novak Djokovic,2,1,0.24586643762078586,0.7541335623792141,0.09406839715347282,Carlos Alcaraz
2023-wimbledon-1701,6,1,1,6,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,0.03288012689410627,Carlos Alcaraz
2023-wimbledon-1701,7,1,1,7,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.017294254718574303,balanced
2023-wimbledon-1701,8,1,1,8,Carlos Alcaraz,Novak Djokovic,2,1,0.24586643762078586,0.7541335623792141,0.12156275235902761,Carlos Alcaraz
2023-wimbledon-1701,9,1,1,9,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,0.0554254981626612,Carlos Alcaraz
2023-wimbledon-1701,10,1,1,10,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,0.0011929497216407413,balanced
2023-wimbledon-1701,11,1,2,11,Carlos Alcaraz,Novak Djokovic,1,2,0.7541335623792141,-0.7541335623792141,-0.1347658224565131,Novak Djokovic
2023-wimbledon-1701,12,1,2,12,Carlos Alcaraz,Novak Djokovic,1,2,0.7541335623792141,-0.7541335623792141,-0.2462520156425993,Novak Djokovic
2023-wimbledon-1701,13,1,2,13,Carlos Alcaraz,Novak Djokovic,1,2,0.5295013323182337,-0.5295013323182337,-0.2972368926442135,Novak Djokovic
2023-wimbledon-1701,14,1,2,14,Carlos Alcaraz,Novak Djokovic,1,1,0.7541335623792141,0.24586643762078586,-0.19947829319651364,Novak Djokovic
2023-wimbledon-1701,15,1,2,15,Carlos Alcaraz,Novak Djokovic,1,1,0.7541335623792141,0.24586643762078586,-0.11931624164939975,Novak Djokovic
2023-wimbledon-1701,16,1,2,16,Carlos Alcaraz,Novak Djokovic,1,2,0.5295013323182337,-0.5295013323182337,-0.19314955796978986,Novak Djokovic
2023-wimbledon-1701,17,1,3,17,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.20263859630696915,Novak Djokovic
2023-wimbledon-1701,18,1,3,18,Carlos Alcaraz,Novak Djokovic,2,1,0.4704986676817663,0.5295013323182337,-0.07085340915443267,Novak Djokovic
2023-wimbledon-1701,19,1,3,19,Carlos Alcaraz,Novak Djokovic,2,1,0.4704986676817663,0.5295013323182337,0.03721044431064726,Carlos Alcaraz
2023-wimbledon-1701,20,1,3,20,Carlos Alcaraz,Novak Djokovic,2,2,0.4704986676817663,-0.4704986676817663,-0.05417719584798716,Novak Djokovic
2023-wimbledon-1701,21,1,3,21,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.08868125936709093,Novak Djokovic
2023-wimbledon-1701,22,1,3,22,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.11697459145275602,Novak Djokovic
2023-wimbledon-1701,23,1,4,23,Carlos Alcaraz,Novak Djokovic,1,2,0.7541335623792141,-0.7541335623792141,-0.23166320621951847,Novak Djokovic
2023-wimbledon-1701,24,1,4,24,Carlos Alcaraz,Novak Djokovic,1,1,0.7541335623792141,0.24586643762078586,-0.1457078703282637,Novak Djokovic
2023-wimbledon-1701,25,1,4,25,Carlos Alcaraz,Novak Djokovic,1,2,0.7541335623792141,-0.7541335623792141,-0.25522449489743476,Novak Djokovic
2023-wimbledon-1701,26,1,4,26,Carlos Alcaraz,Novak Djokovic,1,2,0.7541335623792141,-0.7541335623792141,-0.34502812704415503,Novak Djokovic
2023-wimbledon-1701,27,1,4,27,Carlos Alcaraz,Novak Djokovic,1,1,0.5295013323182337,0.4704986676817663,-0.19823330399348923,Novak Djokovic
2023-wimbledon-1701,28,1,4,28,Carlos Alcaraz,Novak Djokovic,1,1,0.7541335623792141,0.24586643762078586,-0.11829535050291974,Novak Djokovic
2023-wimbledon-1701,29,1,4,29,Carlos Alcaraz,Novak Djokovic,1,2,0.5295013323182337,-0.5295013323182337,-0.19231242722967626,Novak Djokovic
2023-wimbledon-1701,30,1,4,30,Carlos Alcaraz,Novak Djokovic,1,2,0.5295013323182337,-0.5295013323182337,-0.2530064301456166,Novak Djokovic
2023-wimbledon-1701,31,1,5,31,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.25172123149114706,Novak Djokovic
2023-wimbledon-1701,32,1,5,32,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.2506673685944821,Novak Djokovic
2023-wimbledon-1701,33,1,5,33,Carlos Alcaraz,Novak Djokovic,2,1,0.24586643762078586,0.7541335623792141,-0.06980320101921679,Novak Djokovic
2023-wimbledon-1701,34,1,5,34,Carlos Alcaraz,Novak Djokovic,2,2,0.24586643762078586,-0.24586643762078586,-0.10149458360749922,Novak Djokovic
