point_id,x,y,distance_to_fit_center
1,3.145121,-2.01926,4.458544
2,3.12224,-1.478272,4.4648
3,3.012891,-0.824657,4.480009
4,2.800401,-0.253957,4.464429
5,2.477594,0.237419,4.396076
6,2.16352,0.728732,4.412647
7,1.836612,1.141798,4.440775
8,1.27442,1.556465,4.388938
9,0.868318,1.954574,4.506322
10,0.347774,2.183224,4.490218
11,-0.171421,2.412582,4.546755
12,-0.721187,2.435919,4.463814
13,-1.352566,2.509449,4.498067
14,-1.898754,2.413443,4.44065
15,-2.492988,2.33725,4.483668
16,-3.084456,2.170151,4.520052
17,-3.54936,1.780914,4.382691
18,-4.137486,1.584666,4.554457
19,-4.476863,1.022065,4.36706
20,-4.797548,0.676003,4.386247
21,-5.108183,0.139575,4.350804
22,-5.466496,-0.257429,4.49948
23,-5.715777,-0.877099,4.540568
24,-5.660833,-1.378289,4.390124
25,-5.780847,-2.057946,4.468072
26,-5.727301,-2.571722,4.452356
27,-5.757616,-3.125042,4.587336
28,-5.442802,-3.676072,4.461023
29,-5.205191,-4.34305,4.548719
30,-4.759144,-4.673049,4.368159
31,-4.402064,-5.145667,4.416831
32,-4.066863,-5.555224,4.505987
33,-3.563843,-5.8501,4.46959
34,-3.101596,-6.1952,4.571073
35,-2.53873,-6.233619,4.418498
36,-1.92271,-6.396462,4.449939
37,-1.399455,-6.478425,4.490804
38,-0.742391,-6.41993,4.468109
39,-0.030238,-6.212551,4.414674
40,0.405713,-6.090651,4.447824
41,0.954493,-5.779344,4.41745
42,1.286573,-5.423895,4.308333
43,1.774992,-5.19824,4.454258
44,2.226402,-4.695869,4.456427
45,2.603731,-4.347755,4.572701
46,2.857879,-3.704243,4.510302
47,3.044241,-3.062882,4.488064
48,3.174123,-2.580567,4.526336
