t,observed,fitted,type
1,2016.0,1799.271429,history
2,2015.0,1583.957143,history
3,2016.0,1368.642857,history
4,1.1,1153.328571,history
5,1.2,938.014286,history
6,8.0,722.7,history
7,2016.0,507.385714,history
49,,-8535.814286,forecast
50,,-8751.128571,forecast
51,,-8966.442857,forecast
52,,-9181.757143,forecast
53,,-9397.071429,forecast
54,,-9612.385714,forecast
55,,-9827.7,forecast
56,,-10043.014286,forecast
57,,-10258.328571,forecast
58,,-10473.642857,forecast
59,,-10688.957143,forecast
60,,-10904.271429,forecast
