t,observed,fitted,type
1,18.0,3642.818372,history
2,43360.0,3626.448865,history
3,0.0,3610.079358,history
4,16.0,3593.709851,history
5,2.0,3577.340345,history
6,14.0,3560.970838,history
7,6.0,3544.601331,history
8,8.0,3528.231824,history
9,9.0,3511.862317,history
10,15.0,3495.49281,history
11,12.0,3479.123303,history
12,13.0,3462.753797,history
13,3.0,3446.38429,history
14,8.0,3430.014783,history
15,9.0,3413.645276,history
16,15.0,3397.275769,history
17,1.0,3380.906262,history
18,43361.0,3364.536756,history
19,4.0,3348.167249,history
20,16.0,3331.797742,history
21,2.0,3315.428235,history
22,14.0,3299.058728,history
23,6.0,3282.689221,history
24,8.0,3266.319715,history
25,9.0,3249.950208,history
26,15.0,3233.580701,history
27,12.0,3217.211194,history
28,13.0,3200.841687,history
29,3.0,3184.47218,history
30,8.0,3168.102673,history
31,9.0,3151.733167,history
32,1.0,3135.36366,history
33,12.0,3118.994153,history
34,1.0,3102.624646,history
35,43362.0,3086.255139,history
36,4.0,3069.885632,history
37,16.0,3053.516126,history
38,2.0,3037.146619,history
39,14.0,3020.777112,history
40,6.0,3004.407605,history
41,8.0,2988.038098,history
42,9.0,2971.668591,history
43,15.0,2955.299084,history
44,12.0,2938.929578,history
45,13.0,2922.560071,history
46,3.0,2906.190564,history
47,8.0,2889.821057,history
48,9.0,2873.45155,history
49,1.0,2857.082043,history
50,43363.0,2840.712537,history
51,0.0,2824.34303,history
52,16.0,2807.973523,history
53,2.0,2791.604016,history
54,14.0,2775.234509,history
55,6.0,2758.865002,history
56,8.0,2742.495495,history
57,9.0,2726.125989,history
58,15.0,2709.756482,history
59,12.0,2693.386975,history
60,13.0,2677.017468,history
61,3.0,2660.647961,history
62,8.0,2644.278454,history
63,15.0,2627.908948,history
64,12.0,2611.539441,history
65,1.0,2595.169934,history
66,43364.0,2578.800427,history
67,0.0,2562.43092,history
68,16.0,2546.061413,history
69,2.0,2529.691907,history
70,14.0,2513.3224,history
71,6.0,2496.952893,history
72,8.0,2480.583386,history
73,9.0,2464.213879,history
74,15.0,2447.844372,history
75,12.0,2431.474865,history
76,13.0,2415.105359,history
77,3.0,2398.735852,history
78,8.0,2382.366345,history
79,1.0,2365.996838,history
80,1.0,2349.627331,history
81,43365.0,2333.257824,history
82,0.0,2316.888318,history
83,16.0,2300.518811,history
84,2.0,2284.149304,history
85,14.0,2267.779797,history
86,8.0,2251.41029,history
87,9.0,2235.040783,history
88,15.0,2218.671276,history
89,12.0,2202.30177,history
90,13.0,2185.932263,history
91,3.0,2169.562756,history
92,8.0,2153.193249,history
93,1.0,2136.823742,history
94,8.0,2120.454235,history
95,12.0,2104.084729,history
96,1.0,2087.715222,history
97,43366.0,2071.345715,history
98,0.0,2054.976208,history
99,16.0,2038.606701,history
100,2.0,2022.237194,history
101,14.0,2005.867687,history
102,8.0,1989.498181,history
103,9.0,1973.128674,history
104,15.0,1956.759167,history
105,12.0,1940.38966,history
106,13.0,1924.020153,history
107,3.0,1907.650646,history
108,8.0,1891.28114,history
109,1.0,1874.911633,history
110,8.0,1858.542126,history
111,1.0,1842.172619,history
49,,2857.082043,forecast
50,,2840.712537,forecast
51,,2824.34303,forecast
52,,2807.973523,forecast
53,,2791.604016,forecast
54,,2775.234509,forecast
55,,2758.865002,forecast
56,,2742.495495,forecast
57,,2726.125989,forecast
58,,2709.756482,forecast
59,,2693.386975,forecast
60,,2677.017468,forecast
