medicine_id,width_type_id,height_type_id,plane_redundancy_mm2
1,5,6,0.0
2,3,6,4.0
3,3,6,0.0
4,1,5,0.0
5,3,6,0.0
6,3,8,1.0
7,6,1,1.0
8,3,4,0.0
9,3,4,1.0
10,8,3,0.0
11,8,3,0.0
12,8,3,0.0
13,8,3,0.0
14,8,3,0.0
15,8,3,0.0
16,8,3,0.0
17,8,6,0.0
18,1,6,0.0
19,4,5,0.0
20,9,7,4.0
21,2,4,0.0
22,7,5,0.0
23,3,6,0.0
24,2,4,0.0
25,1,5,0.0
26,3,4,3.0
27,3,6,3.0
28,7,6,0.0
29,7,6,1.0
30,4,1,6.0
31,3,3,0.0
32,3,5,0.0
33,3,9,0.0
34,1,5,2.0
35,4,6,0.0
36,7,4,0.0
37,7,6,8.0
38,2,2,0.0
39,9,3,30.0
40,2,5,0.0
41,9,2,0.0
42,2,4,0.0
43,12,4,0.0
44,5,7,0.0
45,10,6,0.0
46,10,6,20.0
47,11,6,3.0
48,2,6,3.0
49,11,3,8.0
50,2,6,4.0
51,3,4,0.0
52,3,5,0.0
53,10,2,3.0
54,11,3,0.0
55,6,1,3.0
56,5,1,0.0
57,2,6,2.0
58,3,5,0.0
59,7,3,6.0
60,9,1,12.0
61,1,2,3.0
62,1,3,7.0
63,3,6,0.0
64,9,1,2.0
65,10,2,12.0
66,5,4,0.0
67,1,5,0.0
68,3,5,0.0
69,6,7,0.0
70,2,2,4.0
71,3,6,0.0
72,10,2,20.0
73,5,2,4.0
74,8,2,4.0
75,2,4,0.0
76,6,7,0.0
77,3,5,0.0
78,3,5,5.0
79,3,4,5.0
80,1,4,10.0
81,7,4,0.0
82,8,1,14.0
83,10,3,0.0
84,1,4,9.0
85,9,1,12.0
86,9,1,2.0
87,1,5,15.0
88,3,5,0.0
89,9,4,9.0
90,10,2,20.0
91,1,5,0.0
92,10,3,0.0
93,1,6,0.0
94,5,5,4.0
95,9,9,30.0
96,7,2,0.0
97,1,4,0.0
98,5,5,0.0
99,1,5,2.0
100,5,7,0.0
101,5,7,1.0
102,7,7,1.0
103,3,1,2.0
104,3,1,0.0
105,3,1,0.0
106,5,4,0.0
107,1,4,28.0
108,3,6,4.0
109,11,8,6.0
110,3,5,0.0
111,1,5,5.0
112,1,4,0.0
113,3,7,1.0
114,6,6,2.0
115,3,5,0.0
116,2,3,3.0
117,1,3,3.0
118,3,7,1.0
119,5,7,1.0
120,1,2,0.0
121,3,8,4.0
122,1,5,12.0
123,1,8,4.0
124,3,8,0.0
125,2,4,0.0
126,3,1,6.0
127,7,8,0.0
128,1,4,16.0
129,10,2,12.0
130,2,5,1.0
131,2,4,0.0
132,2,1,0.0
133,2,6,1.0
134,6,6,1.0
135,3,6,1.0
136,3,6,1.0
137,3,9,0.0
138,10,3,0.0
139,9,9,84.0
140,2,3,10.0
141,1,5,0.0
142,10,3,0.0
143,12,3,30.0
144,6,3,0.0
145,2,1,8.0
146,6,4,4.0
147,3,4,5.0
148,10,3,50.0
149,9,1,12.0
150,10,3,10.0
151,1,6,10.0
152,10,2,12.0
153,11,3,8.0
154,10,3,0.0
155,10,2,2.0
156,9,1,8.0
157,9,1,12.0
158,10,2,20.0
159,10,2,20.0
160,9,1,12.0
161,10,2,0.0
162,10,2,20.0
163,3,6,4.0
164,3,6,0.0
165,2,4,0.0
166,3,6,0.0
167,10,2,20.0
168,1,6,0.0
169,2,4,2.0
170,10,2,0.0
171,9,1,8.0
172,9,4,0.0
173,11,3,18.0
174,7,1,20.0
175,6,1,4.0
176,9,4,25.0
177,1,3,0.0
178,5,1,0.0
179,4,6,3.0
180,9,1,2.0
181,10,2,0.0
182,12,3,15.0
183,11,3,8.0
184,1,4,4.0
185,1,6,0.0
186,3,5,5.0
187,12,9,140.0
188,8,9,0.0
189,10,9,92.0
190,11,5,1.0
191,10,2,2.0
192,3,6,0.0
193,5,9,40.0
194,5,7,0.0
195,3,8,0.0
196,1,6,0.0
197,1,3,0.0
198,2,4,3.0
199,1,5,0.0
200,10,5,5.0
201,10,3,0.0
202,10,2,12.0
203,2,5,0.0
204,10,2,2.0
205,3,6,4.0
206,10,2,6.0
207,9,9,66.0
208,10,5,1.0
209,2,5,3.0
210,2,6,0.0
211,10,3,0.0
212,9,3,8.0
213,5,1,0.0
214,3,4,7.0
215,3,5,3.0
216,3,4,4.0
217,3,4,6.0
218,5,1,0.0
219,3,3,0.0
220,10,3,0.0
221,3,5,3.0
222,5,6,0.0
223,12,3,30.0
224,10,4,5.0
225,3,5,5.0
226,3,5,4.0
227,8,1,14.0
228,3,7,4.0
229,10,3,0.0
230,1,2,2.0
231,11,3,8.0
232,11,3,0.0
233,2,5,4.0
234,8,3,4.0
235,10,3,0.0
236,2,6,5.0
237,3,5,0.0
238,10,8,0.0
239,5,6,0.0
240,2,3,0.0
241,1,5,5.0
242,9,1,2.0
243,11,3,8.0
244,3,4,3.0
245,10,4,20.0
246,6,6,0.0
247,3,8,0.0
248,5,8,6.0
249,6,3,9.0
250,5,3,10.0
251,6,4,0.0
