time,state
0.0,76.689335
2.0,70.956577
4.0,65.772693
6.0,61.08344
8.0,56.84809
10.0,53.027427
12.0,49.583721
14.0,46.480736
16.0,43.683723
18.0,41.159423
20.0,38.876067
22.0,36.804325
24.0,34.928005
26.0,33.232332
28.0,31.701739
30.0,30.321327
32.0,29.076861
34.0,27.954774
36.0,26.942165
38.0,26.026801
40.0,25.197241
42.0,24.44564
44.0,23.76607
46.0,23.152567
48.0,22.599373
50.0,22.100935
52.0,21.65191
54.0,21.247157
56.0,20.881745
58.0,20.550947
60.0,20.250507
62.0,19.978174
64.0,19.731912
66.0,19.509647
68.0,19.309354
70.0,19.129058
72.0,18.966831
74.0,18.820795
76.0,18.689121
78.0,18.570029
80.0,18.461788
