point_id,x,y,distance_to_fit_center
1,-0.194559,3.671896,3.383552
2,-0.194559,-0.283514,3.39329
3,-0.191838,-0.261293,3.378117
4,-0.189116,-0.21685,3.350245
5,-0.186395,-0.305736,3.399753
6,-0.194559,-0.239072,3.367471
7,-0.194559,-0.283514,3.39329
8,5.291446,-0.283514,3.379736
9,-0.191838,-0.305736,3.404146
10,-0.194287,3.671896,3.383331
11,-0.194559,-0.305736,3.406343
12,-0.191838,-0.283514,3.391084
13,-0.180953,-0.194629,3.330851
14,-0.189116,-0.305736,3.401949
15,-0.191565,-0.305736,3.403926
16,-0.194559,-0.305736,3.406343
17,-0.191838,-0.283514,3.391084
18,-0.180953,-0.194629,3.330851
19,-0.183674,-0.305736,3.397557
20,-0.188844,-0.305736,3.401729
21,-0.191838,-0.283514,3.391084
22,-0.185851,-0.305736,3.399314
23,-0.189116,-0.261293,3.375903
24,-0.186395,-0.239072,3.360804
25,-0.18313,-0.239072,3.358139
26,-0.182857,-0.283514,3.383809
27,-0.182585,-0.261293,3.370593
28,-0.180953,-0.194629,3.330851
29,-0.189116,-0.305736,3.401949
