x,observed_y,predicted_y,residual
0.5,3.0,1.457428,1.542572
3.0,-3.4,4.625829,-8.025829
3.0,0.5,4.625829,-4.125829
4.0,14.0,5.723905,8.276095
5.0,30.0,6.725246,23.274754
1.0,2.0,2.139475,-0.139475
6.0,6.0,7.629852,-1.629852
3.0,3.0,4.625829,-1.625829
3.0,3.0,4.625829,-1.625829
0.5,1.0,1.457428,-0.457428
3.1,0.5,4.73999,-4.23999
6.0,6.0,7.629852,-1.629852
3.0,3.0,4.625829,-1.625829
14.0,7.0,11.384264,-4.384264
4.2,14.0,5.931912,8.068088
6.0,6.0,7.629852,-1.629852
3.0,3.0,4.625829,-1.625829
30.0,1.0,0.320079,0.679921
5.1,1.0,6.820059,-5.820059
3.0,3.0,4.625829,-1.625829
6.0,6.0,7.629852,-1.629852
