month,mean_star_rating,review_count,low_rating_share,product_file
2002-03-01,3.0,1,0.0,hair_dryer.tsv
2002-04-01,5.0,1,0.0,hair_dryer.tsv
2002-07-01,5.0,1,0.0,hair_dryer.tsv
2002-08-01,3.0,2,0.5,hair_dryer.tsv
2002-11-01,4.0,1,0.0,hair_dryer.tsv
2002-12-01,5.0,2,0.0,hair_dryer.tsv
2003-01-01,4.5,4,0.0,hair_dryer.tsv
2003-02-01,4.0,2,0.0,hair_dryer.tsv
2003-03-01,4.0,2,0.0,hair_dryer.tsv
2003-04-01,5.0,2,0.0,hair_dryer.tsv
2004-01-01,2.5,2,0.5,hair_dryer.tsv
2004-03-01,5.0,2,0.0,hair_dryer.tsv
2004-05-01,1.0,1,1.0,hair_dryer.tsv
2004-08-01,2.0,1,1.0,hair_dryer.tsv
2004-11-01,4.0,2,0.0,hair_dryer.tsv
2005-04-01,1.0,1,1.0,hair_dryer.tsv
2005-05-01,1.0,1,1.0,hair_dryer.tsv
2005-06-01,5.0,1,0.0,hair_dryer.tsv
2005-07-01,5.0,1,0.0,hair_dryer.tsv
2005-08-01,3.0,1,0.0,hair_dryer.tsv
2005-09-01,4.333333333333333,6,0.0,hair_dryer.tsv
2005-10-01,5.0,3,0.0,hair_dryer.tsv
2005-11-01,3.5,2,0.5,hair_dryer.tsv
2005-12-01,4.5,4,0.0,hair_dryer.tsv
2006-01-01,3.3,10,0.4,hair_dryer.tsv
2006-02-01,3.3333333333333335,12,0.3333333333333333,hair_dryer.tsv
2006-03-01,3.5384615384615383,13,0.23076923076923078,hair_dryer.tsv
2006-04-01,3.0,3,0.3333333333333333,hair_dryer.tsv
2006-05-01,1.6666666666666667,3,0.6666666666666666,hair_dryer.tsv
2006-06-01,2.0,5,0.8,hair_dryer.tsv
2006-07-01,3.3333333333333335,3,0.3333333333333333,hair_dryer.tsv
2006-08-01,3.0,4,0.25,hair_dryer.tsv
2006-09-01,2.6666666666666665,3,0.6666666666666666,hair_dryer.tsv
2006-10-01,1.5,2,1.0,hair_dryer.tsv
2006-11-01,3.7,10,0.2,hair_dryer.tsv
2006-12-01,4.333333333333333,3,0.0,hair_dryer.tsv
2007-01-01,4.0,22,0.18181818181818182,hair_dryer.tsv
2007-02-01,4.8,5,0.0,hair_dryer.tsv
2007-03-01,3.933333333333333,15,0.13333333333333333,hair_dryer.tsv
2007-04-01,3.838709677419355,31,0.22580645161290322,hair_dryer.tsv
