n,acceptance_number,reject_good_probability,accept_bad_probability
20,1,0.5483981160813443,0.1344369181470869
30,2,0.5144691770280969,0.10696561200615913
40,3,0.4907861843198198,0.08519220309907757
50,4,0.47234429142623746,0.06813282441113093
60,5,0.45708323130110007,0.05472052385305142
70,6,0.443962764837988,0.044114663975483984
80,7,0.4323861980030639,0.03568084764273611
90,8,0.4219798327379244,0.028940903278552553
100,9,0.4124940794156343,0.02353152670496564
110,9,0.5348878287333808,0.00883124383913669
120,10,0.5206263658299956,0.007318564127347674
130,11,0.5075628566676975,0.006061751292175471
140,12,0.4955048873805441,0.005019472885137534
150,13,0.4843028486848183,0.004156094131591742
160,14,0.47383823029232097,0.003441385215108518
170,15,0.46401563100897714,0.0028499537856779607
180,16,0.45475716149727075,0.0023606036991816737
190,17,0.44599843319626764,0.0019557125812245044
200,18,0.43768562586050463,0.0016206673663297108
210,18,0.5252898063535033,0.0006404981650473874
220,19,0.515287463887196,0.0005348825415476233
230,20,0.5057450514592692,0.0004465293009031212
240,21,0.4966224398679805,0.00037267104347946464
250,22,0.4878845314766814,0.00031096552056794147
260,23,0.4795004626744954,0.0002594367197699681
270,24,0.47144295647942513,0.00021642178978976896
280,25,0.46368779294120444,0.00018052417299662922
290,26,0.45621337277552265,0.00015057279254862267
300,27,0.4490003553878459,0.0001255868676162299
310,27,0.5208262055637722,5.064902123689444e-05
320,28,0.5126922414105196,4.2440410100503165e-05
330,29,0.504815640798921,3.555272776714765e-05
340,30,0.4971815730394672,2.9776016412661e-05
350,31,0.4897764481768654,2.493296809511888e-05
360,32,0.48258778480829934,2.0874050956006095e-05
370,33,0.47560409466868847,1.7473303839416036e-05
380,34,0.46881478155272027,1.4624725760954173e-05
390,35,0.46221005253415237,1.2239188648439073e-05
400,36,0.45578083976560446,1.0241806304577975e-05
410,36,0.5181141685677763,4.175857386990293e-06
420,37,0.5110862210906331,3.505765308680803e-06
430,38,0.5042277565504745,2.942562015314513e-06
440,39,0.49753172231315246,2.4693519012062393e-06
450,40,0.49099148919651603,2.0718722705466683e-06
460,41,0.4846008193570034,1.738092392189304e-06
470,42,0.4783538370183664,1.4578712403796246e-06
480,43,0.4722450017662858,1.2226659526646684e-06
490,44,0.4662690841600632,1.0252839473066817e-06
500,45,0.4604211434376334,8.596725006595303e-07
510,45,0.5162441614393481,3.5291973717271347e-07
520,46,0.5099675246147417,2.966513787414242e-07
530,47,0.5038131653708836,2.4930829122072386e-07
540,48,0.49777722170215244,2.0948496633812945e-07
550,49,0.49185600344388725,1.7599493546368954e-07
560,50,0.48604598293613177,1.4783715517780575e-07
570,51,0.48034378623308116,1.24167430724006e-07
580,52,0.4747461848310348,1.0427415087366558e-07
590,53,0.46925008788737,8.755770551075153e-08
600,54,0.4638525349032876,7.351304364916965e-08
610,54,0.5148547617002892,3.032139517462573e-08
620,55,0.5091309369669228,2.550890592930969e-08
630,56,0.5035006446136734,2.1456799106484254e-08
640,57,0.49796157315553446,1.8045653824623698e-08
650,58,0.49251148776889275,1.5174652077484103e-08
660,59,0.4871482274703962,1.2758713516890047e-08
670,60,0.4818697023697712,1.0726064453557467e-08
680,61,0.47667389100191815,9.016176833187066e-09
690,62,0.4715588377419163,7.578022097758293e-09
