time,state
0.0,122.700938
2.0,113.953301
4.0,105.916656
6.0,98.531979
8.0,91.751102
10.0,85.527962
12.0,79.818576
14.0,74.581041
16.0,69.775534
18.0,65.364312
20.0,61.311713
22.0,57.58429
24.0,54.155483
26.0,51.004606
28.0,48.111663
30.0,45.457389
32.0,43.023252
34.0,40.791455
36.0,38.744928
38.0,36.867338
40.0,35.143083
42.0,33.557292
44.0,32.096678
46.0,30.753178
48.0,29.518854
50.0,28.385846
52.0,27.346566
54.0,26.3937
56.0,25.52021
58.0,24.719329
60.0,23.984564
62.0,23.309697
64.0,22.688782
66.0,22.116834
68.0,21.591351
70.0,21.108853
72.0,20.665929
74.0,20.259365
76.0,19.886144
78.0,19.543447
80.0,19.228649
