daily_cap,visitor_fee_usd,conservation_share,annual_visitors,business_revenue_usd,fee_revenue_usd,total_revenue_usd,hidden_cost_usd,net_benefit_usd,conservation_spend_usd,infrastructure_spend_usd,community_spend_usd,projected_glacier_recession_fields_per_year,economic_index,environment_index,resident_acceptance_index,sustainability_score
10000.0,0.0,0.2,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.25,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.3,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.35,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.4,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.45,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.5,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.55,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,0.0,0.6,1468800.0,344250000.0,0.0,344250000.0,117504000.0,226746000.0,0.0,0.0,0.0,0.48565,0.918,0.427175,0.58,0.6699995000000001
10000.0,5.0,0.2,1468800.0,344250000.0,7344000.0,351594000.0,114052202.496,237541797.504,1468800.0,2643840.0000000005,3231360.0,0.476733466,0.937584,0.4499932670000001,0.6607839999999999,0.70537115078
10000.0,5.0,0.25,1468800.0,344250000.0,7344000.0,351594000.0,114267939.84,237326060.16,1836000.0,2478600.0,3029400.0,0.4745043325,0.937584,0.45569783375000006,0.655735,0.706098943475
10000.0,5.0,0.3,1468800.0,344250000.0,7344000.0,351594000.0,114483677.184,237110322.81599998,2203200.0,2313360.0,2827439.9999999995,0.47227519900000003,0.937584,0.46140240050000003,0.650686,0.7068267361699999
10000.0,5.0,0.35,1468800.0,344250000.0,7344000.0,351594000.0,114699414.528,236894585.472,2570400.0,2148120.0000000005,2625480.0,0.47004606550000005,0.937584,0.46710696725,0.645637,0.7075545288649999
10000.0,5.0,0.4,1468800.0,344250000.0,7344000.0,351594000.0,114915151.872,236678848.12800002,2937600.0,1982880.0000000002,2423519.9999999995,0.467816932,0.937584,0.472811534,0.6405879999999999,0.7082823215599999
10000.0,5.0,0.45,1468800.0,344250000.0,7344000.0,351594000.0,115130889.216,236463110.78399998,3304800.0,1817640.0000000002,2221560.0,0.46558779850000004,0.937584,0.47851610074999995,0.635539,0.7090101142549999
10000.0,5.0,0.5,1468800.0,344250000.0,7344000.0,351594000.0,115346626.56,236247373.44,3672000.0,1652400.0,2019600.0000000002,0.463358665,0.937584,0.4842206675000001,0.63049,0.70973790695
