time,state
0.0,99.953746
2.0,93.371842
4.0,87.310243
6.0,81.72677
8.0,76.58699
10.0,71.857968
12.0,67.508235
14.0,63.507791
16.0,59.828102
18.0,56.442104
20.0,53.3242
22.0,50.450269
24.0,47.799839
26.0,45.357663
28.0,43.109373
30.0,41.041094
32.0,39.139443
34.0,37.391532
36.0,35.784966
38.0,34.307845
40.0,32.948759
42.0,31.696796
44.0,30.541535
46.0,29.474956
48.0,28.491898
50.0,27.58672
52.0,26.753955
54.0,25.988315
56.0,25.28469
58.0,24.638145
60.0,24.043923
62.0,23.497446
64.0,22.994312
66.0,22.530295
68.0,22.101662
70.0,21.706789
72.0,21.343315
74.0,21.008779
76.0,20.700876
78.0,20.417459
80.0,20.156533
