genre,Blues,Country,Electronic,Folk,International,Jazz,Latin,Pop/Rock,R&B;,Reggae,Religious,Vocal
Blues,1.0000000000000002,0.6445936236492241,-0.6586129090987962,0.8132134978553325,0.8053442292492929,0.5833855126217198,0.4229656812574809,-0.8103033359809225,0.15889350584792888,0.16219781102162237,-0.231453332197657,0.7396527345448649
Country,0.6445936236492241,1.0,-0.6283653704907342,0.4854373966964278,0.25503661412036716,-0.1022248189518459,0.6594602782909473,-0.30078285625637025,0.3957674342613995,0.205471288784536,-0.3047930642042122,0.38518167297661016
Electronic,-0.6586129090987962,-0.6283653704907342,1.0,-0.6640706402953804,-0.3852026879888675,-0.1063066502156024,-0.14612554578026488,0.2844876125859356,0.07035892598339694,0.20643912097429862,-0.16207922052448037,-0.7247074431210528
Folk,0.8132134978553325,0.4854373966964278,-0.6640706402953804,0.9999999999999998,0.7890635295554322,0.6756000305965033,0.054218135458436734,-0.7999314997435416,-0.17981446986620275,-0.19938239656634915,0.04109811699633247,0.9465370425451457
International,0.8053442292492929,0.25503661412036716,-0.3852026879888675,0.7890635295554322,1.0,0.8220847071358939,0.317648994576715,-0.9389309073765035,0.07494099370177916,0.04722964452795038,0.01231616682250869,0.7218468243394747
Jazz,0.5833855126217198,-0.1022248189518459,-0.1063066502156024,0.6756000305965033,0.8220847071358939,1.0,-0.14511478872448147,-0.8088867675151619,-0.3241226984184098,-0.23515167183140234,-0.021281482317479006,0.6324165007202058
Latin,0.4229656812574809,0.6594602782909473,-0.14612554578026488,0.054218135458436734,0.317648994576715,-0.14511478872448147,0.9999999999999999,-0.29945945329354096,0.7365571396561694,0.5710452594119866,-0.33644740427947367,-0.052227900384724274
Pop/Rock,-0.8103033359809225,-0.30078285625637025,0.2844876125859356,-0.7999314997435416,-0.9389309073765035,-0.8088867675151619,-0.29945945329354096,1.0000000000000002,-0.16112418556902502,-0.20193388511755112,0.10771746471888584,-0.7263846100392428
R&B;,0.15889350584792888,0.3957674342613995,0.07035892598339694,-0.17981446986620275,0.07494099370177916,-0.3241226984184098,0.7365571396561694,-0.16112418556902502,1.0,0.8355081124279329,-0.16594336831061196,-0.26079054661811796
Reggae,0.16219781102162237,0.205471288784536,0.20643912097429862,-0.19938239656634915,0.04722964452795038,-0.23515167183140234,0.5710452594119866,-0.20193388511755112,0.8355081124279329,0.9999999999999999,-0.48211212461970787,-0.3012546548136161
Religious,-0.231453332197657,-0.3047930642042122,-0.16207922052448037,0.04109811699633247,0.01231616682250869,-0.021281482317479006,-0.33644740427947367,0.10771746471888584,-0.16594336831061196,-0.48211212461970787,1.0,0.22890259340873537
Vocal,0.7396527345448649,0.38518167297661016,-0.7247074431210528,0.9465370425451457,0.7218468243394747,0.6324165007202058,-0.052227900384724274,-0.7263846100392428,-0.26079054661811796,-0.3012546548136161,0.22890259340873537,1.0000000000000002
