day,level,weather,area,action,remaining_cash,remaining_water,remaining_food,from_area,water_consumed,food_consumed,mining_income
0,第三关,,1,buy_initial_resources,8185.0,117,123,,,,
1,第三关,高温,1,stay,8185.0,108,114,1,9,9,0.0
2,第三关,高温,2,move,8185.0,90,96,1,18,18,0.0
3,第三关,晴朗,3,move,8185.0,84,88,2,6,8,0.0
4,第三关,高温,6,move,8185.0,66,70,3,18,18,0.0
5,第三关,高温,7,move,8185.0,48,52,6,18,18,0.0
6,第三关,晴朗,8,move,8185.0,42,44,7,6,8,0.0
7,第三关,高温,11,move,8185.0,24,26,8,18,18,0.0
8,第三关,高温,12,move,8185.0,6,8,11,18,18,0.0
9,第三关,晴朗,13,move,8185.0,0,0,12,6,8,0.0
0,第四关,,1,buy_initial_resources,6480.0,220,242,,,,
1,第四关,晴朗,2,move,6480.0,214,234,1,6,8,0.0
2,第四关,高温,3,move,6480.0,196,216,2,18,18,0.0
3,第四关,晴朗,8,move,6480.0,190,208,3,6,8,0.0
4,第四关,高温,13,move,6480.0,172,190,8,18,18,0.0
5,第四关,晴朗,18,move,6480.0,166,182,13,6,8,0.0
6,第四关,高温,18,stay,6480.0,157,173,18,9,9,0.0
7,第四关,晴朗,18,mine,7480.0,148,161,18,9,12,1000.0
8,第四关,沙暴,18,stay,7480.0,138,151,18,10,10,0.0
9,第四关,高温,18,mine,8480.0,111,124,18,27,27,1000.0
10,第四关,晴朗,18,mine,9480.0,102,112,18,9,12,1000.0
11,第四关,晴朗,18,mine,10480.0,93,100,18,9,12,1000.0
12,第四关,高温,18,mine,11480.0,66,73,18,27,27,1000.0
13,第四关,晴朗,18,mine,12480.0,57,61,18,9,12,1000.0
14,第四关,高温,18,mine,13480.0,30,34,18,27,27,1000.0
15,第四关,晴朗,19,move,13480.0,24,26,18,6,8,0.0
16,第四关,高温,20,move,13480.0,6,8,19,18,18,0.0
17,第四关,晴朗,25,move,13480.0,0,0,20,6,8,0.0
