hour,national_PM2.5,national_PM10,national_CO,national_NO2,national_SO2,national_O3,self_PM2.5,self_PM10,self_CO,self_NO2,self_SO2,self_O3,weather_风速,weather_压强,weather_降水量,weather_温度,weather_湿度,residual_PM2.5,residual_PM10,residual_CO,residual_NO2,residual_SO2,residual_O3
2018-11-14 10:00:00,33,71,0.756,9,25,80,46.32,92.8,0.7120000000000001,56.36,15.12,53.04,1.188,1020.252,89.8,16.2,61.0,13.32,21.799999999999997,-0.04399999999999993,47.36,-9.88,-26.96
2018-11-14 11:00:00,32,69,0.736,9,22,86,40.81818181818182,83.04545454545455,0.7454545454545454,46.13636363636363,15.272727272727273,65.0,1.2818181818181817,1019.1,89.8,17.90909090909091,54.09090909090909,8.81818181818182,14.045454545454547,0.009454545454545382,37.13636363636363,-6.727272727272727,-21.0
2018-11-14 12:00:00,33,64,0.804,9,26,88,44.5,89.23076923076923,0.7576923076923077,43.5,15.153846153846153,69.65384615384616,1.2576923076923079,1018.3423076923077,89.79999999999998,18.0,51.80769230769231,11.5,25.230769230769226,-0.04630769230769238,34.5,-10.846153846153847,-18.34615384615384
2018-11-14 13:00:00,35,63,0.75,8,26,88,41.40909090909091,83.0909090909091,0.740909090909091,45.81818181818182,15.045454545454545,69.36363636363636,0.9681818181818183,1017.2272727272727,89.8,17.90909090909091,49.27272727272727,6.4090909090909065,20.090909090909093,-0.009090909090909038,37.81818181818182,-10.954545454545455,-18.63636363636364
2018-11-14 14:00:00,30,69,0.855,8,34,88,50.25,95.75,0.7541666666666668,60.833333333333336,15.0,58.416666666666664,1.1416666666666666,1017.1791666666667,89.8,17.541666666666668,52.208333333333336,20.25,26.75,-0.10083333333333322,52.833333333333336,-19.0,-29.583333333333336
2018-11-14 15:00:00,33,76,0.763,8,37,89,49.04545454545455,95.13636363636364,0.7136363636363636,60.13636363636363,15.227272727272727,61.86363636363637,0.8454545454545456,1017.3409090909091,89.8,17.0,54.68181818181818,16.045454545454547,19.13636363636364,-0.04936363636363639,52.13636363636363,-21.772727272727273,-27.136363636363633
2018-11-14 16:00:00,37,79,0.768,8,47,77,48.96774193548387,95.96774193548387,0.7193548387096774,68.51612903225806,15.290322580645162,56.87096774193548,0.767741935483871,1017.5870967741936,89.8,16.193548387096776,57.354838709677416,11.967741935483872,16.967741935483872,-0.04864516129032259,60.516129032258064,-31.70967741935484,-20.12903225806452
2018-11-14 17:00:00,44,82,0.863,8,72,40,47.93333333333333,94.96666666666667,0.7466666666666666,78.4,15.6,112.76666666666667,0.5033333333333333,1017.92,89.8,15.3,62.0,3.93333333333333,12.966666666666669,-0.1163333333333334,70.4,-56.4,72.76666666666667
2018-11-14 18:00:00,48,102,0.876,8,56,50,51.111111111111114,99.77777777777777,0.7481481481481481,93.4074074074074,16.14814814814815,109.11111111111111,0.42592592592592593,1018.1407407407407,89.8,15.0,64.88888888888889,3.1111111111111143,-2.2222222222222285,-0.12785185185185188,85.4074074074074,-39.85185185185185,59.111111111111114
2018-11-14 19:00:00,40,92,0.994,7,81,22,59.291666666666664,107.66666666666667,0.7916666666666666,68.33333333333333,16.916666666666668,108.29166666666667,0.3125,1018.3000000000001,89.8,14.125,68.41666666666667,19.291666666666664,15.666666666666671,-0.20233333333333337,61.33333333333333,-64.08333333333333,86.29166666666667
2018-11-14 20:00:00,56,112,0.944,8,76,18,61.45,110.85,0.795,64.15,16.8,107.35,0.445,1018.43,89.8,14.15,69.65,5.450000000000003,-1.1500000000000057,-0.1489999999999999,56.150000000000006,-59.2,89.35
2018-11-14 21:00:00,51,89,0.862,8,38,56,70.0,124.57894736842105,0.7684210526315789,78.26315789473684,16.0,102.63157894736842,0.6789473684210526,1018.7315789473685,89.8,14.894736842105264,70.89473684210526,19.0,35.578947368421055,-0.0935789473684211,70.26315789473684,-22.0,46.631578947368425
2018-11-14 22:00:00,50,85,0.934,9,36,58,73.14814814814815,131.0,0.7481481481481481,72.14814814814815,15.703703703703704,98.77777777777777,0.7703703703703704,1018.7,89.8,14.0,71.14814814814815,23.148148148148152,46.0,-0.18585185185185193,63.14814814814815,-20.296296296296298,40.77777777777777
2018-11-14 23:00:00,55,85,0.919,9,36,57,72.46875,129.5625,0.74375,69.5625,15.65625,98.46875,0.896875,1018.5968750000001,89.8,14.0,71.25,17.46875,44.5625,-0.17525000000000002,60.5625,-20.34375,41.46875
2018-11-15 00:00:00,50,81,0.873,9,32,59,68.45833333333333,122.33333333333333,0.7374999999999999,66.45833333333333,15.708333333333334,85.375,0.5875,1018.7166666666667,89.8,14.0,73.33333333333333,18.45833333333333,41.33333333333333,-0.13550000000000006,57.45833333333333,-16.291666666666664,26.375
2018-11-15 01:00:00,46,71,0.839,9,26,65,54.34782608695652,104.8695652173913,0.717391304347826,58.73913043478261,15.217391304347826,45.69565217391305,0.5304347826086956,1018.5869565217391,89.8,14.0,70.73913043478261,8.347826086956523,33.8695652173913,-0.12160869565217391,49.73913043478261,-10.782608695652174,-19.304347826086953
2018-11-15 02:00:00,43,59,0.781,10,25,68,45.25,92.58333333333333,0.7083333333333334,56.583333333333336,15.208333333333334,41.375,0.6375000000000001,1018.2375000000001,89.875,14.0,69.375,2.25,33.58333333333333,-0.07266666666666666,46.583333333333336,-9.791666666666666,-26.625
2018-11-15 03:00:00,32,51,0.739,9,24,69,41.0,84.16666666666667,0.7041666666666666,54.625,15.041666666666666,45.166666666666664,0.7125,1017.8541666666666,89.90000000000002,14.0,69.45833333333333,9.0,33.16666666666667,-0.03483333333333338,45.625,-8.958333333333334,-23.833333333333336
2018-11-15 04:00:00,30,47,0.743,9,23,64,45.074074074074076,91.74074074074075,0.7,55.2962962962963,15.407407407407407,53.22222222222222,0.5444444444444445,1018.0666666666666,89.90370370370371,13.777777777777779,74.55555555555556,15.074074074074076,44.74074074074075,-0.04300000000000004,46.2962962962963,-7.5925925925925934,-10.777777777777779
2018-11-15 05:00:00,36,50,0.881,8,37,39,65.92307692307692,118.1923076923077,0.7153846153846153,72.11538461538461,15.576923076923077,90.11538461538461,0.6,1018.3615384615384,90.19999999999999,12.846153846153847,82.42307692307692,29.92307692307692,68.1923076923077,-0.16561538461538472,64.11538461538461,-21.423076923076923,51.11538461538461
2018-11-15 06:00:00,39,54,0.792,7,34,38,68.96153846153847,123.38461538461539,0.7,73.03846153846153,15.76923076923077,89.26923076923077,0.5192307692307693,1018.8038461538462,91.93846153846154,12.0,91.96153846153847,29.961538461538467,69.38461538461539,-0.09200000000000008,66.03846153846153,-18.23076923076923,51.269230769230774
2018-11-15 07:00:00,44,45,0.706,6,32,41,57.74074074074074,110.37037037037037,0.7,73.37037037037037,15.333333333333334,90.33333333333333,0.5925925925925926,1019.2259259259258,93.76666666666667,12.0,94.03703703703704,13.74074074074074,65.37037037037037,-0.006000000000000005,67.37037037037037,-16.666666666666664,49.33333333333333
2018-11-15 08:00:00,35,29,0.68,6,33,42,49.34782608695652,100.47826086956522,0.7130434782608696,74.69565217391305,15.521739130434783,90.43478260869566,0.8304347826086957,1019.6086956521739,94.79130434782608,12.0,93.6086956521739,14.347826086956523,71.47826086956522,0.03304347826086951,68.69565217391305,-17.47826086956522,48.434782608695656
2018-11-15 09:00:00,27,31,0.733,7,37,41,44.22727272727273,91.5,0.6909090909090909,78.13636363636364,15.409090909090908,91.63636363636364,0.5681818181818182,1020.1045454545455,94.8,12.0,91.5,17.227272727272727,60.5,-0.04209090909090907,71.13636363636364,-21.590909090909093,50.63636363636364
2018-11-15 13:00:00,23,42,0.616,7,36,28,36.333333333333336,72.75,0.6999999999999998,75.125,15.375,92.75,0.5583333333333333,1017.1333333333333,94.96666666666665,14.75,79.25,13.333333333333336,30.75,0.08399999999999985,68.125,-20.625,64.75
2018-11-15 14:00:00,21,29,0.598,7,42,25,37.625,75.5,0.7041666666666666,79.125,15.416666666666666,92.25,0.525,1017.0916666666667,95.0,14.625,79.54166666666667,16.625,46.5,0.10616666666666663,72.125,-26.583333333333336,67.25
2018-11-15 15:00:00,22,35,0.679,8,51,19,37.91304347826087,76.34782608695652,0.7086956521739131,90.82608695652173,15.521739130434783,92.82608695652173,0.6043478260869566,1017.2434782608696,95.0,15.0,79.69565217391305,15.913043478260867,41.347826086956516,0.029695652173913012,82.82608695652173,-35.47826086956522,73.82608695652173
2018-11-15 16:00:00,22,36,0.694,9,50,20,37.607142857142854,75.75,0.7214285714285714,91.21428571428571,15.392857142857142,94.75,0.5892857142857143,1017.4,95.0,14.464285714285714,79.57142857142857,15.607142857142854,39.75,0.02742857142857147,82.21428571428571,-34.60714285714286,74.75
2018-11-15 17:00:00,20,36,0.648,8,56,18,35.40909090909091,70.86363636363636,0.7045454545454546,89.18181818181819,15.545454545454545,95.18181818181819,0.36363636363636365,1017.9818181818181,95.0,14.227272727272727,79.31818181818181,15.409090909090907,34.86363636363636,0.056545454545454565,81.18181818181819,-40.45454545454545,77.18181818181819
2018-11-15 18:00:00,20,41,0.601,8,38,30,29.296296296296298,55.51851851851852,0.6962962962962962,72.4074074074074,15.407407407407407,91.22222222222223,0.8333333333333334,1018.4962962962964,95.0,14.148148148148149,76.55555555555556,9.296296296296298,14.518518518518519,0.09529629629629621,64.4074074074074,-22.592592592592595,61.22222222222223
2018-11-15 19:00:00,18,28,0.524,8,35,34,31.814814814814813,61.48148148148148,0.7037037037037037,71.29629629629629,15.814814814814815,89.92592592592592,0.7666666666666666,1018.7518518518518,95.0,14.0,78.33333333333333,13.814814814814813,33.48148148148148,0.1797037037037037,63.29629629629629,-19.185185185185183,55.925925925925924
2018-11-15 20:00:00,23,29,0.589,11,44,24,40.91304347826087,82.78260869565217,0.7,80.21739130434783,15.956521739130435,89.78260869565217,0.4826086956521739,1019.1608695652175,95.0,14.0,79.82608695652173,17.913043478260867,53.78260869565217,0.11099999999999999,69.21739130434783,-28.043478260869563,65.78260869565217
2018-11-15 21:00:00,27,37,0.56,11,38,29,38.93103448275862,78.34482758620689,0.7,77.06896551724138,15.724137931034482,89.3103448275862,0.5758620689655172,1019.6724137931035,95.0,14.0,81.62068965517241,11.93103448275862,41.34482758620689,0.1399999999999999,66.06896551724138,-22.275862068965516,60.310344827586206
2018-11-15 22:00:00,20,34,0.53,9,32,32,38.93103448275862,77.10344827586206,0.6827586206896551,70.3103448275862,15.068965517241379,88.03448275862068,0.4482758620689655,1019.8000000000001,95.12758620689655,13.137931034482758,87.27586206896552,18.93103448275862,43.103448275862064,0.15275862068965507,61.310344827586206,-16.93103448275862,56.03448275862068
2018-11-15 23:00:00,17,24,0.519,7,26,35,35.03448275862069,68.93103448275862,0.6620689655172414,64.44827586206897,15.137931034482758,87.20689655172414,0.4551724137931034,1019.8551724137931,95.2,13.0,89.51724137931035,18.03448275862069,44.93103448275862,0.14306896551724135,57.44827586206897,-10.862068965517242,52.20689655172414
