day,level,weather,area,action,remaining_cash,remaining_water,remaining_food,from_area,water_consumed,food_consumed,mining_income
0,第一关,,1,buy_initial_resources,6700.0,232,214,,,,
1,第一关,高温,2,move,6700.0,216,202,1,16,12,0.0
2,第一关,高温,3,move,6700.0,200,190,2,16,12,0.0
3,第一关,晴朗,12,move,6700.0,190,176,3,10,14,0.0
4,第一关,沙暴,12,stay,6700.0,180,166,12,10,10,0.0
5,第一关,晴朗,12,mine,7700.0,165,145,12,15,21,1000.0
6,第一关,高温,12,mine,8700.0,141,127,12,24,18,1000.0
7,第一关,沙暴,12,stay,8700.0,131,117,12,10,10,0.0
8,第一关,晴朗,12,mine,9700.0,116,96,12,15,21,1000.0
9,第一关,高温,13,move,9700.0,100,84,12,16,12,0.0
10,第一关,高温,14,move,9700.0,84,72,13,16,12,0.0
11,第一关,沙暴,14,stay,9700.0,74,62,14,10,10,0.0
12,第一关,高温,15,move,9700.0,58,50,14,16,12,0.0
13,第一关,晴朗,16,move,9700.0,48,36,15,10,14,0.0
14,第一关,高温,17,move,9700.0,32,24,16,16,12,0.0
15,第一关,高温,18,move,9700.0,16,12,17,16,12,0.0
16,第一关,高温,27,move,9700.0,0,0,18,16,12,0.0
0,第二关,,1,buy_initial_resources,6990.0,214,194,,,,
1,第二关,高温,2,move,6990.0,198,182,1,16,12,0.0
2,第二关,高温,3,move,6990.0,182,170,2,16,12,0.0
3,第二关,晴朗,4,move,6990.0,172,156,3,10,14,0.0
4,第二关,沙暴,4,stay,6990.0,162,146,4,10,10,0.0
5,第二关,晴朗,5,move,6990.0,152,132,4,10,14,0.0
6,第二关,高温,6,move,6990.0,136,120,5,16,12,0.0
7,第二关,沙暴,6,stay,6990.0,126,110,6,10,10,0.0
8,第二关,晴朗,7,move,6990.0,116,96,6,10,14,0.0
9,第二关,高温,15,move,6990.0,100,84,7,16,12,0.0
10,第二关,高温,23,move,6990.0,84,72,15,16,12,0.0
11,第二关,沙暴,23,stay,6990.0,74,62,23,10,10,0.0
12,第二关,高温,31,move,6990.0,58,50,23,16,12,0.0
13,第二关,晴朗,39,move,6990.0,48,36,31,10,14,0.0
14,第二关,高温,47,move,6990.0,32,24,39,16,12,0.0
15,第二关,高温,55,move,6990.0,16,12,47,16,12,0.0
16,第二关,高温,64,move,6990.0,0,0,55,16,12,0.0
