date,beijing_time,latitude_deg,longitude_deg,solar_altitude_deg,shadow_x_m,shadow_y_m,shadow_length_m
2015-10-22,09:00:00,39.90722222,116.39138889,23.547067,-5.155988,4.561363,6.884057
2015-10-22,09:05:00,39.90722222,116.39138889,24.259174,-4.90132,4.504605,6.656907
2015-10-22,09:10:00,39.90722222,116.39138889,24.958887,-4.660954,4.452097,6.445592
2015-10-22,09:15:00,39.90722222,116.39138889,25.645765,-4.433462,4.40344,6.248669
2015-10-22,09:20:00,39.90722222,116.39138889,26.31936,-4.217594,4.358285,6.064879
2015-10-22,09:25:00,39.90722222,116.39138889,26.979211,-4.012248,4.316328,5.893116
2015-10-22,09:30:00,39.90722222,116.39138889,27.62485,-3.816448,4.2773,5.732414
2015-10-22,09:35:00,39.90722222,116.39138889,28.255798,-3.62933,4.240962,5.581917
2015-10-22,09:40:00,39.90722222,116.39138889,28.871571,-3.45012,4.207105,5.44087
2015-10-22,09:45:00,39.90722222,116.39138889,29.471676,-3.278129,4.175541,5.308604
2015-10-22,09:50:00,39.90722222,116.39138889,30.055614,-3.112736,4.146102,5.184524
2015-10-22,09:55:00,39.90722222,116.39138889,30.622881,-2.953381,4.118641,5.068103
2015-10-22,10:00:00,39.90722222,116.39138889,31.172969,-2.799558,4.093023,4.958867
2015-10-22,10:05:00,39.90722222,116.39138889,31.705365,-2.650807,4.069129,4.856397
2015-10-22,10:10:00,39.90722222,116.39138889,32.219558,-2.506711,4.04685,4.760315
2015-10-22,10:15:00,39.90722222,116.39138889,32.715032,-2.366887,4.02609,4.670285
2015-10-22,10:20:00,39.90722222,116.39138889,33.191278,-2.230985,4.006762,4.586004
2015-10-22,10:25:00,39.90722222,116.39138889,33.647786,-2.098682,3.988786,4.507203
2015-10-22,10:30:00,39.90722222,116.39138889,34.084052,-1.969682,3.972091,4.433639
2015-10-22,10:35:00,39.90722222,116.39138889,34.499581,-1.843709,3.956614,4.365096
2015-10-22,10:40:00,39.90722222,116.39138889,34.893885,-1.720507,3.942297,4.301377
2015-10-22,10:45:00,39.90722222,116.39138889,35.266489,-1.59984,3.929086,4.242311
2015-10-22,10:50:00,39.90722222,116.39138889,35.616931,-1.481483,3.916935,4.187741
2015-10-22,10:55:00,39.90722222,116.39138889,35.944765,-1.365228,3.905802,4.137528
2015-10-22,11:00:00,39.90722222,116.39138889,36.249564,-1.250879,3.895648,4.091549
2015-10-22,11:05:00,39.90722222,116.39138889,36.530921,-1.13825,3.88644,4.049695
2015-10-22,11:10:00,39.90722222,116.39138889,36.788453,-1.027164,3.878147,4.011868
2015-10-22,11:15:00,39.90722222,116.39138889,37.0218,-0.917453,3.870741,3.977984
2015-10-22,11:20:00,39.90722222,116.39138889,37.230634,-0.808957,3.864201,3.947969
2015-10-22,11:25:00,39.90722222,116.39138889,37.414653,-0.701521,3.858504,3.921758
2015-10-22,11:30:00,39.90722222,116.39138889,37.573589,-0.594996,3.853634,3.899296
2015-10-22,11:35:00,39.90722222,116.39138889,37.707205,-0.489239,3.849574,3.880538
2015-10-22,11:40:00,39.90722222,116.39138889,37.815303,-0.384108,3.846313,3.865444
2015-10-22,11:45:00,39.90722222,116.39138889,37.89772,-0.279468,3.84384,3.853986
2015-10-22,11:50:00,39.90722222,116.39138889,37.954329,-0.175182,3.842149,3.84614
2015-10-22,11:55:00,39.90722222,116.39138889,37.985044,-0.071118,3.841233,3.841892
2015-10-22,12:00:00,39.90722222,116.39138889,37.989819,0.032856,3.841091,3.841232
2015-10-22,12:05:00,39.90722222,116.39138889,37.968645,0.136872,3.841722,3.844159
2015-10-22,12:10:00,39.90722222,116.39138889,37.921556,0.241061,3.843127,3.85068
2015-10-22,12:15:00,39.90722222,116.39138889,37.848623,0.345555,3.845312,3.860807
2015-10-22,12:20:00,39.90722222,116.39138889,37.749958,0.45049,3.848282,3.87456
2015-10-22,12:25:00,39.90722222,116.39138889,37.625709,0.556,3.852046,3.891966
2015-10-22,12:30:00,39.90722222,116.39138889,37.476065,0.662226,3.856617,3.91306
