point_id,x,y,distance_to_fit_center
1,5.519068,0.553128,3.112668
2,0.548429,3.713858,3.065762
3,-0.209543,0.342412,2.906389
4,-0.105976,3.713858,3.521105
5,-0.197024,-0.321341,3.189152
6,-0.188488,-0.395091,3.221484
7,-0.216941,-0.289734,3.189629
8,-0.216941,-0.500449,3.30355
9,-0.214096,-0.500449,3.301199
10,-0.21125,-0.500449,3.298849
11,-0.208405,-0.510985,3.302458
12,-0.20556,-0.510985,3.300114
13,-0.202715,-0.510985,3.297771
14,-0.199869,-0.510985,3.295428
15,-0.197024,-0.500449,3.287111
16,-0.194179,-0.500449,3.284766
17,-0.21125,-0.289734,3.184761
18,-0.191334,-0.289734,3.167742
19,-0.216941,-0.289734,3.189629
20,-0.202715,0.131697,2.98048
21,-0.21125,-0.184376,3.131477
22,-0.197024,-0.321341,3.189152
23,-0.213527,0.342412,2.91012
24,-0.216941,-0.395091,3.245379
25,-0.214096,-0.395091,3.242987
26,-0.210966,-0.289734,3.184517
27,-0.202715,0.131697,2.98048
28,-0.21125,-0.184376,3.131477
29,-0.191334,-0.289734,3.167742
30,-0.216941,-0.395091,3.245379
31,-0.199869,0.237055,2.935995
32,-0.191334,-0.289734,3.167742
