state,year,renewable_consumption_share,renewable_production_share,nonhydro_renewable_share
AZ,1960,0.12779153715389835,0.9848686165702173,0.014173583653820904
AZ,1961,0.11503653897131283,0.9880752919476014,0.012581437630497424
AZ,1962,0.10622867334743995,0.9865792055477859,0.011295895076400785
AZ,1963,0.10003772402551234,0.9507174987472261,0.011557402708041868
AZ,1964,0.09266274943587341,0.9316141715113415,0.01105626883055561
AZ,1965,0.13344856270363384,0.9285991359981505,0.009843719223450882
AZ,1966,0.14385757828275184,0.9338442054418914,0.009116545249408506
AZ,1967,0.13611999634856684,0.7549900670942143,0.010084588925773668
AZ,1968,0.1391134532119653,0.7560147960385254,0.009091790000767284
AZ,1969,0.13617617204780447,0.8158316566125162,0.008810341525350296
AZ,1970,0.1324429542374385,0.8268940352927675,0.00833905024821368
AZ,1971,0.13377871708337838,0.6894520290331936,0.008167884866623445
AZ,1972,0.12198052718137163,0.5127301880322653,0.007758642955636657
AZ,1973,0.11841881688726341,0.5091626197588408,0.006826346783374535
AZ,1974,0.1213394512455413,0.35838268971166354,0.007072206301960146
AZ,1975,0.12257271546411168,0.3384005758905335,0.008202761033650747
AZ,1976,0.12202869657677368,0.2656657206918297,0.008406567633820746
AZ,1977,0.1024282402537249,0.23459216731826538,0.00925510725662317
AZ,1978,0.10678634456326343,0.28270347525900913,0.009531410991813975
AZ,1979,0.106071556612432,0.2468654953219606,0.010543338144384807
AZ,1980,0.1590629998407516,0.3302501087470482,0.023639479547815607
AZ,1981,0.11751987708409341,0.26358916017316397,0.027251411191868014
AZ,1982,0.12724201109436464,0.25656818953296523,0.028987000857334685
AZ,1983,0.23224703070017758,0.4099352393599027,0.031200049131497112
AZ,1984,0.2353087103904871,0.4247751526054064,0.031326928517411416
AZ,1985,0.20367727224912552,0.4320958668464627,0.03032111549808786
AZ,1986,0.2053207256843745,0.3261901744460638,0.028191604810584987
AZ,1987,0.14221884716049504,0.2387205324040121,0.020240265267299374
AZ,1988,0.108957539002427,0.1601915146100915,0.020263066106171148
AZ,1989,0.10768212372067008,0.22548419816212673,0.020552672815174727
AZ,1990,0.09994031367970858,0.16790742225024247,0.01861303493767326
AZ,1991,0.09274843939637346,0.13793566456261822,0.019367354645625237
AZ,1992,0.08903655351455841,0.13851331188127158,0.01943624157786978
AZ,1993,0.08676040144899651,0.14780139858287852,0.017928218647476485
AZ,1994,0.08939323354879158,0.14977609618146734,0.017384102713896687
AZ,1995,0.09782238294046515,0.1597874516370199,0.019172067704635316
AZ,1996,0.0991755483370994,0.17412585432949165,0.016423872355906588
AZ,1997,0.12097481099120325,0.20053081101018516,0.017331510516058732
AZ,1998,0.10308043125442025,0.1828721331532932,0.013176668217720592
AZ,1999,0.09040779494966551,0.16654051523557514,0.012988137917624853
AZ,2000,0.07696339689924968,0.1434062110189511,0.01305240968151951
AZ,2001,0.0693999972692544,0.13251491347384933,0.010448896896830916
AZ,2002,0.06546815137931564,0.12623850023549366,0.009426329238665368
AZ,2003,0.06245167066533912,0.13050556592962678,0.009392297322915638
AZ,2004,0.05782867279345493,0.1250283381225062,0.00901986947762418
AZ,2005,0.06254422755058109,0.12866102733137316,0.019201797914349193
AZ,2006,0.06277687928512113,0.15911326574023885,0.018753795920872438
AZ,2007,0.062413051916014074,0.1559145750904771,0.020915035784975056
AZ,2008,0.07259814964500144,0.1681322908152663,0.02613099471690787
AZ,2009,0.07116298408837456,0.1551178774209351,0.028028619238720284
CA,1960,0.07826955767933755,0.10268777188246406,0.02388885570612826
CA,1961,0.06873029514972645,0.09473281769130822,0.023403492260229832
CA,1962,0.08830774680827216,0.1222200170168418,0.023605842216435025
CA,1963,0.09164111533122714,0.1266766192965524,0.024105290859311516
CA,1964,0.0784556307845761,0.11711187487522141,0.023782957267442728
CA,1965,0.09524472637497068,0.13906766358035214,0.02263603257665284
CA,1966,0.08069594391033516,0.11871389935824406,0.022033426784477495
CA,1967,0.09748958456620883,0.14170784560821348,0.02167068667090934
CA,1968,0.07746744809597213,0.11663846840993765,0.022381593351192212
CA,1969,0.10144404819771785,0.1547661371639228,0.022837567206255033
CA,1970,0.09464962297163654,0.1510928256883374,0.022185581162331564
CA,1971,0.09260043861981433,0.15926500304580576,0.021677812526323767
CA,1972,0.0801644953730259,0.15329408203949718,0.0242243850394929
CA,1973,0.09114491695119877,0.182067757028206,0.02480515690505865
CA,1974,0.11046941929320797,0.21654660122802713,0.027457257319791276
CA,1975,0.09557571006626908,0.20093698326880466,0.026640157449217872
CA,1976,0.06815676432363121,0.1528151473755189,0.02937944887251416
CA,1977,0.05295957466856962,0.1204501062321093,0.029664425628749803
CA,1978,0.08874044967271111,0.19054037645244506,0.02941268811693541
CA,1979,0.0828360888818085,0.18781887339965272,0.030872465820057156
CA,1980,0.09005771907446933,0.19356980780652966,0.025607086811739704
CA,1981,0.07912462259644815,0.1576802853474731,0.03024666085117901
CA,1982,0.1152062500778808,0.1995980697874602,0.029136132507580202
CA,1983,0.13267928389699907,0.21939276776322372,0.03477634989335254
CA,1984,0.10625813051422181,0.18429251761719434,0.03754123934616114
CA,1985,0.08976434888646806,0.1558348366005553,0.03974705274435918
CA,1986,0.10231374593282562,0.17485965556592634,0.03598878587461754
CA,1987,0.07528019992306825,0.14501542973339826,0.03854202184182415
CA,1988,0.07192661905822913,0.14535639774024486,0.03813581294170172
CA,1989,0.09965946806638577,0.205221883631308,0.05652115465737808
CA,1990,0.08916352498777794,0.1938879934166786,0.056375414093320954
CA,1991,0.08907752483679107,0.19027872128052772,0.05806524896908163
CA,1992,0.087182688852035,0.1870768825075036,0.05888084348757337
CA,1993,0.11394982111886548,0.2346201627893657,0.05611524923466913
CA,1994,0.08645682537481748,0.19091167844929693,0.054188334100722546
CA,1995,0.11589464133146174,0.24135822069095197,0.0487240899376619
CA,1996,0.11042156301255578,0.23311765804630968,0.048486540195401835
CA,1997,0.101254994475082,0.22614561107493675,0.0459364863268545
CA,1998,0.10693588825701968,0.24083646986587148,0.04248537844588983
CA,1999,0.0976532664924174,0.22823612566391416,0.04451132202393472
CA,2000,0.09297306746344121,0.22548267456204288,0.044017331159097596
CA,2001,0.07696590154779208,0.19901433127536106,0.04395568554352905
CA,2002,0.08521429466361345,0.2182581134090958,0.0457881385863797
CA,2003,0.09442414030090247,0.2345659605784523,0.04904573986062726
CA,2004,0.09230409849335468,0.23899893260045604,0.051255628042231806
CA,2005,0.0983168634766758,0.2501942592543765,0.05073408337914192
CA,2006,0.10674702318346405,0.27835938340732974,0.05004627464324806
CA,2007,0.08364473041085185,0.23018864651795864,0.051681661382897384
CA,2008,0.08165058974503302,0.2266017686016213,0.05299700885449464
CA,2009,0.08902668418704344,0.24375675726692028,0.055026718798682824
NM,1960,0.02240912299350485,0.004717756261326321,0.02014344864270415
