node_id,actuator_stroke_m
A0,-0.087545
B1,-0.082524
C1,-0.082527
D1,-0.082531
E1,-0.082527
A1,-0.082524
A3,-0.074436
B2,-0.067668
B3,-0.074451
C2,-0.067685
C3,-0.074461
D2,-0.067687
D3,-0.074461
E2,-0.067685
E3,-0.074451
A2,-0.067668
A5,-0.056723
A6,-0.056723
B4,-0.043769
B5,-0.056745
B6,-0.056744
C4,-0.043784
C5,-0.056762
C6,-0.056745
D4,-0.043777
D5,-0.056745
D6,-0.056762
E4,-0.043784
E5,-0.056744
E6,-0.056745
A4,-0.043769
A8,-0.030397
A9,-0.036686
A10,-0.030397
B7,-0.011994
B8,-0.030409
B9,-0.03672
B10,-0.030428
C7,-0.012023
C8,-0.030423
C9,-0.036728
C10,-0.030437
D7,-0.012075
D8,-0.030437
D9,-0.036728
D10,-0.030423
E7,-0.012023
E8,-0.030428
E9,-0.03672
E10,-0.030409
A7,-0.011994
A12,0.003643
A13,-0.008186
A14,-0.008186
A15,0.003643
B11,0.02578
B12,0.003619
B13,-0.008192
B14,-0.008204
B15,0.003598
C11,0.025742
C12,0.003583
C13,-0.008219
C14,-0.0082
C15,0.003588
D11,0.025759
D12,0.003588
D13,-0.0082
D14,-0.008219
D15,0.003583
E11,0.025742
E12,0.003598
E13,-0.008204
E14,-0.008192
E15,0.003619
A11,0.02578
A17,0.042557
A18,0.026836
A19,0.021359
A20,0.026836
A21,0.042557
B16,0.067359
B17,0.042565
B18,0.026837
B19,0.021349
B20,0.026821
B21,0.042539
C16,0.067342
C17,0.042553
C18,0.0268
C19,0.021304
C20,0.026761
C21,0.042556
D16,0.067327
D17,0.042556
D18,0.026761
D19,0.021304
D20,0.0268
D21,0.042553
E16,0.067342
E17,0.042539
E18,0.026821
E19,0.021349
E20,0.026837
E21,0.042565
A16,0.067359
A23,0.084466
A24,0.065986
A25,0.056284
A26,0.056284
A27,0.065986
A28,0.084466
B22,0.10989
B23,0.084481
B24,0.066024
B25,0.05629
B26,0.056294
B27,0.065984
B28,0.084429
C22,0.109821
C23,0.084395
C24,0.065987
C25,0.056243
C26,0.056269
C27,0.065912
C28,0.084341
D22,0.109777
D23,0.084341
D24,0.065912
D25,0.056269
D26,0.056243
D27,0.065987
D28,0.084395
E22,0.109821
E23,0.084429
E24,0.065984
E25,0.056294
E26,0.05629
E27,0.066024
E28,0.084481
A22,0.10989
A30,0.126034
A31,0.106747
A32,0.094247
A33,0.089971
A34,0.094247
A35,0.106747
A36,0.126034
B29,0.149745
B30,0.12599
B31,0.106747
B32,0.094221
B33,0.089922
B34,0.094209
B35,0.106694
B36,0.125969
C29,0.149701
C30,0.125942
C31,0.106688
C32,0.094174
C33,0.089906
C34,0.094126
C35,0.106621
C36,0.125938
D29,0.149672
D30,0.125938
D31,0.106621
D32,0.094126
D33,0.089906
D34,0.094174
D35,0.106688
D36,0.125942
E29,0.149701
E30,0.125969
E31,0.106694
E32,0.094209
E33,0.089922
E34,0.094221
E35,0.106747
E36,0.12599
A29,0.149745
A38,0.16521
A39,0.147543
A40,0.134095
A41,0.126911
A42,0.126911
A43,0.134095
A44,0.147543
A45,0.16521
B37,0.182988
B38,0.16523
B39,0.147547
B40,0.134062
B41,0.126888
B42,0.126887
B43,0.134058
B44,0.147481
B45,0.165183
C37,0.182919
C38,0.165174
C39,0.147457
C40,0.134002
C41,0.12682
C42,0.126802
C43,0.133981
C44,0.1474
C45,0.165157
D37,0.182953
D38,0.165157
D39,0.1474
D40,0.133981
D41,0.126802
D42,0.12682
D43,0.134002
D44,0.147457
D45,0.165174
E37,0.182919
E38,0.165183
E39,0.147481
E40,0.134058
E41,0.126887
E42,0.126888
E43,0.134062
E44,0.147547
E45,0.16523
A37,0.182988
A47,0.194041
A48,0.181957
A49,0.170159
A50,0.161973
