node_id,x_m,y_m,z_m,target_axis_t_m,axis_error_m
A0,0.0,0.0,-300.487545,-300.62,0.132455
B1,6.109478,8.40931,-300.302674,-300.427457,0.124783
C1,9.885415,-3.211882,-300.302678,-300.427465,0.124788
D1,0.0,-10.393855,-300.302681,-300.427475,0.124794
E1,-9.885415,-3.211882,-300.302678,-300.427465,0.124788
A1,-6.109478,8.40931,-300.302674,-300.427457,0.124783
A3,0.0,16.822167,-300.003219,-300.115663,0.112444
B2,12.21115,16.807785,-299.748606,-299.850742,0.102136
B3,15.998164,5.198288,-300.003235,-300.115702,0.112467
C2,19.758051,-6.419446,-299.748623,-299.850785,0.102162
C3,9.88745,-13.608372,-300.003244,-300.115727,0.112482
D2,0.0,-20.77468,-299.748625,-299.85079,0.102165
D3,-9.88745,-13.608372,-300.003244,-300.115727,0.112482
E2,-19.758051,-6.419446,-299.748623,-299.850785,0.102162
E3,-15.998164,5.198288,-300.003235,-300.115702,0.112467
A2,-12.21115,16.807785,-299.748606,-299.850742,0.102136
A5,-6.109053,25.240765,-299.332411,-299.417911,0.0855
A6,6.109053,25.240765,-299.332411,-299.417911,0.0855
B4,18.296966,25.183669,-298.826834,-298.8927,0.065866
B5,22.117077,13.60957,-299.332433,-299.417967,0.085534
B6,25.89259,1.990376,-299.332431,-299.417963,0.085532
C4,29.605114,-9.618402,-298.826848,-298.892736,0.065888
C5,19.778136,-16.828179,-299.33245,-299.418009,0.085559
C6,9.893468,-24.010535,-299.332432,-299.417965,0.085533
D4,0.0,-31.128536,-298.826841,-298.892719,0.065878
D5,-9.893468,-24.010535,-299.332432,-299.417965,0.085533
D6,-19.778136,-16.828179,-299.33245,-299.418009,0.085559
E4,-29.605114,-9.618402,-298.826848,-298.892736,0.065888
E5,-25.89259,1.990376,-299.332431,-299.417963,0.085532
E6,-22.117077,13.60957,-299.332433,-299.417967,0.085534
A4,-18.296966,25.183669,-298.826834,-298.8927,0.065866
A8,-12.190433,33.613401,-298.295181,-298.340844,0.045663
A9,0.0,33.642108,-298.547255,-298.602412,0.055157
A10,12.190433,33.613401,-298.295181,-298.340844,0.045663
B7,24.359273,33.528339,-297.539779,-297.557753,0.017973
B8,28.200654,21.981225,-298.295193,-298.340874,0.045681
B9,31.99471,10.396271,-298.547289,-298.602497,0.055208
B10,35.734719,-1.206122,-298.295211,-298.340921,0.045709
C7,39.414177,-12.806513,-297.539808,-297.557824,0.018016
C8,29.619399,-20.028028,-298.295207,-298.34091,0.045703
C9,19.773817,-27.216327,-298.547297,-298.602518,0.05522
C10,9.894802,-34.358481,-298.29522,-298.340943,0.045723
D7,0.0,-41.441666,-297.53986,-297.557954,0.018095
D8,-9.894802,-34.358481,-298.29522,-298.340943,0.045723
D9,-19.773817,-27.216327,-298.547297,-298.602518,0.05522
D10,-29.619399,-20.028028,-298.295207,-298.34091,0.045703
E7,-39.414177,-12.806513,-297.539808,-297.557824,0.018016
E8,-35.734719,-1.206122,-298.295211,-298.340921,0.045709
E9,-31.99471,10.396271,-298.547289,-298.602497,0.055208
E10,-28.200654,21.981225,-298.295193,-298.340874,0.045681
A7,-24.359273,33.528339,-297.539779,-297.557753,0.017973
A12,-18.294478,42.05349,-296.8752,-296.869752,-0.005448
A13,-6.108366,42.110147,-297.379503,-297.391763,0.01226
A14,6.108366,42.110147,-297.379503,-297.391763,0.01226
A15,18.294478,42.05349,-296.8752,-296.869752,-0.005448
B11,30.390592,41.82941,-295.890904,-295.852481,-0.038423
B12,34.341186,30.394634,-296.875223,-296.869812,-0.005412
B13,38.161241,18.822513,-297.37951,-297.39178,0.01227
B14,41.936445,7.203197,-297.379521,-297.391808,0.012287
B15,45.647853,-4.403947,-296.875244,-296.869865,-0.00538
C11,49.172986,-15.976631,-295.890942,-295.852576,-0.038366
C12,39.518529,-23.267722,-296.875259,-296.869901,-0.005358
C13,29.693312,-30.476834,-297.379536,-297.391846,0.01231
C14,19.809841,-37.658028,-297.379517,-297.391798,0.012281
C15,9.917382,-44.774465,-296.875255,-296.86989,-0.005364
D11,0.0,-51.703566,-295.890925,-295.852533,-0.038392
D12,-9.917382,-44.774465,-296.875255,-296.86989,-0.005364
D13,-19.809841,-37.658028,-297.379517,-297.391798,0.012281
D14,-29.693312,-30.476834,-297.379536,-297.391846,0.01231
D15,-39.518529,-23.267722,-296.875259,-296.869901,-0.005358
E11,-49.172986,-15.976631,-295.890942,-295.852576,-0.038366
E12,-45.647853,-4.403947,-296.875244,-296.869865,-0.00538
E13,-41.936445,7.203197,-297.379521,-297.391808,0.012287
E14,-38.161241,18.822513,-297.37951,-297.39178,0.01227
E15,-34.341186,30.394634,-296.875223,-296.869812,-0.005412
A11,-30.390592,41.82941,-295.890904,-295.852481,-0.038423
A17,-24.316655,50.342867,-295.108286,-295.045023,-0.063264
A18,-12.207809,50.524486,-295.841669,-295.80168,-0.039989
A19,0.0,50.567404,-296.091746,-296.05989,-0.031855
A20,12.207809,50.524486,-295.841669,-295.80168,-0.039989
A21,24.316655,50.342867,-295.108286,-295.045023,-0.063264
B16,36.38354,50.077769,-293.884688,-293.784963,-0.099725
B17,40.36458,38.683518,-295.108279,-295.045005,-0.063274
B18,44.279044,27.223568,-295.841668,-295.801676,-0.039992
B19,48.092082,15.626889,-296.091756,-296.059916,-0.03184
B20,51.823872,4.002643,-295.841683,-295.801715,-0.039968
B21,55.393055,-7.568928,-295.108304,-295.045068,-0.063237
C16,58.8698,-19.127711,-293.884704,-293.785003,-0.099701
C17,49.263321,-26.435255,-295.108291,-295.045035,-0.063257
C18,39.573769,-33.698993,-295.841705,-295.801768,-0.039936
C19,29.722592,-40.909099,-296.0918,-296.060027,-0.031773
C20,19.821134,-48.049719,-295.841742,-295.801863,-0.039879
C21,9.918095,-55.021204,-295.108288,-295.045027,-0.063261
D16,0.0,-61.899124,-293.884719,-293.785041,-0.099678
D17,-9.918095,-55.021204,-295.108288,-295.045027,-0.063261
D18,-19.821134,-48.049719,-295.841742,-295.801863,-0.039879
D19,-29.722592,-40.909099,-296.0918,-296.060027,-0.031773
D20,-39.573769,-33.698993,-295.841705,-295.801768,-0.039936
D21,-49.263321,-26.435255,-295.108291,-295.045035,-0.063257
E16,-58.8698,-19.127711,-293.884704,-293.785003,-0.099701
