year,season,crop_id,crop_name,crop_type,area_mu,yield_jin_per_mu,production_jin,expected_sales_cap_jin,normal_sales_jin,surplus_jin,price_yuan_per_jin,cost_yuan,profit_yuan,plot,land_type
2024,单季,4,绿豆,粮食（豆类）,86.0,330.0,28380.0,33040.0,28380.0,0.0,7.0,30100.0,168560.0,B6,梯田
2024,单季,3,红豆,粮食（豆类）,80.0,400.0,32000.0,22400.0,22400.0,9600.0,8.25,28000.0,156800.0,A1,平旱地
2024,单季,7,玉米,粮食,72.0,1000.0,72000.0,132750.0,72000.0,0.0,3.0,36000.0,180000.0,A4,平旱地
2024,单季,6,小麦,粮食,68.0,800.0,54400.0,170840.0,54400.0,0.0,3.5,30600.0,159800.0,A5,平旱地
2024,单季,2,黑豆,粮食（豆类）,60.0,475.0,28500.0,21850.0,21850.0,6650.0,7.5,24000.0,139875.0,B1,梯田
2024,单季,9,高粱,粮食,60.0,600.0,36000.0,30000.0,30000.0,6000.0,6.0,24000.0,156000.0,B11,梯田
2024,单季,1,黄豆,粮食（豆类）,55.0,400.0,22000.0,57000.0,22000.0,0.0,3.25,22000.0,49500.0,A2,平旱地
2024,单季,1,黄豆,粮食（豆类）,55.0,400.0,22000.0,57000.0,22000.0,0.0,3.25,22000.0,49500.0,A6,平旱地
2024,单季,5,爬豆,粮食（豆类）,55.0,395.0,21725.0,9875.0,9875.0,11850.0,6.75,19250.0,47406.25,B7,梯田
2024,单季,1,黄豆,粮食（豆类）,50.0,380.0,19000.0,57000.0,13000.0,6000.0,3.25,20000.0,22250.0,B9,梯田
2024,单季,7,玉米,粮食,46.0,950.0,43700.0,132750.0,43700.0,0.0,3.0,23000.0,108100.0,B2,梯田
2024,单季,4,绿豆,粮食（豆类）,45.0,330.0,14850.0,33040.0,4660.0,10190.0,7.0,15750.0,16870.0,B12,梯田
2024,单季,3,红豆,粮食（豆类）,44.0,380.0,16720.0,22400.0,0.0,16720.0,8.25,15400.0,-15400.0,B8,梯田
2024,单季,6,小麦,粮食,40.0,760.0,30400.0,170840.0,30400.0,0.0,3.5,18000.0,88400.0,B3,梯田
2024,单季,3,红豆,粮食（豆类）,35.0,400.0,14000.0,22400.0,0.0,14000.0,8.25,12250.0,-12250.0,A3,平旱地
2024,单季,3,红豆,粮食（豆类）,35.0,380.0,13300.0,22400.0,0.0,13300.0,8.25,12250.0,-12250.0,B13,梯田
2024,单季,10,黍子,粮食,28.0,500.0,14000.0,12500.0,12500.0,1500.0,7.5,10080.0,83670.0,B4,梯田
2024,单季,3,红豆,粮食（豆类）,27.0,360.0,9720.0,22400.0,0.0,9720.0,8.25,9450.0,-9450.0,C5,山坡地
2024,单季,3,红豆,粮食（豆类）,25.0,380.0,9500.0,22400.0,0.0,9500.0,8.25,8750.0,-8750.0,B10,梯田
2024,单季,13,红薯,粮食,25.0,2100.0,52500.0,36000.0,36000.0,16500.0,3.25,50000.0,67000.0,B5,梯田
2024,第一季,17,豇豆,蔬菜（豆类）,22.0,3000.0,66000.0,36480.0,36480.0,29520.0,8.0,44000.0,247840.0,D7,水浇地
2024,第二季,35,大白菜,蔬菜,22.0,5000.0,110000.0,150000.0,110000.0,0.0,2.5,44000.0,231000.0,D7,水浇地
2024,单季,3,红豆,粮食（豆类）,20.0,380.0,7600.0,22400.0,0.0,7600.0,8.25,7000.0,-7000.0,B14,梯田
2024,单季,11,荞麦,粮食,20.0,100.0,2000.0,1500.0,1500.0,500.0,40.0,7000.0,53000.0,C6,山坡地
2024,第一季,18,刀豆,蔬菜（豆类）,20.0,2000.0,40000.0,26880.0,26880.0,13120.0,6.75,20000.0,161440.0,D8,水浇地
2024,第二季,36,白萝卜,蔬菜,20.0,4000.0,80000.0,100000.0,80000.0,0.0,2.5,10000.0,190000.0,D8,水浇地
2024,单季,3,红豆,粮食（豆类）,18.0,360.0,6480.0,22400.0,0.0,6480.0,8.25,6300.0,-6300.0,C4,山坡地
2024,单季,3,红豆,粮食（豆类）,15.0,360.0,5400.0,22400.0,0.0,5400.0,8.25,5250.0,-5250.0,C1,山坡地
2024,单季,12,南瓜,粮食,15.0,2700.0,40500.0,35100.0,35100.0,5400.0,1.5,15000.0,37650.0,C3,山坡地
