year,season,crop_id,crop_name,crop_type,area_mu,yield_jin_per_mu,production_jin,expected_sales_cap_jin,normal_sales_jin,surplus_jin,price_yuan_per_jin,cost_yuan,profit_yuan,plot,land_type
2024,单季,2,黑豆,粮食（豆类）,86.0,475.0,40850.0,21850.0,21850.0,19000.0,7.5,34400.0,200725.0,B6,梯田
2024,单季,3,红豆,粮食（豆类）,80.0,400.0,32000.0,22400.0,22400.0,9600.0,8.25,28000.0,196400.0,A1,平旱地
2024,单季,9,高粱,粮食,72.0,630.0,45360.0,30000.0,30000.0,15360.0,6.0,28800.0,197280.0,A4,平旱地
2024,单季,7,玉米,粮食,68.0,1000.0,68000.0,132750.0,68000.0,0.0,3.0,34000.0,170000.0,A5,平旱地
2024,单季,4,绿豆,粮食（豆类）,60.0,330.0,19800.0,33040.0,19800.0,0.0,7.0,21000.0,117600.0,B1,梯田
2024,单季,13,红薯,粮食,60.0,2100.0,126000.0,36000.0,36000.0,90000.0,3.25,120000.0,143250.0,B11,梯田
2024,单季,4,绿豆,粮食（豆类）,55.0,350.0,19250.0,33040.0,13240.0,6010.0,7.0,19250.0,94465.0,A2,平旱地
2024,单季,5,爬豆,粮食（豆类）,55.0,415.0,22825.0,9875.0,9875.0,12950.0,6.75,19250.0,91112.5,A6,平旱地
2024,单季,2,黑豆,粮食（豆类）,55.0,475.0,26125.0,21850.0,0.0,26125.0,7.5,22000.0,75968.75,B7,梯田
2024,单季,2,黑豆,粮食（豆类）,50.0,475.0,23750.0,21850.0,0.0,23750.0,7.5,20000.0,69062.5,B9,梯田
2024,单季,10,黍子,粮食,46.0,500.0,23000.0,12500.0,12500.0,10500.0,7.5,16560.0,116565.0,B2,梯田
2024,单季,2,黑豆,粮食（豆类）,45.0,475.0,21375.0,21850.0,0.0,21375.0,7.5,18000.0,62156.25,B12,梯田
2024,单季,2,黑豆,粮食（豆类）,44.0,475.0,20900.0,21850.0,0.0,20900.0,7.5,17600.0,60775.0,B8,梯田
2024,单季,11,荞麦,粮食,40.0,105.0,4200.0,1500.0,1500.0,2700.0,40.0,14000.0,100000.0,B3,梯田
2024,单季,2,黑豆,粮食（豆类）,35.0,500.0,17500.0,21850.0,0.0,17500.0,7.5,14000.0,51625.0,A3,平旱地
2024,单季,2,黑豆,粮食（豆类）,35.0,475.0,16625.0,21850.0,0.0,16625.0,7.5,14000.0,48343.75,B13,梯田
2024,单季,7,玉米,粮食,28.0,950.0,26600.0,132750.0,26600.0,0.0,3.0,14000.0,65800.0,B4,梯田
2024,单季,2,黑豆,粮食（豆类）,27.0,450.0,12150.0,21850.0,0.0,12150.0,7.5,10800.0,34762.5,C5,山坡地
2024,单季,2,黑豆,粮食（豆类）,25.0,475.0,11875.0,21850.0,0.0,11875.0,7.5,10000.0,34531.25,B10,梯田
2024,单季,7,玉米,粮食,25.0,950.0,23750.0,132750.0,23750.0,0.0,3.0,12500.0,58750.0,B5,梯田
2024,第一季,17,豇豆,蔬菜（豆类）,22.0,3000.0,66000.0,36480.0,36480.0,29520.0,8.0,44000.0,365920.0,D7,水浇地
2024,第二季,35,大白菜,蔬菜,22.0,5000.0,110000.0,150000.0,110000.0,0.0,2.5,44000.0,231000.0,D7,水浇地
2024,单季,2,黑豆,粮食（豆类）,20.0,475.0,9500.0,21850.0,0.0,9500.0,7.5,8000.0,27625.0,B14,梯田
2024,单季,12,南瓜,粮食,20.0,2700.0,54000.0,35100.0,35100.0,18900.0,1.5,20000.0,46825.0,C6,山坡地
2024,第一季,18,刀豆,蔬菜（豆类）,20.0,2000.0,40000.0,26880.0,26880.0,13120.0,6.75,20000.0,205720.0,D8,水浇地
2024,第二季,36,白萝卜,蔬菜,20.0,4000.0,80000.0,100000.0,80000.0,0.0,2.5,10000.0,190000.0,D8,水浇地
2024,单季,2,黑豆,粮食（豆类）,18.0,450.0,8100.0,21850.0,0.0,8100.0,7.5,7200.0,23175.0,C4,山坡地
2024,单季,2,黑豆,粮食（豆类）,15.0,450.0,6750.0,21850.0,0.0,6750.0,7.5,6000.0,19312.5,C1,山坡地
2024,单季,7,玉米,粮食,15.0,900.0,13500.0,132750.0,13500.0,0.0,3.0,7500.0,33000.0,C3,山坡地
2024,第一季,17,豇豆,蔬菜（豆类）,15.0,3000.0,45000.0,36480.0,0.0,45000.0,8.0,30000.0,150000.0,D1,水浇地
2024,第二季,37,红萝卜,蔬菜,15.0,3000.0,45000.0,36000.0,36000.0,9000.0,3.25,7500.0,124125.0,D1,水浇地
2024,第一季,17,豇豆,蔬菜（豆类）,14.0,3000.0,42000.0,36480.0,0.0,42000.0,8.0,28000.0,140000.0,D3,水浇地
2024,第二季,35,大白菜,蔬菜,14.0,5000.0,70000.0,150000.0,40000.0,30000.0,2.5,28000.0,109500.0,D3,水浇地
2024,单季,2,黑豆,粮食（豆类）,13.0,450.0,5850.0,21850.0,0.0,5850.0,7.5,5200.0,16737.5,C2,山坡地
2024,第一季,29,黄瓜,蔬菜,12.0,12000.0,144000.0,13050.0,13050.0,130950.0,7.0,34800.0,514875.0,D6,水浇地
2024,第二季,36,白萝卜,蔬菜,12.0,4000.0,48000.0,100000.0,20000.0,28000.0,2.5,6000.0,79000.0,D6,水浇地
2024,第一季,17,豇豆,蔬菜（豆类）,10.0,3000.0,30000.0,36480.0,0.0,30000.0,8.0,20000.0,100000.0,D2,水浇地
2024,第二季,36,白萝卜,蔬菜,10.0,4000.0,40000.0,100000.0,0.0,40000.0,2.5,5000.0,45000.0,D2,水浇地
2024,第一季,29,黄瓜,蔬菜,10.0,12000.0,120000.0,13050.0,0.0,120000.0,7.0,29000.0,391000.0,D5,水浇地
