企业代号,企业名称,inferred_rating,approved,credit_yuan,loan_rate,customer_loss_rate,risk_score,shock_risk_delta,expected_yield,expected_interest_income_yuan,priority
E1,***电器销售有限公司,A,True,1000000.0,0.0465,0.135727,0.248476,0.0,0.010325,10324.7,0.919207
E2,***技术有限责任公司,A,True,1000000.0,0.0465,0.135727,0.102809,0.0,0.027832,27832.23,1.17817
E3,***电子(中国)有限公司***分公司,C,True,1000000.0,0.0585,0.290189,0.268648,0.0,0.008877,8876.8,0.797073
E4,***发展有限责任公司,C,True,1000000.0,0.0585,0.290189,0.290858,0.0,0.006178,6177.67,0.774458
E5,***供应链管理有限公司,B,True,1000000.0,0.0585,0.302883,0.266043,0.0,0.008648,8648.33,0.757229
E6,***装饰设计工程有限公司,A,True,1000000.0,0.0465,0.135727,0.128574,0.0,0.024736,24735.57,1.101717
E7,***家电有限公司***分公司,A,True,1000000.0,0.0465,0.135727,0.111484,0.0,0.02679,26789.54,1.16045
E8,***科学研究院有限公司,A,True,1000000.0,0.0465,0.135727,0.112692,0.0,0.026644,26644.41,1.131227
E9,***生活用品服务有限公司***分公司,A,True,1000000.0,0.0465,0.135727,0.157179,0.0,0.021298,21297.59,1.008243
E10,***建筑劳务有限公司,B,True,1000000.0,0.0585,0.302883,0.178135,0.0,0.019266,19265.99,0.968531
E11,***建设工程有限公司,C,False,0.0,0.0585,0.290189,0.347121,0.0,-0.00066,-0.0,0.0
E12,***建筑劳务有限公司,B,True,1000000.0,0.0585,0.302883,0.282849,0.0,0.006618,6618.39,0.711982
E13,***汽车贸易有限公司,A,True,1000000.0,0.0465,0.135727,0.188575,0.0,0.017524,17524.09,0.922937
E14,个体经营E14,C,True,1000000.0,0.0585,0.290189,0.267956,0.0,0.008961,8960.92,0.757723
E15,***劳务有限公司,A,True,1000000.0,0.0465,0.135727,0.235399,0.0,0.011896,11896.4,0.803707
E16,***建筑劳务有限公司,A,True,1000000.0,0.0465,0.135727,0.224413,0.0,0.013217,13216.76,0.828061
E17,***消防工程有限公司,A,True,1000000.0,0.0465,0.135727,0.213824,0.0,0.014489,14489.43,0.858147
E18,***消防工程有限责任公司,A,True,1000000.0,0.0465,0.135727,0.21659,0.0,0.014157,14157.05,0.856682
E19,***科技有限公司,A,True,1000000.0,0.0465,0.135727,0.241743,0.0,0.011134,11133.86,0.802155
E20,***贸易有限公司,B,True,1000000.0,0.0585,0.302883,0.297012,0.0,0.004908,4907.88,0.681189
E21,***建设工程有限公司,B,True,1000000.0,0.0585,0.302883,0.289465,0.0,0.005819,5819.32,0.683183
E22,***物流有限公司,A,True,1000000.0,0.0465,0.135727,0.267656,0.0,0.008019,8019.47,0.716404
E23,***贸易有限公司,B,True,1000000.0,0.0585,0.302883,0.296887,0.0,0.004923,4922.95,0.680373
E24,***建筑工程有限公司,A,True,1000000.0,0.0465,0.135727,0.259072,0.0,0.009051,9051.16,0.744048
E25,***通讯设备有限公司,C,False,0.0,0.0585,0.290189,0.382844,0.0,-0.005001,-0.0,0.0
E26,***金属材料有限公司,A,True,1000000.0,0.0465,0.135727,0.290636,0.0,0.005258,5257.55,0.630858
E27,***农业开发有限公司,A,False,0.0,0.0465,0.135727,0.33814,0.0,-0.000452,-0.0,0.0
E28,***景观工程有限公司,B,True,958747.44,0.0585,0.302883,0.337495,0.0,1.8e-05,17.47,0.532024
E29,***建筑劳务有限公司,C,False,0.0,0.0585,0.290189,0.86,0.0,-0.062987,-0.0,0.0
E30,***建筑工程有限公司,B,True,1000000.0,0.0585,0.302883,0.319946,0.0,0.002138,2137.82,0.586469
E31,***食品有限公司,A,True,974304.57,0.0465,0.135727,0.330223,0.0,0.0005,486.79,0.540657
E32,***建筑劳务有限公司,B,False,0.0,0.0585,0.302883,0.363794,0.0,-0.003158,-0.0,0.0
E33,***园林有限责任公司,B,True,1000000.0,0.0585,0.302883,0.336732,0.0,0.00011,110.34,0.558154
E34,***建设工程有限公司,B,True,1000000.0,0.0585,0.302883,0.297284,0.0,0.004875,4874.94,0.649343
E35,***商贸有限公司,B,False,0.0,0.0585,0.302883,0.348933,0.0,-0.001363,-0.0,0.0
E36,***超硬材料有限公司,D,False,0.0,0.0585,0.290189,0.93,0.0,-0.071493,-0.0,0.0
E37,***木业有限公司,B,False,0.0,0.0585,0.302883,0.345465,0.0,-0.000944,-0.0,0.0
E38,***建设工程有限公司,B,False,0.0,0.0585,0.302883,0.346669,0.0,-0.00109,-0.0,0.0
E39,***建筑劳务有限公司,C,False,0.0,0.0585,0.290189,0.449926,0.0,-0.013153,-0.0,0.0
E40,***财税咨询服务有限公司,C,False,0.0,0.0585,0.290189,0.342657,0.0,-0.000117,-0.0,0.0
E41,***物业发展有限公司,C,False,0.0,0.0585,0.290189,0.408615,0.0,-0.008133,-0.0,0.0
E42,***园艺场,A,False,0.0,0.0465,0.135727,0.347511,0.0,-0.001578,-0.0,0.0
E43,***建设工程有限公司,B,False,0.0,0.0585,0.302883,0.380494,0.0,-0.005175,-0.0,0.0
E44,***商贸有限公司,C,False,0.0,0.0585,0.290189,0.434356,0.0,-0.011261,-0.0,0.0
E45,个体经营E45,B,False,0.0,0.0585,0.302883,0.86,0.0,-0.063091,-0.0,0.0
E46,***广告传媒有限公司,C,False,0.0,0.0585,0.290189,0.37832,0.0,-0.004451,-0.0,0.0
