GlobalID,Lab Status,Detection Date,Submission Date,Latitude,Longitude,positive_probability,distance_to_training_positive_km,priority_score,image_count,has_specimen,Notes
{BD39DA58-3EAF-4B94-8E8B-0FC2FC7F4919},Unverified,2020-05-06,2020-05-06,48.928023,-122.714348,0.9672135492481754,2.241190491904732,0.8996724005338687,0.0,1,Captured this by my back door
{D4F58ECB-63F3-4D4B-968D-34B635F47A29},Unverified,2020-09-07,2020-09-09,48.870297,-122.532439,0.9655234922847451,12.657098622236273,0.8719578985498753,0.0,1,"Yesterday when pulling out of my driveway, I noticed what looked like a dead grasshopper in the back of my car, behind the back seats and just under the rear window. I forgot about the insect until later in the day, at which time I inspected in and reali"
{0CAC26D0-208E-4CAF-8894-00687E0B7124},Unverified,2019-10-30,2020-05-04,48.786349,-122.550631,0.9684913529783237,9.722486228968151,0.8606774048040073,0.0,1,"I am a trained  aquatic entomologist and I work for WA Dept. of Ecology  and live in Bellingham, WA.  Last fall I was cleaning out a window sill in a spare bedroom and noted the  dead body of the largest wasp I have ever seen.  After seeing the photos on"
{D6EC52B4-3638-4B8E-854B-9A707E9E1755},Unverified,2020-08-25,2020-08-25,48.508237,-122.395442,0.8814273760529115,29.992851512598456,0.8464849731528051,0.0,1,"Flying around on open ground, grassy area where is was captured live and is in a bucket."
{BE7A4DBE-2249-4C25-AC31-6194ADB0637E},Unverified,2020-10-04,2020-10-04,49.16633,-123.8027,0.9945285108317494,10.384409855899106,0.8366076767156847,0.0,0,"Huge, different from a yellow jacket, likes to burrow in plant pots soil"
{C50A62CD-47D4-417B-9E52-9818C1CFECAD},Unverified,2020-10-03,2020-10-03,48.983697,-122.577318,0.981134305630319,0.19382467529643743,0.8283032694907979,0.0,0, 
{69559F23-FD0B-403C-9439-69575177396A},Unverified,2020-08-19,2020-08-19,48.949561,-122.785941,0.9705316942657579,3.865543802288851,0.82172965044477,0.0,0,"This was about 2"" and more black than orange.  Queen? Flew off before I could get a pic."
{AAA0468B-170C-4FD2-A07E-E25BB936066B},Unverified,2020-09-03,2020-09-03,48.84756,-122.59351,0.9695680146073251,12.986628125909718,0.8211321690565416,0.0,0,Huge and was trying to dive bomb us..
{653837DF-1C5B-43DE-8326-F85F5AFF142E},Unverified,2020-10-03,2020-10-03,48.74741,-122.481355,0.961238909668276,5.68948113965003,0.815968123994331,0.0,0, 
{8D023A92-A0ED-4CD9-90DA-F65586B38092},Unverified,2020-06-06,2020-06-06,48.993619,-122.401694,0.8285714161117514,12.668765190165967,0.813714277989286,1.0,0,"Found in back yard. Lynden, Wa"
{9F458526-1FF1-4FEE-8592-CE767A4828CA},Unverified,2010-04-20,2020-05-05,48.711564,-122.455863,0.8881851823057868,7.827555905521903,0.8106857689320801,0.0,1,I am a landscape contractor and found one years ago above lake padden off hawk way... I was gardening and found a dead one. I was surprised and caught off guard by the size but was happy to see it was dead... I carefully scooped it up and brought it to D
{252CE33C-3558-49B0-A3D6-9FC2BD49981F},Unverified,2020-10-15,2020-10-16,48.939001,-122.794034,0.9818545613518544,3.8014903068081063,0.8087498280381498,0.0,0, 
{01BFC005-FD14-49AF-B2DA-A8F636FF0934},Unverified,2020-10-04,2020-10-04,48.883918,-122.539752,0.944827718851758,11.053503156595978,0.80579318568809,0.0,0,"It was very long, bright and flying low"
{AADA201C-8607-44EC-890D-1F76410729A4},Unverified,2020-10-02,2020-10-03,48.886603,-122.748528,0.9766352625179513,4.556892762834427,0.8055138627611298,0.0,0,Possible sighting near BP IN BLAINE off Jackson rd
{375A0593-EF43-4282-8757-DBEBC483A4EF},Unverified,2020-10-14,2020-10-14,48.78885,-122.514001,0.9406658499428129,7.101286733030001,0.803212826964544,0.0,0,"Saw one flying around the Wells Fargo ATM in Fred Meyer next to Costco 1.25' to 1.5"" long, Wings thick? Thought it was dragon fly at first? Took off towards Verizon store and freeway. I think it likes yellow and red ATMS?"
{2E5651D4-67F5-4A3E-8961-7B5E8980FD57},Unverified,2020-10-07,2020-10-07,48.683553,-122.196653,0.9396163315334202,19.344952114391077,0.8025621255507205,0.0,0, 
{54853590-C694-4E1A-B3D8-AB7389FA7108},Unverified,2020-09-10,2020-09-10,48.936408,-122.140976,0.9378135066708182,26.9194175282831,0.8014443741359074,0.0,0, 
{4AA0E6B2-D4DB-419C-A9AE-F246E69F81F1},Unverified,2020-08-03,2020-08-03,48.937231,-122.757626,0.9370063962557778,1.4194250047178298,0.8009439656785822,0.0,0, 
{49D016FA-358D-4BB0-9678-4F332DCBF3C6},Unverified,2020-09-30,2020-09-30,48.980349,-122.597091,0.8056950348005711,1.1191426125253714,0.7995309215763541,1.0,0,Was in the siding of the house then flew away.
{528A8E93-91DA-4389-87A9-8CEC37892899},Unverified,2020-10-17,2020-10-17,48.74558,-122.484791,0.9338278197084205,6.012952252681744,0.7989732482192207,0.0,0,Flew up to me from the front and then flew away.
{FDD2DEC0-0CB8-4FEB-8AE6-BF5A70534E5D},Unverified,2020-11-20,2020-06-12,48.830623,-122.538817,0.9333773171083762,10.599485554822865,0.7986939366071932,0.0,0,"Large bodied, with striping bumping against the window for a minute or more. The window was on the right side of the Whatcom County Library System Administrative Services building. I’ve worked there for 3 years and have never seen an insect that large"
{D43D0002-C65E-43DC-BBC7-6AB12D5FAA05},Unverified,2020-06-26,2020-06-27,48.906018,-122.644137,0.8349445542396675,5.648401158057466,0.7976656236285938,0.0,1,I have the specimen in a jar. after looking at photo looks like a giant elm sawfly
{AB9E15DE-2255-42D2-A2DC-FF1D51D24A01},Unverified,2020-08-16,2020-08-16,48.94159,-122.6167,0.930014179618135,3.592404090963507,0.7966087913632438,0.0,0, 
{63201DB1-0BB2-4FB8-B5CC-11B1E3BCED33},Unverified,2020-09-02,2020-09-05,48.996027,-123.036695,0.9746694003242817,16.816055796550287,0.7942950282010546,0.0,0, 
{B36BD03C-B8C5-409F-85CC-34EAED9845ED},Unverified,1899-12-30,2020-05-09,48.92032,-122.628865,0.9865424342919523,4.571680521758264,0.7916672651635029,0.0,0,caught this several times on my drive way camera. It was buzzing around for an hour or so not very clear but looks like some kinda big bee
{05379F76-4717-497C-A5AE-3204E4C34F72},Unverified,2020-08-04,2020-08-04,48.945697,-122.783018,0.921889280015114,3.4337584401292487,0.7915713536093707,0.0,0,We were on our back deck and a huge black insect with orange wings flew at my husband and then left. I noticed what it looked like and we were a bit freaked out then it came back and tried to land on me and so we promptly ran inside. It seemed aggressive
{493B94CF-7882-46A6-A0EC-51F42ADA16FE},Unverified,2020-08-20,2020-08-20,48.896671,-122.608243,0.9198687577825454,7.602283958623347,0.7903186298251781,0.0,0, 
{44337587-A1D2-4396-8491-785B538F52C0},Unverified,2020-09-30,2020-09-30,48.92829,-122.638149,0.9191781363597223,3.465165168086522,0.7898904445430279,0.0,0,I was outside with my neighbor and one landed on her back. We both saw it. It was huge and human like eyes. Golden is wings. Very vibrant color stripe. We took the kids to safety and I went back out and saw another in our field. You are welcome to come a
{9A205E16-D03C-453E-BD5A-A321B5DE6073},Unverified,2020-08-16,2020-08-19,48.940575,-122.634828,0.964608319248092,2.5396153738419494,0.7880571579338169,0.0,0,"Landed on deck, paused briefly flew away"
{A0909E9E-FBC6-4DAA-9B25-D44C990A7B3B},Unverified,2020-10-21,2020-10-22,48.957608,-122.651558,0.9463469265377363,0.7276706497726776,0.7867350944533966,0.0,0,"Saw only a side view about 8 inches from ear.  Loud buzzing, about 1.75 in. long, fat. Startles me and it flew away."
