day,level,weather,area,action,remaining_cash,remaining_water,remaining_food,from_area,water_consumed,food_consumed,mining_income
0,第五关,,1,buy_initial_resources,9530.0,28,33,,,,
1,第五关,晴朗,2,move,9530.0,26,30,1,2,3,0.0
2,第五关,高温,3,move,9530.0,20,24,2,6,6,0.0
3,第五关,晴朗,6,move,9530.0,18,21,3,2,3,0.0
4,第五关,晴朗,7,move,9530.0,16,18,6,2,3,0.0
5,第五关,晴朗,8,move,9530.0,14,15,7,2,3,0.0
6,第五关,晴朗,11,move,9530.0,12,12,8,2,3,0.0
7,第五关,高温,12,move,9530.0,6,6,11,6,6,0.0
8,第五关,高温,13,move,9530.0,0,0,12,6,6,0.0
0,第六关,,1,buy_initial_resources,6510.0,214,242,,,,
1,第六关,晴朗,2,move,6510.0,212,239,1,2,3,0.0
2,第六关,高温,3,move,6510.0,206,233,2,6,6,0.0
3,第六关,晴朗,8,move,6510.0,204,230,3,2,3,0.0
4,第六关,高温,13,move,6510.0,198,224,8,6,6,0.0
5,第六关,晴朗,18,move,6510.0,196,221,13,2,3,0.0
6,第六关,高温,18,stay,6510.0,187,212,18,9,9,0.0
7,第六关,晴朗,18,mine,6843.333333,178,200,18,9,12,333.333333
8,第六关,沙暴,18,stay,6843.333333,168,190,18,10,10,0.0
9,第六关,高温,18,mine,7176.666666,141,163,18,27,27,333.333333
10,第六关,晴朗,18,mine,7509.999999,132,151,18,9,12,333.333333
11,第六关,晴朗,18,mine,7843.333332,123,139,18,9,12,333.333333
12,第六关,高温,18,mine,8176.666665,96,112,18,27,27,333.333333
13,第六关,晴朗,18,mine,8509.999998,87,100,18,9,12,333.333333
14,第六关,高温,18,stay,8509.999998,78,91,18,9,9,0.0
15,第六关,晴朗,18,mine,8843.333331,69,79,18,9,12,333.333333
16,第六关,高温,18,stay,8843.333331,60,70,18,9,9,0.0
17,第六关,晴朗,18,mine,9176.666664,51,58,18,9,12,333.333333
18,第六关,沙暴,18,stay,9176.666664,41,48,18,10,10,0.0
19,第六关,高温,18,stay,9176.666664,32,39,18,9,9,0.0
20,第六关,晴朗,18,mine,9509.999997,23,27,18,9,12,333.333333
21,第六关,晴朗,18,mine,9843.33333,14,15,18,9,12,333.333333
22,第六关,高温,19,move,9843.33333,8,9,18,6,6,0.0
23,第六关,晴朗,20,move,9843.33333,6,6,19,2,3,0.0
24,第六关,高温,25,move,9843.33333,0,0,20,6,6,0.0
