angle_shift_deg,correlation
0,0.7632308379863604
1,0.7600010808626938
2,0.7566744663250677
3,0.7531722807292204
4,0.7497865147275868
5,0.7462932081699458
6,0.742696569811498
7,0.7390733345978552
8,0.7354315110221726
9,0.7316980165158514
10,0.7281545911878753
11,0.7245174965283844
12,0.7207920137155768
13,0.7170763594216747
14,0.7133398033313066
15,0.7095952959624542
16,0.7061118951982654
17,0.7026095393024898
18,0.6991155226725779
19,0.6956848111898332
20,0.6921940764308441
21,0.6887148518364797
22,0.6854842636844861
23,0.6822443090814541
24,0.6790448376315653
25,0.6759827527368756
26,0.6728089888610739
27,0.6697792634371155
28,0.6670190666344301
29,0.6642564789237738
30,0.6615015935108467
31,0.6588997619210203
32,0.6561098486446492
33,0.6535223567430759
34,0.6511733595918997
35,0.6488497585631819
36,0.6465434009593833
37,0.6444619582048751
38,0.6422309853870608
39,0.6402563441511847
40,0.638464312853457
41,0.6367567457887687
42,0.6349535094648451
43,0.633580149060499
44,0.6320306938638275
45,0.6307551718466985
46,0.6295740437857005
47,0.6284499409277297
48,0.6271219298481328
49,0.626188422207818
50,0.6249580299649216
51,0.6239637106680016
52,0.6229793516625239
53,0.6219900054000574
54,0.62091740337515
55,0.6199924135068728
56,0.6187326618904211
57,0.6176859927564088
58,0.6166381394114634
59,0.6155942040359708
60,0.61446415923933
61,0.61358912122411
62,0.6124768254391991
63,0.6116559194446752
64,0.6108922726090046
65,0.6102339502883397
66,0.6087547940024958
67,0.6083941079924414
68,0.607871777138974
69,0.6076647480936405
70,0.6075255329338616
71,0.607569592325706
72,0.6062369868078207
73,0.6066412758622679
74,0.6068392536393475
75,0.6073854125532147
76,0.6079881232226271
77,0.6088158567795406
78,0.6089118949582368
79,0.6100165021406494
80,0.6108980436297053
81,0.6120555135353344
82,0.613220259145761
83,0.6145696147579556
84,0.6155973059975679
85,0.6171009578134945
86,0.6184408093283837
87,0.6200138223563162
88,0.6215785661167741
89,0.623322858648081
90,0.6250418750914799
91,0.6268974345429731
92,0.628592148567638
93,0.6305051266026414
94,0.6323873868655395
95,0.6344348436999004
96,0.6367603736621106
97,0.6388522781034401
98,0.6407553360396251
99,0.6428564561789868
100,0.6449269880684341
101,0.6471411295317706
102,0.6500697178338039
103,0.6522547875379162
104,0.6542655769775793
105,0.6564970555126916
106,0.6586865182945217
107,0.6609625149908862
108,0.6646066453709029
109,0.6667929573871261
110,0.6687439645741482
111,0.6709338737384166
112,0.673128164039254
113,0.6754161080170015
114,0.6786385247625624
115,0.6811120586711399
116,0.6833251850362491
117,0.6858112555887107
118,0.6882921489463818
119,0.6908478919358951
120,0.6934853590139562
121,0.6962068929315381
122,0.6986347873096783
123,0.7013237936289847
124,0.7040143450992279
125,0.7068201371648127
126,0.7096614909766787
127,0.712659805611743
128,0.7153490718923097
129,0.7183264302246537
130,0.7212987422697752
131,0.7243953697329342
132,0.7277014242027372
133,0.7309829202695187
134,0.7339543132574113
135,0.7372129225436415
136,0.7404338742239814
137,0.743774399430439
138,0.7471971077444322
139,0.7505869142976666
140,0.7536190300648465
141,0.7568362219101646
142,0.7599490367041716
143,0.7630934211427992
144,0.7660514465039902
145,0.7690518400284203
146,0.7715906861053882
147,0.7742281634560348
148,0.7766700116323071
149,0.7791193500919623
150,0.7812876155608925
151,0.7835325195748793
152,0.7852648377786169
153,0.7870447153826337
154,0.7885655254988162
155,0.7899910973932608
156,0.7910609577797996
157,0.7921175772427967
158,0.7926504013398724
159,0.7931572976326853
160,0.793390750419529
161,0.7935306773468944
162,0.7933458179007954
163,0.7931308540712827
164,0.7925465925191659
165,0.791930985535276
166,0.7911426027942483
167,0.7902765446266412
168,0.7891492558223965
169,0.7879494623789367
170,0.7864787610445761
171,0.7848911488540699
172,0.7831856457882892
173,0.7813580958148643
174,0.7792828644917412
175,0.7770632296271618
176,0.7746078115324209
177,0.7719221210641628
178,0.7692072927744861
179,0.7663226289673284
