point_id,x,y,distance_to_fit_center
1,-0.237965,-0.399757,2.824942
2,-0.237965,-0.344111,2.79363
3,-0.235684,-0.402533,2.82465
4,-0.233403,-0.360902,2.799221
5,-0.23882,-0.399757,2.825646
6,4.358404,-0.344111,2.753784
7,-0.189948,2.925164,2.849185
8,-0.237737,-0.372003,2.809043
9,-0.237965,-0.402533,2.826524
10,-0.231121,-0.394207,2.816156
11,-0.237965,-0.305394,2.772295
12,-0.235456,-0.402533,2.824463
13,-0.237965,-0.402533,2.826524
14,-0.203749,-0.3498,2.768453
15,-0.232946,-0.403573,2.822996
16,-0.232718,0.632689,2.38754
17,-0.237965,-0.402533,2.826524
18,-0.235684,-0.399757,2.823068
19,-0.233403,-0.396982,2.819612
20,-0.189948,2.925164,2.849185
