time,state
0.0,125.321013
2.0,104.314631
4.0,87.517114
6.0,74.130965
8.0,63.49872
10.0,55.022905
12.0,48.214798
14.0,42.781591
16.0,38.461487
18.0,35.018905
20.0,32.256782
22.0,30.051064
24.0,28.298559
26.0,26.904798
28.0,25.786132
30.0,24.889302
32.0,24.176511
34.0,23.611893
36.0,23.161771
38.0,22.797783
40.0,22.506061
42.0,22.275118
44.0,22.093408
46.0,21.949388
48.0,21.831958
50.0,21.736168
52.0,21.659869
54.0,21.600334
56.0,21.554434
58.0,21.518644
60.0,21.489045
62.0,21.463502
64.0,21.442525
66.0,21.426027
68.0,21.413651
70.0,21.404773
72.0,21.398495
74.0,21.393649
76.0,21.38882
78.0,21.384293
80.0,21.380681
