point_id,x,y,distance_to_fit_center
1,-0.237243,-0.317809,3.181412
2,-0.237243,-0.242875,3.131841
3,-0.234962,-0.321546,3.182215
4,-0.232681,-0.265486,3.143263
5,-0.238098,-0.317809,3.182048
6,4.358503,-0.242875,3.028642
7,-0.189232,4.159514,3.302748
8,-0.237014,-0.280435,3.156392
9,-0.237243,-0.321546,3.18391
10,-0.2304,-0.310334,3.171327
11,-0.237243,-0.190739,3.097953
12,-0.234734,-0.321546,3.182046
13,-0.237243,-0.321546,3.18391
14,-0.203031,-0.250537,3.111129
15,-0.232225,-0.322947,3.18112
16,-0.231997,1.072479,2.473636
17,-0.237243,-0.321546,3.18391
18,-0.234962,-0.317809,3.179715
19,-0.232681,-0.314071,3.175521
20,-0.203031,-0.250537,3.111129
