time,state
0.0,9.0
2.0,9.820889
4.0,10.633609
6.0,11.438244
8.0,12.234871
10.0,13.023573
12.0,13.804426
14.0,14.57751
16.0,15.342901
18.0,16.100677
20.0,16.850913
22.0,17.593685
24.0,18.329069
26.0,19.057139
28.0,19.777966
30.0,20.491621
32.0,21.198175
34.0,21.897699
36.0,22.590262
38.0,23.275933
40.0,23.95478
42.0,24.626871
44.0,25.292272
46.0,25.951052
48.0,26.603274
50.0,27.249006
52.0,27.88831
54.0,28.521253
56.0,29.147896
58.0,29.768303
60.0,30.382536
62.0,30.990657
64.0,31.592728
66.0,32.188807
68.0,32.778956
70.0,33.363233
72.0,33.941697
74.0,34.514407
76.0,35.081419
78.0,35.642791
80.0,36.198579
