企业代号,企业名称,inferred_rating,approved,credit_yuan,loan_rate,customer_loss_rate,risk_score,shock_risk_delta,expected_yield,expected_interest_income_yuan,priority
E124,个体经营E124 ,B,True,1000000.0,0.0585,0.302883,0.213823,0.019114,0.014956,14955.52,0.941979
E125,个体经营E125 ,B,True,1000000.0,0.0585,0.302883,0.195876,0.018731,0.017123,17123.17,0.997169
E126,个体经营E126 ,B,True,1000000.0,0.0585,0.302883,0.279041,0.050255,0.007078,7078.41,0.749795
E127,个体经营E127 ,B,True,1000000.0,0.0585,0.302883,0.183219,0.026971,0.018652,18651.92,0.987586
E128,个体经营E128 ,C,False,0.0,0.0585,0.290189,0.473015,0.117089,-0.015959,-0.0,0.0
E129,个体经营E129 ,B,True,1000000.0,0.0585,0.302883,0.20199,0.044337,0.016385,16384.75,0.916041
E130,个体经营E130 ,C,False,0.0,0.0585,0.290189,0.490603,0.107942,-0.018096,-0.0,0.0
E131,个体经营E131 ,B,True,1000000.0,0.0585,0.302883,0.266747,0.029667,0.008563,8563.3,0.74999
E132,个体经营E132 ,B,True,1000000.0,0.0585,0.302883,0.309228,0.029171,0.003432,3432.32,0.645755
E133,个体经营E133 ,C,False,0.0,0.0585,0.290189,0.499793,0.073982,-0.019213,-0.0,0.0
E134,***工程咨询有限公司,B,True,1000000.0,0.0585,0.302883,0.302586,0.037255,0.004235,4234.55,0.639096
E135,***建设工程有限公司,B,True,1000000.0,0.0585,0.302883,0.31812,0.029848,0.002358,2358.41,0.611004
E136,***机械有限责任公司,C,False,0.0,0.0585,0.290189,0.60095,0.119964,-0.031506,-0.0,0.0
E137,***建设工程有限公司,C,False,0.0,0.0585,0.290189,0.436822,0.094769,-0.01156,-0.0,0.0
E138,个体经营E138 ,C,False,0.0,0.0585,0.290189,0.399788,0.03243,-0.00706,-0.0,0.0
E139,个体经营E139 ,B,False,0.0,0.0585,0.302883,0.343334,0.032418,-0.000687,-0.0,0.0
E140,***建筑工程有限公司,C,False,0.0,0.0585,0.290189,0.40661,0.086422,-0.007889,-0.0,0.0
E141,***食品有限公司,B,True,1000000.0,0.0585,0.302883,0.320822,0.058187,0.002032,2032.07,0.610086
E142,***运业有限公司,C,False,0.0,0.0585,0.290189,0.446722,0.052238,-0.012764,-0.0,0.0
E143,***电子科技有限公司,C,False,0.0,0.0585,0.290189,0.468227,0.07118,-0.015377,-0.0,0.0
E144,***劳务有限公司,C,False,0.0,0.0585,0.290189,0.377015,0.034158,-0.004292,-0.0,0.0
E145,***工贸有限公司,C,False,0.0,0.0585,0.290189,0.41774,0.042326,-0.009241,-0.0,0.0
E146,***基础建设工程有限公司,C,False,0.0,0.0585,0.290189,0.476451,0.071014,-0.016376,-0.0,0.0
E147,***装饰工程有限责任公司,B,True,1000000.0,0.0585,0.302883,0.274061,0.020568,0.00768,7679.82,0.732676
E148,***商贸有限公司,C,False,0.0,0.0585,0.290189,0.515135,0.082046,-0.021077,-0.0,0.0
E149,***建筑劳务有限公司,C,False,0.0,0.0585,0.290189,0.485437,0.101832,-0.017468,-0.0,0.0
E150,***建设工程有限公司,B,True,1000000.0,0.0585,0.302883,0.316503,0.018061,0.002554,2553.72,0.615868
E151,***路桥工程有限公司,C,False,0.0,0.0585,0.290189,0.424346,0.052334,-0.010044,-0.0,0.0
E152,***运贸有限责任公司,C,False,0.0,0.0585,0.290189,0.505919,0.100111,-0.019957,-0.0,0.0
E153,个体经营E153 ,C,False,0.0,0.0585,0.290189,0.441867,0.079511,-0.012174,-0.0,0.0
E154,***汽车销售服务有限公司,C,False,0.0,0.0585,0.290189,0.543779,0.070394,-0.024558,-0.0,0.0
E155,个体经营E155 ,C,False,0.0,0.0585,0.290189,0.448613,0.03004,-0.012993,-0.0,0.0
E156,个体经营E156 ,C,False,0.0,0.0585,0.290189,0.428043,0.053254,-0.010494,-0.0,0.0
E157,***环境设备工程有限公司,C,False,0.0,0.0585,0.290189,0.527977,0.087073,-0.022638,-0.0,0.0
E158,***装饰工程有限公司,C,False,0.0,0.0585,0.290189,0.602019,0.110083,-0.031636,-0.0,0.0
E159,个体经营E159 ,B,False,0.0,0.0585,0.302883,0.347186,0.017562,-0.001152,-0.0,0.0
E160,***钢结构工程有限公司,C,False,0.0,0.0585,0.290189,0.445094,0.12219,-0.012566,-0.0,0.0
E161,***建筑劳务有限责任公司,C,False,0.0,0.0585,0.290189,0.395158,0.038457,-0.006497,-0.0,0.0
E162,***网络信息安全有限公司,B,True,1000000.0,0.0585,0.302883,0.310232,0.016926,0.003311,3311.05,0.643948
E163,***物流有限公司,C,False,0.0,0.0585,0.290189,0.595209,0.164004,-0.030808,-0.0,0.0
E164,个体经营E164 ,C,False,0.0,0.0585,0.290189,0.440388,0.05418,-0.011994,-0.0,0.0
E165,***文化传媒股份有限公司,C,False,0.0,0.0585,0.290189,0.368159,0.028294,-0.003216,-0.0,0.0
E166,***建筑工程有限公司,C,False,0.0,0.0585,0.290189,0.461635,0.068727,-0.014576,-0.0,0.0
E167,***体育文化股份有限公司,C,False,0.0,0.0585,0.290189,0.432658,0.108633,-0.011054,-0.0,0.0
E168,***建材有限公司,C,False,0.0,0.0585,0.290189,0.421122,0.07083,-0.009653,-0.0,0.0
E169,***建筑设计有限公司,B,False,0.0,0.0585,0.302883,0.338352,0.026039,-8.5e-05,-0.0,0.0
E170,***建筑劳务有限公司,C,False,0.0,0.0585,0.290189,0.467218,0.062009,-0.015254,-0.0,0.0
