point_id,x,y,distance_to_fit_center
1,1.847253,1.606722,3.405452
2,1.927853,2.099435,3.509836
3,1.705398,2.555501,3.377085
4,1.731291,2.997451,3.541172
5,1.40774,3.487352,3.470354
6,1.30355,3.793159,3.554263
7,0.988642,4.167363,3.556488
8,0.577169,4.33977,3.407157
9,0.093282,4.60311,3.353387
10,-0.325704,4.910883,3.453856
11,-0.657448,5.054951,3.488914
12,-1.214327,5.049133,3.382485
13,-1.475317,5.12681,3.443704
14,-2.053434,4.979174,3.332229
15,-2.592636,4.992284,3.466422
16,-2.950004,4.787304,3.401405
17,-3.319522,4.663283,3.461357
18,-3.78948,4.517316,3.606903
19,-4.050679,4.151526,3.507865
20,-4.306082,3.687589,3.40143
21,-4.566855,3.369705,3.449438
22,-4.819027,2.991529,3.513993
23,-4.995517,2.486321,3.53055
24,-4.932118,2.106534,3.401136
25,-4.954929,1.557906,3.399951
26,-4.933654,1.381871,3.389832
27,-4.899159,0.651839,3.49763
28,-4.778665,0.452133,3.448879
29,-4.501908,-0.02454,3.404408
30,-4.355417,-0.475014,3.534268
31,-3.915649,-0.754791,3.392613
32,-3.71626,-1.135219,3.550983
33,-3.283095,-1.307395,3.453584
34,-2.733261,-1.586203,3.475285
35,-2.420832,-1.731357,3.522908
36,-2.016938,-1.763688,3.478272
37,-1.551847,-1.678673,3.36276
38,-1.146904,-1.673639,3.382711
39,-0.707543,-1.609609,3.401548
40,-0.339814,-1.474773,3.385364
41,0.253661,-1.342088,3.526664
42,0.452724,-1.0932,3.428349
43,0.939902,-0.750136,3.48734
44,1.187068,-0.387695,3.438594
45,1.524161,-0.07152,3.5465
46,1.692312,0.276346,3.541445
47,1.660077,0.796234,3.337652
48,1.834282,1.185035,3.428121
