section,week,supplier_count_used,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3,demand_satisfaction_ratio,weighted_loss_rate_pct,cost_proxy,A_supply_m3,B_supply_m3,C_supply_m3,supplier_id,material,importance_score,rank,total_supplied_m3,total_product_equivalent_m3,robust_weekly_supply_m3,robust_weekly_product_m3,fulfillment_ratio,reliability_score,stability_score,active_week_ratio,unit_raw_cost_index,raw_per_product_m3,transporter,transport_volume_m3,loss_rate_pct
weekly_summary,1,46,20799.600541,18551.258819,18551.200385,28228.199991,1.001,0.000315,22877.119153,6014.631679,6271.949999,6264.677141,,,,,,,,,,,,,,,,,
weekly_summary,2,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714,,,,,,,,,,,,,,,,,
weekly_summary,3,46,20799.85666,18551.450637,18551.200278,28228.199842,1.001,0.00135,22877.375272,6014.631679,6271.949999,6264.868959,,,,,,,,,,,,,,,,,
weekly_summary,4,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714,,,,,,,,,,,,,,,,,
weekly_summary,5,46,20814.857326,18564.687491,18551.175184,28228.11813,1.000997,0.072785,22892.375938,6014.631679,6271.949999,6278.105813,,,,,,,,,,,,,,,,,
weekly_summary,6,46,20804.742055,18555.109505,18551.172668,28228.161495,1.000999,0.021217,22882.260667,6014.631679,6271.949999,6268.527827,,,,,,,,,,,,,,,,,
weekly_summary,7,46,20801.764868,18553.38072,18551.208727,28228.199853,1.001,0.011707,22879.28348,6014.631679,6271.949999,6266.799042,,,,,,,,,,,,,,,,,
weekly_summary,8,46,20799.716825,18551.345908,18551.200353,28228.199947,1.001,0.000785,22877.235437,6014.631679,6271.949999,6264.76423,,,,,,,,,,,,,,,,,
weekly_summary,9,46,20803.543651,18554.604692,18551.200582,28228.191073,1.001,0.018346,22881.062263,6014.631679,6271.949999,6268.023014,,,,,,,,,,,,,,,,,
weekly_summary,10,46,20821.246293,18571.765414,18551.376845,28228.161697,1.000999,0.109783,22898.764905,6014.631679,6271.949999,6285.183736,,,,,,,,,,,,,,,,,
weekly_summary,11,46,20806.531196,18557.73789,18551.305322,28228.193921,1.001,0.034662,22884.049808,6014.631679,6271.949999,6271.156212,,,,,,,,,,,,,,,,,
weekly_summary,12,46,20809.941917,18560.400742,18551.291225,28228.163885,1.000999,0.04908,22887.460529,6014.631679,6271.949999,6273.819064,,,,,,,,,,,,,,,,,
weekly_summary,13,46,20800.64665,18552.271121,18551.204185,28228.199914,1.001,0.005751,22878.165262,6014.631679,6271.949999,6265.689443,,,,,,,,,,,,,,,,,
weekly_summary,14,46,20803.517879,18554.257608,18551.187208,28228.18017,1.000999,0.016548,22881.036491,6014.631679,6271.949999,6267.67593,,,,,,,,,,,,,,,,,
weekly_summary,15,46,20806.965795,18558.402969,18551.480476,28228.197862,1.001,0.037301,22884.484407,6014.631679,6271.949999,6271.821291,,,,,,,,,,,,,,,,,
weekly_summary,16,46,20817.866481,18568.693437,18551.335631,28228.178302,1.000999,0.093479,22895.385093,6014.631679,6271.949999,6282.111759,,,,,,,,,,,,,,,,,
weekly_summary,17,46,20820.376652,18571.906855,18552.181252,28228.197059,1.001,0.106212,22897.895264,6014.631679,6271.949999,6285.325177,,,,,,,,,,,,,,,,,
weekly_summary,18,46,20799.931327,18551.571496,18551.20146,28228.199964,1.001,0.001995,22877.449939,6014.631679,6271.949999,6264.989818,,,,,,,,,,,,,,,,,
weekly_summary,19,46,20804.44491,18555.514049,18551.242856,28228.19103,1.001,0.023018,22881.963522,6014.631679,6271.949999,6268.932371,,,,,,,,,,,,,,,,,
weekly_summary,20,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714,,,,,,,,,,,,,,,,,
weekly_summary,21,46,20804.598443,18556.002302,18551.215686,28228.197831,1.001,0.025796,22882.117055,6014.631679,6271.949999,6269.420624,,,,,,,,,,,,,,,,,
weekly_summary,22,46,20799.530623,18551.206455,18551.200391,28228.2,1.001,3.3e-05,22877.049235,6014.631679,6271.949999,6264.624777,,,,,,,,,,,,,,,,,
weekly_summary,23,46,20800.475614,18551.914196,18551.199467,28228.198716,1.001,0.003853,22877.994226,6014.631679,6271.949999,6265.332518,,,,,,,,,,,,,,,,,
weekly_summary,24,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714,,,,,,,,,,,,,,,,,
supplier_top50,,,,,,,,,,,,,S229,A,0.96091,1,354887.0,591478.333333,1574.55,2624.25,0.986112,0.987771,0.759783,1.0,1.2,0.6,,,
supplier_top50,,,,,,,,,,,,,S361,C,0.881942,2,328080.0,455666.666667,1488.2,2066.944444,0.98389,0.985577,0.772785,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S275,A,0.78167,3,158553.0,264255.0,708.75,1181.25,1.002548,0.990384,0.851445,1.0,1.2,0.6,,,
supplier_top50,,,,,,,,,,,,,S329,A,0.778287,4,156518.0,260863.333333,676.0,1126.666667,1.001075,0.988349,0.845668,1.0,1.2,0.6,,,
supplier_top50,,,,,,,,,,,,,S282,A,0.760721,5,169340.0,282233.333333,994.55,1657.583333,1.0048,0.98706,0.646402,1.0,1.2,0.6,,,
supplier_top50,,,,,,,,,,,,,S268,C,0.736047,6,129786.0,180258.333333,540.775,751.076389,1.003216,0.986994,0.884324,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S306,C,0.723157,7,126096.0,175133.333333,547.1,759.861111,1.00331,0.986533,0.819379,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S194,C,0.710634,8,101365.0,140784.722222,425.1,590.416667,0.999852,0.982048,0.878882,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S151,C,0.698317,9,194498.0,270136.111111,810.408333,1125.56713,0.729796,0.969135,0.307971,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S356,C,0.691707,10,130307.0,180981.944444,773.25,1073.958333,0.982618,0.975105,0.605686,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S352,A,0.689214,11,89031.0,148385.0,525.6,876.0,0.996988,0.973663,0.720072,1.0,1.2,0.6,,,
supplier_top50,,,,,,,,,,,,,S108,B,0.676809,12,240950.0,365075.757576,1003.958333,1521.14899,0.887657,0.972646,0.450851,1.0,1.1,0.66,,,
supplier_top50,,,,,,,,,,,,,S340,B,0.673004,13,171426.0,259736.363636,830.1,1257.727273,0.996663,0.986672,0.817689,1.0,1.1,0.66,,,
supplier_top50,,,,,,,,,,,,,S247,C,0.672102,14,56698.0,78747.222222,241.55,335.486111,1.012464,0.975898,0.876997,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S143,A,0.645633,15,82787.0,137978.333333,433.45,722.416667,0.875404,0.921907,0.556847,1.0,1.2,0.6,,,
supplier_top50,,,,,,,,,,,,,S131,B,0.636575,16,137512.0,208351.515152,676.35,1024.772727,0.986591,0.974765,0.797395,1.0,1.1,0.66,,,
supplier_top50,,,,,,,,,,,,,S365,C,0.635223,17,41631.0,57820.833333,173.4625,240.920139,1.016382,0.966458,0.729429,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S140,B,0.631799,18,302047.0,457646.969697,1285.0,1946.969697,0.627822,0.757031,0.232427,0.9125,1.1,0.66,,,
supplier_top50,,,,,,,,,,,,,S294,C,0.625237,19,18842.0,26169.444444,81.0,112.5,1.033514,0.925888,0.855343,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S284,C,0.610839,20,46597.0,64718.055556,194.154167,269.658565,1.023772,0.962468,0.546311,1.0,1.0,0.72,,,
supplier_top50,,,,,,,,,,,,,S308,B,0.588374,21,136998.0,207572.727273,570.825,864.886364,0.735449,0.955099,0.511902,1.0,1.1,0.66,,,
