GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,image_count,has_photo,has_video,delay_days,month,note_text,has_specimen,has_photo_word,mentions_bee_loss,mentions_hornet,processed_label,distance_from_first_positive_km,within_queen_range_of_prior_positive
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",Positive ID,"Thanks for adding this, and the great pictures!",2020-02-04,49.149394,-123.943134,4.0,1.0,0.0,138.0,9,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae Thanks for adding this, and the great pictures!",0,1,1,1,1.0,0.0,False
{7F3B6DB6-2ED4-4415-8DC2-3F03EC88F353},2019-09-30,Insects observed late Sept or early Oct,Positive ID,"Thank you for contacting us with photographs, and for sending the specimens!",2020-06-15,48.993892,-122.702242,1.0,1.0,0.0,259.0,9,"Insects observed late Sept or early Oct Thank you for contacting us with photographs, and for sending the specimens!",1,1,0,0,1.0,92.03124423572977,False
{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30,Hornet specimen sent to WSU,Positive ID, ,2020-01-15,48.971949,-122.700941,1.0,1.0,0.0,77.0,10,Hornet specimen sent to WSU  ,1,0,0,1,1.0,92.63278462892764,True
{F1864CC3-508C-4E60-9098-B158AB413B03},2019-11-13, ,Positive ID,"Photograph only, confirmed by provincial government. Site added by WSDA.",2020-06-01,49.025831,-122.810653,0.0,0.0,0.0,201.0,11,"  Photograph only, confirmed by provincial government. Site added by WSDA.",0,1,0,0,1.0,83.60552745719035,True
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-08,"One dead wasp seen in Blaine, and suspect flying nearby",Positive ID, ,2020-01-15,48.980994,-122.688503,1.0,1.0,0.0,38.0,12,"One dead wasp seen in Blaine, and suspect flying nearby  ",1,0,0,1,1.0,93.3032549999866,True
{1C6D0EAB-F68D-411D-974E-1233618854CC},2020-05-15,Specimen collected by citizen scientist and reported to provincial government.,Positive ID,Added by WSDA,2020-06-05,49.060215,-122.641648,1.0,1.0,0.0,21.0,5,Specimen collected by citizen scientist and reported to provincial government. Added by WSDA,1,0,0,0,1.0,95.26047588570768,True
{AD56E8D0-CC43-45B5-B042-94D1712322B9},2020-05-27, ,Positive ID,"Specimen collected and verified by WSDA and USDA. Great job, and thank you for this submission!",2020-05-27,48.955587,-122.661037,1.0,1.0,0.0,0.0,5,"  Specimen collected and verified by WSDA and USDA. Great job, and thank you for this submission!",1,0,0,0,1.0,95.88290657596217,True
{FC6E894B-F6DF-4FDC-853A-D7372D253988},2020-06-07, ,Positive ID,Thank you for submitting this depressing sighting!,2020-06-12,48.777534,-122.418612,1.0,1.0,0.0,5.0,6,  Thank you for submitting this depressing sighting!,0,0,0,0,1.0,118.72643136731168,True
{A717D86F-23E9-4C8C-9F12-198A71113E93},2020-08-17,"Spotted at outdoor dining in Birch Bay, posted to WSDA Facebook site",Positive ID, ,2020-08-24,48.927519,-122.745016,1.0,1.0,0.0,7.0,8,"Spotted at outdoor dining in Birch Bay, posted to WSDA Facebook site  ",0,0,0,0,1.0,90.75253324319569,True
{2138197A-F5CF-4308-93E2-62EA6F84D098},2020-09-21,"We caught and killed 2, 2nd on September 25th",Positive ID,"Thank you for submitting this important find, and retaining the specimens.",2020-09-26,48.984269,-122.574809,1.0,1.0,0.0,5.0,9,"We caught and killed 2, 2nd on September 25th Thank you for submitting this important find, and retaining the specimens.",1,0,0,0,1.0,101.36138816054608,True
{AA461F47-1B2B-4EA1-8154-ECF70B55A334},2020-09-28,WSDA submitted for citizen report,Positive ID, ,2020-10-12,48.98422,-122.574726,0.0,0.0,0.0,14.0,9,WSDA submitted for citizen report  ,0,0,0,0,1.0,101.36836994780762,True
{DEF5D82B-E326-41A5-9B6C-D46DCD86950C},2020-09-29,Live hornet captured by WSDA staff,Positive ID, ,2020-10-01,48.984172,-122.57472,0.0,0.0,0.0,2.0,9,Live hornet captured by WSDA staff  ,1,0,0,1,1.0,101.36981425465504,True
{0FAC3767-EAC4-477A-B5F0-24AF8A40BD09},2020-09-30,doorbell cam image,Positive ID, ,2020-10-01,48.979497,-122.581335,1.0,1.0,0.0,1.0,9,doorbell cam image  ,0,1,0,0,1.0,100.99645673372902,True
{BEAC832C-0783-414A-9354-C297F38570AD},2020-10-01,Dead hornet in light,Positive ID, ,2020-10-01,48.983375,-122.582465,1.0,1.0,0.0,0.0,10,Dead hornet in light  ,1,0,0,1,1.0,100.83195726493696,True
