UNITID,INSTNM,CITY,STABBR,CONTROL,PREDDEG,UGDS,PCTPELL,PCTFLOAN,completion_rate,retention_rate,repayment_rate,earnings_10yr,net_price,grant_need_index,student_success_index,leverage_index,roi_score,recommended_annual_grant_usd,expected_students_reached,charitable_roi_units_per_million,rank_score,annual_grant_usd,five_year_grant_usd,portfolio_share
110653,University of California-Irvine,Irvine,CA,1,3,23517.0,0.432,0.4418,0.85736157559572,0.9175,0.915738600546,55800.0,11944.0,0.6873345435841585,0.9371810621488935,0.7913871070320005,82.05759896278576,10000000.0,10159.0,83362.314786,87.440319,10000000.0,50000000.0,0.1
110680,University of California-San Diego,La Jolla,CA,1,3,23792.0,0.4274,0.4731,0.86036546391752,0.942,0.921000331236,59600.0,14421.0,0.6597711061749629,0.9740218875240059,0.7554630656150875,82.0322349670057,10000000.0,10169.0,83418.579738,87.422564,10000000.0,50000000.0,0.1
110644,University of California-Davis,Davis,CA,1,3,26483.0,0.4297,0.4467,0.81287848392036,0.9294,0.919936958235,57100.0,15054.0,0.6571765601817209,0.9234234224148832,0.761009327096728,79.77542015696453,10000000.0,11380.0,90784.428139,85.842794,10000000.0,50000000.0,0.1
110662,University of California-Los Angeles,Los Angeles,CA,1,3,28667.0,0.3624,0.374,0.9092575240128,0.9626,0.916604393962,59200.0,13723.0,0.582666964662389,0.9729777336832439,0.7596756552334792,79.37085488359918,10000000.0,10389.0,82458.381139,85.559598,10000000.0,50000000.0,0.1
110635,University of California-Berkeley,Berkeley,CA,1,3,25951.0,0.3237,0.3021,0.908562721964,0.9637,0.893109372018,62700.0,13769.0,0.532721375712664,0.9709171292751783,0.7621301282237916,77.57912153180209,10000000.0,8400.0,65166.462087,84.305385,10000000.0,50000000.0,0.1
110671,University of California-Riverside,Riverside,CA,1,3,18612.0,0.564,0.5688,0.66238660333195,0.8898,0.831275720165,48700.0,11473.0,0.8398960938180818,0.7208843757623138,0.7856239910303526,77.54864001354403,8900000.0,10497.0,91463.828564,84.284048,8900000.0,44500000.0,0.089
134130,University of Florida,Gainesville,FL,1,3,32346.0,0.3207,0.3506,0.85817331096538,0.9646,0.878139534884,51300.0,12582.0,0.5392674831292751,0.9137452729781249,0.7536422079405357,75.06574335235096,10000000.0,10373.0,77865.695579,82.54602,10000000.0,50000000.0,0.1
230038,Brigham Young University-Provo,Provo,UT,2,3,27765.0,0.3578,0.1918,0.7769794165316,0.8461,0.943541488452,57400.0,13070.0,0.5824920971192039,0.8603147882470745,0.7883947244481515,74.86928335925353,10000000.0,9934.0,74375.146089,82.408498,10000000.0,50000000.0,0.1
110583,California State University-Long Beach,Long Beach,CA,1,3,30440.0,0.4733,0.393,0.58584730751062,0.8876,0.8766270515,46900.0,9699.0,0.759850609378417,0.6804144337195344,0.853412730260517,74.28167545083399,10000000.0,14407.0,107017.609822,81.997173,10000000.0,50000000.0,0.1
110705,University of California-Santa Barbara,Santa Barbara,CA,1,3,19362.0,0.3798,0.438,0.80466620689655,0.9193,0.896010464356,52000.0,14142.0,0.5861434891206952,0.8767111024309582,0.7124467660833119,74.21595705028369,9200000.0,7354.0,59324.363929,81.95117,9200000.0,46000000.0,0.092
