sample,true_label,cluster,pc1,pc2,pred_prob_1
1,0,0,-2.706035,0.066114,0.003341
2,0,0,-2.161815,0.928113,0.012497
3,0,0,-2.591132,0.35786,0.004543
4,0,0,-2.123923,0.061489,0.011656
5,0,0,-1.851343,0.205048,0.021947
6,0,0,-2.730178,0.229793,0.003407
7,0,0,-2.949029,0.925022,0.002409
8,0,0,-1.309937,-1.094676,0.053848
9,0,0,-2.727166,0.359301,0.003426
10,0,0,-1.765873,0.269925,0.025415
11,0,0,-2.726928,0.323589,0.003418
12,0,0,-2.714541,-0.060981,0.003366
13,0,0,-2.461906,-0.436148,0.005355
14,0,0,-1.988059,0.709253,0.016632
15,0,0,-2.205063,-0.181862,0.009636
16,0,0,-1.911055,-0.369481,0.017876
17,0,0,-2.343031,-0.135095,0.007086
18,0,0,-1.413073,-1.179918,0.04307
19,0,0,-1.848411,-0.207638,0.021054
20,0,0,-2.071948,0.107244,0.013414
21,0,0,-1.707805,-0.353133,0.027137
22,0,0,-2.305141,0.022905,0.008125
23,0,0,-2.142604,-0.526567,0.01044
24,0,0,-2.262098,0.536515,0.00933
25,0,0,-2.227372,-0.318088,0.009299
26,0,0,-3.067762,-0.828665,0.0014
27,0,0,-2.130697,0.367665,0.011836
28,0,0,-1.440536,-0.552354,0.045543
29,0,0,-2.437517,0.754113,0.006345
30,0,0,-2.484889,-0.868155,0.004763
31,0,0,-1.511851,0.187399,0.04306
32,0,0,-2.446093,0.241201,0.006288
33,0,0,-2.516696,-0.008597,0.005059
34,0,0,-1.367264,0.243854,0.059217
35,0,0,-2.378414,0.029068,0.006496
36,0,0,-1.963316,-0.414103,0.01592
37,0,0,-2.342645,-0.259519,0.00711
38,0,0,-1.617027,0.019151,0.034293
39,0,0,-2.386043,-0.374147,0.005981
40,0,0,-2.438414,-0.187343,0.00579
41,0,0,-2.269168,0.078163,0.008549
42,0,0,-1.76834,-0.054923,0.025721
43,1,1,2.083991,1.586972,0.992243
44,1,1,3.42304,-0.527794,0.999422
45,1,1,2.351707,0.975708,0.995416
46,1,1,2.644235,-0.842417,0.996633
47,1,1,2.157582,0.629699,0.992241
48,1,1,1.995324,0.500209,0.988591
49,1,1,1.260641,-0.415017,0.941987
50,1,1,2.405477,0.213589,0.995427
51,1,1,1.010809,-0.318828,0.906124
52,1,1,2.390876,0.027882,0.995127
53,1,1,2.767771,-0.929818,0.997388
54,1,1,2.430961,-1.155168,0.994866
55,1,1,2.850831,-0.285304,0.998054
56,1,1,2.308,-0.127556,0.994058
57,1,1,1.871905,-0.21198,0.984471
58,1,1,1.58448,0.15479,0.972556
59,1,1,0.967394,0.150547,0.904337
60,1,1,1.982874,-0.377291,0.987221
61,1,1,1.639367,0.908409,0.978178
62,1,1,1.600109,0.227036,0.97552
63,1,1,3.159752,0.601957,0.999108
64,1,1,1.573049,0.709862,0.97448
65,1,1,2.725581,-0.016329,0.997621
66,1,1,1.789574,-0.567956,0.980147
67,1,1,1.946112,1.363091,0.989248
68,1,1,2.153627,0.271043,0.991591
69,1,1,1.651248,-1.073204,0.972455
70,1,1,2.782284,-0.304237,0.997771
71,1,1,2.291602,-0.591,0.993591
72,1,1,2.34425,-0.889953,0.993513
73,1,1,1.408337,1.314733,0.967514
74,1,1,3.203513,0.334373,0.999157
75,1,1,1.527032,0.827442,0.972865
76,1,1,2.000114,0.411227,0.989197
77,1,1,2.418715,0.687733,0.995687
78,1,1,1.999702,-0.409329,0.987731
79,1,1,3.057576,-0.862509,0.998648
80,1,1,2.531531,0.212775,0.996347
81,1,1,2.318273,-1.106222,0.992888
82,1,1,2.088643,0.00954,0.989909
83,1,1,2.204567,0.120365,0.992692
84,1,1,2.909684,0.161537,0.998372
