point_id,x,y,distance_to_fit_center
1,5.462878,1.496236,5.044801
2,5.387818,2.190598,5.018821
3,5.232466,2.771736,4.981979
4,4.980717,3.356275,4.929413
5,4.798342,4.018221,5.057325
6,4.318418,4.475494,4.911555
7,3.913474,5.061706,4.997194
8,3.565656,5.41674,5.032228
9,2.909588,5.849657,5.021022
10,2.31749,6.204733,5.08258
11,1.678664,6.317004,4.988497
12,1.028882,6.424566,4.97182
13,0.430539,6.433306,4.942914
14,-0.21558,6.500317,5.049823
15,-0.876493,6.288818,4.969975
16,-1.569311,6.193667,5.105915
17,-2.080714,5.825462,5.003665
18,-2.639066,5.47473,5.022047
19,-3.03862,4.951051,4.891301
20,-3.60318,4.561462,5.059832
21,-3.964422,3.95284,5.026917
22,-4.111875,3.342799,4.894062
23,-4.392812,2.802814,4.986691
24,-4.653875,2.16657,5.116827
25,-4.634998,1.399795,5.053891
26,-4.493046,0.777459,4.962606
27,-4.393876,0.268813,4.964596
28,-4.166571,-0.348181,4.939578
29,-3.980759,-1.025281,5.067393
30,-3.59135,-1.569712,5.043795
31,-3.128543,-2.02471,4.993455
32,-2.689614,-2.473443,5.036852
33,-2.059777,-2.813573,4.966289
34,-1.515872,-3.003541,4.892418
35,-0.831281,-3.433985,5.080409
36,-0.324096,-3.425032,4.971155
37,0.392784,-3.513621,5.004093
38,1.111851,-3.409523,4.948802
39,1.760136,-3.355326,5.028146
40,2.356297,-3.239091,5.111247
41,2.923725,-2.840372,5.00339
42,3.465129,-2.409985,4.949503
43,4.014658,-2.107786,5.087472
44,4.275962,-1.556776,4.916156
45,4.734911,-1.12748,5.0486
46,5.025876,-0.338477,4.95748
47,5.334167,0.190397,5.08507
48,5.316363,0.843943,4.940758
