route_id,start_milepost,end_milepost,adt_2015,route_type,lanes_decreasing,lanes_increasing,comments,segment_length_mi,avg_lanes_per_direction,peak_hour_volume_total,peak_hour_volume_per_direction,baseline_capacity_per_direction,baseline_vc_ratio,route_label
5,100.93,101.87,65000,IS,3,3,Olympia,0.9399999999999977,3.0,5200.0,2600.0,6000.0,0.43333333333333335,I-5
5,101.87,103.17,85000,IS,3,3,,1.2999999999999972,3.0,6800.0,3400.0,6000.0,0.5666666666666667,I-5
5,103.17,103.42,108000,IS,3,3,,0.25,3.0,8640.0,4320.0,6000.0,0.72,I-5
5,103.42,104.81,101000,IS,3,3,,1.3900000000000006,3.0,8080.0,4040.0,6000.0,0.6733333333333333,I-5
5,104.81,105.63,144000,IS,3,4,Rte 101 intersection,0.8199999999999932,3.5,11520.0,5760.0,7000.0,0.8228571428571428,I-5
5,105.63,106.23,123000,IS,3,4,,0.6000000000000085,3.5,9840.0,4920.0,7000.0,0.7028571428571428,I-5
5,106.23,107.09,143000,IS,3,4,,0.8599999999999994,3.5,11440.0,5720.0,7000.0,0.8171428571428572,I-5
5,107.09,107.74,124000,IS,4,4,,0.6499999999999915,4.0,9920.0,4960.0,8000.0,0.62,I-5
5,107.74,108.46,135000,IS,4,4,,0.7199999999999989,4.0,10800.0,5400.0,8000.0,0.675,I-5
5,108.46,108.94,116000,IS,4,3,,0.480000000000004,3.5,9280.0,4640.0,7000.0,0.6628571428571428,I-5
5,108.94,109.52,100000,IS,3,3,,0.5799999999999983,3.0,8000.0,4000.0,6000.0,0.6666666666666666,I-5
5,109.52,111.43,119000,IS,3,3,,1.9100000000000108,3.0,9520.0,4760.0,6000.0,0.7933333333333333,I-5
5,111.43,112.43,89000,IS,3,3,SR 510 intersection,1.0,3.0,7120.0,3560.0,6000.0,0.5933333333333334,I-5
5,112.43,113.85,105000,IS,3,3,,1.4199999999999875,3.0,8400.0,4200.0,6000.0,0.7,I-5
5,113.85,114.65,101000,IS,3,3,,0.8000000000000114,3.0,8080.0,4040.0,6000.0,0.6733333333333333,I-5
5,114.65,116.42,118000,IS,3,3,,1.769999999999996,3.0,9440.0,4720.0,6000.0,0.7866666666666666,I-5
5,116.42,117.25,118000,IS,3,3,,0.8299999999999983,3.0,9440.0,4720.0,6000.0,0.7866666666666666,I-5
5,117.25,117.78,128000,IS,3,3,,0.5300000000000011,3.0,10240.0,5120.0,6000.0,0.8533333333333334,I-5
5,117.78,118.4,120000,IS,3,3,,0.6200000000000045,3.0,9600.0,4800.0,6000.0,0.8,I-5
5,118.4,118.67,129000,IS,3,3,,0.269999999999996,3.0,10320.0,5160.0,6000.0,0.86,I-5
5,118.67,119.38,116000,IS,3,3,,0.7099999999999937,3.0,9280.0,4640.0,6000.0,0.7733333333333333,I-5
5,119.38,120.46,125000,IS,3,3,,1.0799999999999983,3.0,10000.0,5000.0,6000.0,0.8333333333333334,I-5
5,120.46,121.4,116000,IS,3,3,,0.9400000000000119,3.0,9280.0,4640.0,6000.0,0.7733333333333333,I-5
