time_s,time_min,skin_temperature_c
0,0.0,37.0
1,0.016667,37.007843
2,0.033333,37.015677
3,0.05,37.023503
4,0.066667,37.03132
5,0.083333,37.039129
6,0.1,37.046929
7,0.116667,37.054721
8,0.133333,37.062504
9,0.15,37.070279
10,0.166667,37.078045
11,0.183333,37.085803
12,0.2,37.093553
13,0.216667,37.101294
14,0.233333,37.109026
15,0.25,37.11675
16,0.266667,37.124466
17,0.283333,37.132173
18,0.3,37.139872
19,0.316667,37.147562
20,0.333333,37.155244
21,0.35,37.162918
22,0.366667,37.170583
23,0.383333,37.17824
24,0.4,37.185888
25,0.416667,37.193528
26,0.433333,37.20116
27,0.45,37.208784
28,0.466667,37.216399
29,0.483333,37.224006
30,0.5,37.231605
31,0.516667,37.239195
32,0.533333,37.246777
33,0.55,37.254351
34,0.566667,37.261916
35,0.583333,37.269474
36,0.6,37.277023
37,0.616667,37.284563
38,0.633333,37.292096
39,0.65,37.29962
40,0.666667,37.307136
41,0.683333,37.314644
42,0.7,37.322144
43,0.716667,37.329636
44,0.733333,37.337119
45,0.75,37.344594
46,0.766667,37.352061
47,0.783333,37.35952
48,0.8,37.366971
49,0.816667,37.374414
50,0.833333,37.381849
51,0.85,37.389275
52,0.866667,37.396693
53,0.883333,37.404104
54,0.9,37.411506
55,0.916667,37.4189
56,0.933333,37.426286
57,0.95,37.433664
58,0.966667,37.441034
59,0.983333,37.448396
60,1.0,37.45575
61,1.016667,37.463096
62,1.033333,37.470434
63,1.05,37.477763
64,1.066667,37.485085
65,1.083333,37.492399
66,1.1,37.499705
67,1.116667,37.507003
68,1.133333,37.514293
69,1.15,37.521575
70,1.166667,37.528849
71,1.183333,37.536115
72,1.2,37.543373
73,1.216667,37.550624
74,1.233333,37.557866
75,1.25,37.565101
76,1.266667,37.572327
77,1.283333,37.579546
78,1.3,37.586757
79,1.316667,37.59396
80,1.333333,37.601155
81,1.35,37.608342
82,1.366667,37.615522
83,1.383333,37.622693
84,1.4,37.629857
85,1.416667,37.637013
86,1.433333,37.644161
87,1.45,37.651302
88,1.466667,37.658434
89,1.483333,37.665559
90,1.5,37.672676
91,1.516667,37.679785
92,1.533333,37.686887
93,1.55,37.693981
94,1.566667,37.701067
95,1.583333,37.708145
96,1.6,37.715216
97,1.616667,37.722279
98,1.633333,37.729334
99,1.65,37.736381
100,1.666667,37.743421
101,1.683333,37.750453
102,1.7,37.757478
103,1.716667,37.764494
104,1.733333,37.771504
105,1.75,37.778505
106,1.766667,37.785499
107,1.783333,37.792485
108,1.8,37.799464
109,1.816667,37.806435
110,1.833333,37.813398
111,1.85,37.820354
112,1.866667,37.827302
113,1.883333,37.834243
