medicine_id,width_mm,type_id,spacing_mm,redundancy_mm
1,24,2,43.0,15.0
2,20,2,43.0,19.0
3,21,2,43.0,18.0
4,15,1,23.0,4.0
5,21,2,43.0,18.0
6,20,2,43.0,19.0
7,26,2,43.0,13.0
8,20,2,43.0,19.0
9,20,2,43.0,19.0
10,33,2,43.0,6.0
11,33,2,43.0,6.0
12,33,2,43.0,6.0
13,33,2,43.0,6.0
14,33,2,43.0,6.0
15,33,2,43.0,6.0
16,33,2,43.0,6.0
17,33,2,43.0,6.0
18,16,1,23.0,3.0
19,23,2,43.0,16.0
20,38,2,43.0,1.0
21,19,1,23.0,0.0
22,30,2,43.0,9.0
23,20,2,43.0,19.0
24,19,1,23.0,0.0
25,17,1,23.0,2.0
26,20,2,43.0,19.0
27,20,2,43.0,19.0
28,29,2,43.0,10.0
29,29,2,43.0,10.0
30,22,2,43.0,17.0
31,20,2,43.0,19.0
32,20,2,43.0,19.0
33,21,2,43.0,18.0
34,16,1,23.0,3.0
35,23,2,43.0,16.0
36,30,2,43.0,9.0
37,28,2,43.0,11.0
38,19,1,23.0,0.0
39,34,2,43.0,5.0
40,19,1,23.0,0.0
41,39,2,43.0,0.0
42,19,1,23.0,0.0
43,50,3,60.0,6.0
44,24,2,43.0,15.0
45,45,3,60.0,11.0
46,40,3,60.0,16.0
47,47,3,60.0,9.0
48,18,1,23.0,1.0
49,47,3,60.0,9.0
50,18,1,23.0,1.0
51,21,2,43.0,18.0
52,20,2,43.0,19.0
53,42,3,60.0,14.0
54,48,3,60.0,8.0
55,26,2,43.0,13.0
56,25,2,43.0,14.0
57,18,1,23.0,1.0
58,21,2,43.0,18.0
59,28,2,43.0,11.0
60,35,2,43.0,4.0
61,14,1,23.0,5.0
62,16,1,23.0,3.0
63,21,2,43.0,18.0
64,37,2,43.0,2.0
65,41,3,60.0,15.0
66,23,2,43.0,16.0
67,16,1,23.0,3.0
68,20,2,43.0,19.0
69,27,2,43.0,12.0
70,18,1,23.0,1.0
71,20,2,43.0,19.0
72,40,3,60.0,16.0
73,24,2,43.0,15.0
74,32,2,43.0,7.0
75,19,1,23.0,0.0
76,27,2,43.0,12.0
77,21,2,43.0,18.0
78,20,2,43.0,19.0
79,20,2,43.0,19.0
80,15,1,23.0,4.0
81,30,2,43.0,9.0
82,31,2,43.0,8.0
83,45,3,60.0,11.0
84,14,1,23.0,5.0
85,35,2,43.0,4.0
86,37,2,43.0,2.0
87,14,1,23.0,5.0
88,21,2,43.0,18.0
89,38,2,43.0,1.0
90,40,3,60.0,16.0
91,16,1,23.0,3.0
92,45,3,60.0,11.0
93,17,1,23.0,2.0
94,23,2,43.0,16.0
95,36,2,43.0,3.0
96,30,2,43.0,9.0
97,16,1,23.0,3.0
98,23,2,43.0,16.0
99,15,1,23.0,4.0
100,24,2,43.0,15.0
101,24,2,43.0,15.0
102,29,2,43.0,10.0
103,20,2,43.0,19.0
104,21,2,43.0,18.0
105,21,2,43.0,18.0
106,25,2,43.0,14.0
107,13,1,23.0,6.0
108,20,2,43.0,19.0
109,46,3,60.0,10.0
110,21,2,43.0,18.0
111,16,1,23.0,3.0
112,16,1,23.0,3.0
113,20,2,43.0,19.0
114,26,2,43.0,13.0
115,20,2,43.0,19.0
116,18,1,23.0,1.0
117,16,1,23.0,3.0
118,20,2,43.0,19.0
119,24,2,43.0,15.0
120,15,1,23.0,4.0
121,20,2,43.0,19.0
122,14,1,23.0,5.0
123,16,1,23.0,3.0
124,21,2,43.0,18.0
125,19,1,23.0,0.0
126,20,2,43.0,19.0
127,30,2,43.0,9.0
128,15,1,23.0,4.0
129,41,3,60.0,15.0
130,18,1,23.0,1.0
131,19,1,23.0,0.0
132,19,1,23.0,0.0
133,18,1,23.0,1.0
134,26,2,43.0,13.0
135,20,2,43.0,19.0
136,20,2,43.0,19.0
137,21,2,43.0,18.0
138,45,3,60.0,11.0
139,35,2,43.0,4.0
140,18,1,23.0,1.0
141,17,1,23.0,2.0
142,45,3,60.0,11.0
143,50,3,60.0,6.0
144,27,2,43.0,12.0
145,18,1,23.0,1.0
146,26,2,43.0,13.0
147,20,2,43.0,19.0
148,40,3,60.0,16.0
149,35,2,43.0,4.0
150,44,3,60.0,12.0
151,15,1,23.0,4.0
152,41,3,60.0,15.0
153,47,3,60.0,9.0
154,45,3,60.0,11.0
155,43,3,60.0,13.0
156,35,2,43.0,4.0
157,35,2,43.0,4.0
158,40,3,60.0,16.0
159,40,3,60.0,16.0
160,35,2,43.0,4.0
161,44,3,60.0,12.0
162,40,3,60.0,16.0
163,20,2,43.0,19.0
164,21,2,43.0,18.0
165,19,1,23.0,0.0
166,21,2,43.0,18.0
167,40,3,60.0,16.0
168,17,1,23.0,2.0
169,18,1,23.0,1.0
170,44,3,60.0,12.0
171,35,2,43.0,4.0
172,39,2,43.0,0.0
173,46,3,60.0,10.0
174,28,2,43.0,11.0
175,26,2,43.0,13.0
176,34,2,43.0,5.0
177,17,1,23.0,2.0
178,25,2,43.0,14.0
179,22,2,43.0,17.0
180,37,2,43.0,2.0
181,43,3,60.0,13.0
182,51,3,60.0,5.0
183,47,3,60.0,9.0
184,15,1,23.0,4.0
185,17,1,23.0,2.0
186,20,2,43.0,19.0
187,49,3,60.0,7.0
188,33,2,43.0,6.0
189,41,3,60.0,15.0
190,47,3,60.0,9.0
191,43,3,60.0,13.0
192,21,2,43.0,18.0
193,23,2,43.0,16.0
194,25,2,43.0,14.0
195,21,2,43.0,18.0
196,17,1,23.0,2.0
197,14,1,23.0,5.0
198,18,1,23.0,1.0
199,17,1,23.0,2.0
200,40,3,60.0,16.0
201,45,3,60.0,11.0
202,41,3,60.0,15.0
203,19,1,23.0,0.0
204,43,3,60.0,13.0
205,20,2,43.0,19.0
206,42,3,60.0,14.0
207,36,2,43.0,3.0
208,44,3,60.0,12.0
209,18,1,23.0,1.0
210,19,1,23.0,0.0
211,45,3,60.0,11.0
212,35,2,43.0,4.0
213,25,2,43.0,14.0
214,20,2,43.0,19.0
215,20,2,43.0,19.0
216,20,2,43.0,19.0
217,20,2,43.0,19.0
218,25,2,43.0,14.0
219,21,2,43.0,18.0
220,45,3,60.0,11.0
221,20,2,43.0,19.0
222,24,2,43.0,15.0
223,50,3,60.0,6.0
224,40,3,60.0,16.0
225,20,2,43.0,19.0
226,20,2,43.0,19.0
227,31,2,43.0,8.0
228,20,2,43.0,19.0
229,45,3,60.0,11.0
230,16,1,23.0,3.0
231,47,3,60.0,9.0
232,48,3,60.0,8.0
233,18,1,23.0,1.0
234,31,2,43.0,8.0
235,45,3,60.0,11.0
236,18,1,23.0,1.0
237,21,2,43.0,18.0
238,45,3,60.0,11.0
239,25,2,43.0,14.0
