medicine_id,height_mm,type_id,spacing_mm,redundancy_mm
1,76,2,115.0,35.0
2,72,2,115.0,39.0
3,76,2,115.0,35.0
4,71,2,115.0,40.0
5,72,2,115.0,39.0
6,85,2,115.0,26.0
7,37,1,59.0,18.0
8,65,2,115.0,46.0
9,64,2,115.0,47.0
10,55,1,59.0,0.0
11,55,1,59.0,0.0
12,55,1,59.0,0.0
13,55,1,59.0,0.0
14,55,1,59.0,0.0
15,55,1,59.0,0.0
16,55,1,59.0,0.0
17,75,2,115.0,36.0
18,76,2,115.0,35.0
19,70,2,115.0,41.0
20,77,2,115.0,34.0
21,65,2,115.0,46.0
22,70,2,115.0,41.0
23,76,2,115.0,35.0
24,65,2,115.0,46.0
25,67,2,115.0,44.0
26,62,2,115.0,49.0
27,73,2,115.0,38.0
28,76,2,115.0,35.0
29,75,2,115.0,36.0
30,32,1,59.0,23.0
31,55,1,59.0,0.0
32,71,2,115.0,40.0
33,91,2,115.0,20.0
34,69,2,115.0,42.0
35,73,2,115.0,38.0
36,62,2,115.0,49.0
37,72,2,115.0,39.0
38,40,1,59.0,15.0
39,49,1,59.0,6.0
40,71,2,115.0,40.0
41,40,1,59.0,15.0
42,61,2,115.0,50.0
43,65,2,115.0,46.0
44,81,2,115.0,30.0
45,72,2,115.0,39.0
46,72,2,115.0,39.0
47,73,2,115.0,38.0
48,73,2,115.0,38.0
49,47,1,59.0,8.0
50,72,2,115.0,39.0
51,57,2,115.0,54.0
52,71,2,115.0,40.0
53,43,1,59.0,12.0
54,50,1,59.0,5.0
55,35,1,59.0,20.0
56,35,1,59.0,20.0
57,74,2,115.0,37.0
58,71,2,115.0,40.0
59,52,1,59.0,3.0
60,35,1,59.0,20.0
61,43,1,59.0,12.0
62,48,1,59.0,7.0
63,76,2,115.0,35.0
64,37,1,59.0,18.0
65,41,1,59.0,14.0
66,65,2,115.0,46.0
67,71,2,115.0,40.0
68,71,2,115.0,40.0
69,80,2,115.0,31.0
70,40,1,59.0,15.0
71,76,2,115.0,35.0
72,40,1,59.0,15.0
73,40,1,59.0,15.0
74,40,1,59.0,15.0
75,65,2,115.0,46.0
76,78,2,115.0,33.0
77,67,2,115.0,44.0
78,66,2,115.0,45.0
79,60,2,115.0,51.0
80,60,2,115.0,51.0
81,60,2,115.0,51.0
82,31,1,59.0,24.0
83,47,1,59.0,8.0
84,62,2,115.0,49.0
85,35,1,59.0,20.0
86,37,1,59.0,18.0
87,66,2,115.0,45.0
88,67,2,115.0,44.0
89,56,2,115.0,55.0
90,40,1,59.0,15.0
91,71,2,115.0,40.0
92,45,1,59.0,10.0
93,72,2,115.0,39.0
94,69,2,115.0,42.0
