point_id,x,y,distance_to_fit_center
1,5.519055,0.553949,3.112519
2,0.548588,3.713727,3.065682
3,-0.209358,0.343297,2.905659
4,-0.105795,3.713727,3.52096
5,-0.19684,-0.320257,3.188139
6,-0.188304,-0.393985,3.220439
7,-0.216756,-0.288659,3.188632
8,-0.216756,-0.499311,3.302465
9,-0.21391,-0.499311,3.300114
10,-0.211065,-0.499311,3.297763
11,-0.20822,-0.509843,3.301367
12,-0.205375,-0.509843,3.299023
13,-0.20253,-0.509843,3.296679
14,-0.199685,-0.509843,3.294336
15,-0.19684,-0.499311,3.286023
16,-0.193994,-0.499311,3.283678
17,-0.211065,-0.288659,3.183763
18,-0.191149,-0.288659,3.166741
19,-0.216756,-0.288659,3.188632
20,-0.20253,0.132645,2.979661
21,-0.211065,-0.183333,3.130524
22,-0.19684,-0.320257,3.188139
23,-0.213341,0.343297,2.909391
24,-0.216756,-0.393985,3.244338
25,-0.21391,-0.393985,3.241945
26,-0.210781,-0.288659,3.18352
27,-0.20253,0.132645,2.979661
28,-0.211065,-0.183333,3.130524
29,-0.191149,-0.288659,3.166741
30,-0.216756,-0.393985,3.244338
31,-0.199685,0.237971,2.93522
32,-0.19684,-0.320257,3.188139
