point_id,x,y,distance_to_fit_center
1,7.952747,-0.613698,7.424254
2,7.904221,0.352565,7.445901
3,7.661218,1.254904,7.387376
4,7.373885,2.114001,7.389204
5,6.822126,3.111162,7.341324
6,6.266859,3.808765,7.278373
7,5.718342,4.497693,7.322884
8,5.013817,5.154955,7.350642
9,4.156058,5.717293,7.344344
10,3.319472,6.187951,7.402897
11,2.407825,6.43192,7.345118
12,1.545534,6.738026,7.476257
13,0.498406,6.680271,7.349092
14,-0.404492,6.658918,7.386859
15,-1.463978,6.521415,7.461189
16,-2.383453,6.146893,7.411729
17,-3.275081,5.699975,7.418187
18,-3.942653,5.220369,7.394241
19,-4.778665,4.616512,7.490139
20,-5.381528,3.829519,7.427333
21,-5.886491,3.042699,7.411449
22,-6.219119,2.111819,7.298263
23,-6.588778,1.344322,7.396685
24,-6.80634,0.280825,7.396248
25,-6.860408,-0.669971,7.389106
26,-6.75397,-1.691059,7.354071
27,-6.542203,-2.538712,7.313984
28,-6.328361,-3.506594,7.421089
29,-5.789646,-4.301739,7.288348
30,-5.288095,-5.195782,7.370822
31,-4.642787,-5.793064,7.2803
32,-3.971973,-6.471189,7.343312
33,-3.147387,-7.050779,7.365038
34,-2.299578,-7.518463,7.41064
35,-1.432099,-7.841869,7.436279
36,-0.557714,-8.005322,7.416566
37,0.541111,-8.000402,7.331654
38,1.50382,-8.025057,7.420646
39,2.545329,-7.824995,7.434953
40,3.377427,-7.597184,7.491217
41,4.21215,-7.137162,7.443659
42,5.048929,-6.51916,7.393219
43,5.794526,-5.908269,7.428419
44,6.416043,-5.074474,7.35331
45,6.880779,-4.34138,7.337376
46,7.344766,-3.458707,7.364957
47,7.614038,-2.615174,7.347828
48,7.841043,-1.534339,7.363398
