point_id,x,y,distance_to_fit_center
1,-0.077438,-0.039195,2.565886
2,-0.323262,-0.325618,2.942358
3,-0.321264,-0.310544,2.930218
4,-0.319265,3.729537,2.839272
5,3.703861,-0.325618,2.875407
6,-0.323262,-0.114569,2.795714
7,-0.323063,-0.325618,2.942218
8,-0.31327,-0.250244,2.881947
9,-0.311271,-0.235169,2.869953
10,-0.321264,-0.280394,2.908852
11,-0.321064,-0.310544,2.930077
12,-0.323262,-0.325618,2.942358
13,0.214354,-0.310544,2.581937
14,-0.319265,-0.295469,2.918106
15,-0.321264,-0.280394,2.908852
