sample,true_label,cluster,pc1,pc2,pred_prob_1
1,1,1,26.819136,0.838316,0.999999
2,0,0,0.048599,-1.713598,0.549116
3,0,0,0.047705,-1.699183,0.548747
4,1,0,0.053145,-1.684162,0.549195
5,0,0,0.043674,-1.67057,0.547721
6,1,0,0.052377,-1.655235,0.54859
7,0,0,0.039507,-1.641969,0.546676
8,0,0,0.040051,-1.627417,0.546493
9,1,0,0.045766,-1.612369,0.546977
10,0,0,0.037843,-1.598628,0.545701
11,1,0,0.040388,-1.583884,0.545776
12,1,0,0.043753,-1.569062,0.545957
13,0,0,0.031252,-1.55576,0.544089
14,1,0,0.038068,-1.540607,0.544715
15,0,0,0.028535,-1.527021,0.54323
16,1,0,0.035969,-1.511808,0.543937
17,1,0,0.035151,-1.497386,0.543578
18,0,0,0.02498,-1.483861,0.542009
19,1,0,0.033726,-1.468523,0.542886
20,0,0,0.023875,-1.454967,0.541359
21,1,0,0.025906,-1.440272,0.541367
22,0,0,0.018474,-1.426485,0.540152
23,1,0,0.027472,-1.411122,0.541062
24,0,0,0.018151,-1.397515,0.539602
25,1,0,0.021415,-1.382702,0.539771
26,1,0,0.024556,-1.367901,0.539923
27,1,0,0.020945,-1.353747,0.539202
28,1,0,0.0183,-1.339501,0.538605
29,1,0,0.017514,-1.325076,0.538249
30,1,0,0.016277,-1.310695,0.537835
31,0,0,0.006393,-1.297142,0.536301
32,0,0,0.005013,-1.282774,0.535868
33,0,0,0.006037,-1.268176,0.535746
34,1,0,0.014226,-1.252891,0.536552
35,1,0,0.010787,-1.238721,0.535853
36,0,0,0.001578,-1.225104,0.534405
37,1,0,0.005665,-1.210212,0.53468
38,1,0,0.005216,-1.195755,0.534368
39,1,0,0.009173,-1.180875,0.534626
40,0,0,-0.006404,-1.167869,0.532353
41,0,0,-0.007745,-1.153497,0.531924
42,0,0,-0.007153,-1.13894,0.531746
43,1,0,-0.003126,-1.124054,0.532014
44,1,0,-0.003804,-1.109619,0.531671
45,1,0,-0.004196,-1.095157,0.531366
46,1,0,-0.009374,-1.081153,0.53044
47,0,0,-0.013459,-1.067045,0.529655
48,1,0,-0.006086,-1.051838,0.530356
49,0,0,-0.018389,-1.038517,0.528506
50,1,0,-0.0106,-1.02327,0.529261
51,1,0,-0.014575,-1.009151,0.528491
52,0,0,-0.020873,-0.995255,0.527419
53,1,0,-0.016206,-0.980308,0.527769
54,0,0,-0.025028,-0.966653,0.526369
55,1,0,-0.018819,-0.951558,0.52692
56,0,0,-0.025857,-0.937733,0.525752
57,0,0,-0.027431,-0.923383,0.525292
58,0,0,-0.027497,-0.90889,0.525029
59,1,0,-0.024129,-0.894067,0.525211
60,0,0,-0.03343,-0.880458,0.523748
61,0,0,-0.032899,-0.865907,0.523562
62,1,0,-0.031218,-0.851246,0.523525
63,1,0,-0.028153,-0.836452,0.523668
64,1,0,-0.029236,-0.822056,0.523272
65,1,0,-0.005368,-0.805268,0.526117
66,1,0,-0.030955,-0.793221,0.522539
67,1,0,-0.03279,-0.778897,0.522045
68,0,0,-0.04096,-0.76518,0.520728
69,1,0,-0.034298,-0.750041,0.521339
70,0,0,-0.043553,-0.736428,0.519881
71,1,0,-0.041538,-0.721735,0.519887
72,0,0,-0.04804,-0.707858,0.518787
73,1,0,-0.042004,-0.69278,0.519316
74,0,0,-0.053278,-0.67936,0.517595
75,1,0,-0.042496,-0.663827,0.518742
76,0,0,-0.055996,-0.650621,0.516731
77,0,0,-0.054924,-0.636018,0.516615
78,0,0,-0.058235,-0.621835,0.515929
79,0,0,-0.055281,-0.607052,0.516058
80,0,0,-0.060809,-0.593082,0.515083
81,0,0,-0.062632,-0.578757,0.514591
82,1,0,-0.053453,-0.563377,0.515529
83,1,0,-0.053838,-0.548913,0.515224
84,0,0,-0.065049,-0.535488,0.51351
85,1,0,-0.059227,-0.52043,0.514012
86,1,0,-0.060123,-0.506016,0.51364
87,0,0,-0.07067,-0.492527,0.512012
88,1,0,-0.061386,-0.477137,0.512964
89,1,0,-0.065433,-0.463025,0.512182
90,0,0,-0.072608,-0.449212,0.510993
91,1,0,-0.062774,-0.43377,0.512017
92,0,0,-0.073436,-0.420292,0.510374
93,0,0,-0.076529,-0.406088,0.509716
94,0,0,-0.079824,-0.391904,0.509032
95,0,0,-0.077435,-0.377175,0.509087
96,0,0,-0.082755,-0.363185,0.508139
97,1,0,-0.075908,-0.348028,0.508775
98,1,0,-0.07729,-0.333661,0.508339
99,1,0,-0.081551,-0.319569,0.507529
100,1,0,-0.078449,-0.304772,0.507677
101,0,0,-0.08984,-0.291364,0.505939
102,1,0,-0.082753,-0.276184,0.506606
103,0,0,-0.093,-0.262667,0.505016
104,0,0,-0.093897,-0.248253,0.504644
105,1,0,-0.085771,-0.232974,0.505446
106,1,0,-0.089729,-0.218853,0.504675
107,0,0,-0.097629,-0.20511,0.503391
108,1,0,-0.091813,-0.190053,0.503892
109,1,0,-0.091667,-0.175539,0.503656
110,0,0,-0.102483,-0.162075,0.501992
111,1,0,-0.09619,-0.146972,0.502556
112,0,0,-0.105607,-0.133375,0.501074
113,1,0,-0.09907,-0.118248,0.501669
114,0,0,-0.108036,-0.104607,0.500247
115,0,0,-0.10973,-0.09027,0.49977
116,1,0,-0.102968,-0.075122,0.500395
117,1,0,-0.103053,-0.06063,0.500128
118,1,0,-0.106378,-0.046448,0.49944
119,1,0,-0.105057,-0.031822,0.499356
120,1,0,-0.10949,-0.017747,0.498523
121,0,0,-0.11356,-0.003637,0.497738
122,0,0,-0.115623,0.010666,0.497213
123,0,0,-0.120728,0.024676,0.496293
124,0,0,-0.118378,0.039402,0.496343
125,0,0,-0.12244,0.053512,0.495559
126,1,0,-0.116051,0.068625,0.496135
127,1,0,-0.115186,0.083208,0.495992
128,1,0,-0.117526,0.097484,0.495432
129,0,0,-0.128013,0.110978,0.493811
130,1,0,-0.120336,0.126214,0.494555
131,0,0,-0.128075,0.139972,0.493292
132,0,0,-0.132644,0.154034,0.492441
133,0,0,-0.134288,0.168377,0.491972
134,0,0,-0.135538,0.182757,0.491553
135,1,0,-0.124192,0.198345,0.492774
136,0,0,-0.138258,0.211496,0.490688
137,1,0,-0.109415,0.228762,0.494186
138,1,0,-0.12857,0.241425,0.491438
139,0,0,-0.141859,0.254651,0.489453
140,0,0,-0.144057,0.268941,0.488911
141,1,0,-0.134329,0.284373,0.489922
142,1,0,-0.137864,0.298535,0.489206
143,0,0,-0.14579,0.312275,0.487919
144,1,0,-0.138069,0.327515,0.488668
145,1,0,-0.138941,0.341932,0.488299
146,0,0,-0.151476,0.35523,0.486413
147,0,0,-0.153689,0.369518,0.485869
148,1,0,-0.146306,0.384726,0.486574
149,0,0,-0.154608,0.39843,0.485239
150,1,0,-0.148071,0.413557,0.485834
151,1,0,-0.151444,0.427733,0.48514
152,0,0,-0.157242,0.441677,0.48413
153,1,0,-0.150527,0.456821,0.484748
154,1,0,-0.155537,0.470841,0.483841
155,0,0,-0.163811,0.484548,0.48251
156,1,0,-0.156394,0.499759,0.483219
157,0,0,-0.167658,0.513179,0.481499
158,0,0,-0.1664,0.5278,0.481407
159,1,0,-0.161145,0.542804,0.481835
160,0,0,-0.168922,0.556558,0.480568
161,0,0,-0.173138,0.570654,0.479765
162,0,0,-0.174414,0.585032,0.479344
163,0,0,-0.17558,0.59942,0.478937
164,1,0,-0.167786,0.614667,0.479695
165,1,0,-0.168528,0.629096,0.479343
166,1,0,-0.169578,0.643496,0.478952
167,0,0,-0.181156,0.656886,0.477192
168,0,0,-0.181317,0.67137,0.476916
169,0,0,-0.183044,0.685705,0.476436
