point_id,x,y,distance_to_fit_center
1,5.947646,-0.170792,7.415704
2,5.786039,0.784415,7.321875
3,5.731295,1.702699,7.449074
4,5.287624,2.69468,7.353684
5,4.870617,3.411832,7.300496
6,4.308194,4.31868,7.339989
7,3.699102,4.941203,7.296323
8,2.929714,5.706753,7.372304
9,2.157651,6.090136,7.269138
10,1.301213,6.581851,7.334948
11,0.475862,6.90824,7.379152
12,-0.469979,7.061164,7.339618
13,-1.532373,7.065666,7.276241
14,-2.405962,7.044653,7.31533
15,-3.359061,7.04802,7.500623
16,-4.271353,6.515095,7.286278
17,-5.196726,6.142298,7.366079
18,-5.944459,5.717723,7.428353
19,-6.586914,5.006884,7.309081
20,-7.302601,4.276318,7.360215
21,-7.807924,3.555692,7.374134
22,-8.234805,2.666123,7.352825
23,-8.475565,1.692221,7.261279
24,-8.781315,0.841486,7.388606
25,-8.837287,-0.181064,7.369391
26,-8.850612,-1.180105,7.446085
27,-8.532852,-2.050484,7.300624
28,-8.255528,-2.908153,7.304084
29,-7.79403,-3.92703,7.337125
30,-7.385997,-4.633663,7.388468
31,-6.653274,-5.393949,7.331976
32,-6.017717,-6.110066,7.45035
33,-5.261156,-6.560044,7.39647
34,-4.287309,-7.052818,7.400606
35,-3.44759,-7.209352,7.27364
36,-2.457405,-7.389979,7.247548
37,-1.47749,-7.451741,7.241457
38,-0.460564,-7.537177,7.395818
39,0.496174,-7.248473,7.307107
40,1.337079,-7.035557,7.379193
41,2.203339,-6.595685,7.365573
42,2.94565,-6.098534,7.358758
43,3.778214,-5.390601,7.372781
44,4.347231,-4.71309,7.354698
45,4.86405,-3.90753,7.332384
46,5.348205,-2.939374,7.342202
47,5.570486,-2.198943,7.313985
48,5.940137,-1.154191,7.467982
