point_id,x,y,distance_to_fit_center
1,4.487448,0.710142,4.294705
2,4.41334,1.382646,4.255838
3,4.291561,2.048872,4.276331
4,4.238007,2.587775,4.411475
5,3.95016,2.982823,4.331888
6,3.579477,3.503148,4.316828
7,3.238326,3.933206,4.350928
8,2.921774,4.230795,4.363759
9,2.348275,4.428435,4.198614
10,1.859208,4.696965,4.215245
11,1.410541,4.9527,4.303679
12,0.706351,5.158728,4.364409
13,0.154177,5.040291,4.216017
14,-0.371389,5.056559,4.269729
15,-0.912392,4.985746,4.30592
16,-1.451316,4.735171,4.242824
17,-1.996027,4.508342,4.285829
18,-2.403878,4.148382,4.218859
19,-2.898352,3.795027,4.288183
20,-3.24524,3.389861,4.290856
21,-3.439231,2.975738,4.222591
22,-3.673955,2.491594,4.212178
23,-3.883727,1.943245,4.228675
24,-4.039522,1.451291,4.279937
25,-4.121436,0.865371,4.315895
26,-4.049029,0.274123,4.278834
27,-3.872934,-0.330545,4.22802
28,-3.804638,-0.811265,4.320514
29,-3.527928,-1.321989,4.296741
30,-3.334362,-1.799015,4.397028
31,-2.905474,-2.218525,4.343751
32,-2.415969,-2.622653,4.323881
33,-1.831679,-2.824588,4.173732
34,-1.606408,-3.136541,4.351091
35,-0.857474,-3.326535,4.282167
36,-0.301333,-3.443782,4.296923
37,0.226215,-3.523496,4.348078
38,0.788175,-3.365489,4.231837
39,1.375948,-3.395916,4.382692
40,1.821696,-3.038427,4.191714
41,2.306796,-2.795652,4.191424
42,2.783661,-2.574919,4.273264
43,3.204388,-2.157817,4.237316
44,3.553671,-1.696765,4.200263
45,3.845514,-1.316691,4.232749
46,4.189706,-0.826041,4.322929
47,4.315645,-0.244185,4.257673
48,4.378586,0.295503,4.217623
