segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,arc,0.0,0.870497,0.071343,-0.311553,316,0.951267,-23.781167,2.4e-05,0.058485,3.455658,6.728097,7.498733,0.0,0.126887,0.95149
2,arc,0.870497,1.733522,-0.311553,-0.552915,316,0.897207,-15.866516,2.1e-05,0.057038,3.123637,5.969275,6.670833,1e-06,0.134439,0.896822
3,arc,1.733522,3.076265,-0.552915,-0.676534,496,1.348094,-5.106715,0.000139,0.076257,2.918969,5.11533,5.792676,0.0,0.233318,1.351537
4,arc,3.076265,4.387999,-0.676534,-0.46397,491,1.32861,9.141968,0.000183,0.084073,2.948205,4.286986,4.963784,0.0,0.268461,1.332583
5,arc,4.387999,5.549456,-0.46397,0.072362,441,1.278794,24.73609,0.000221,0.099136,3.074579,3.897733,4.554945,0.0,0.281749,1.283351
6,arc,5.549456,6.580954,0.072362,1.019254,399,1.395275,42.329979,0.000549,0.176718,3.220039,3.641544,4.260644,0.0,0.329992,1.40598
7,arc,6.580954,7.353174,1.019254,2.522972,310,1.647879,62.055586,0.002611,0.589123,3.060609,3.777222,4.47129,1e-06,0.380282,1.700352
8,arc,7.353174,8.146699,2.522972,2.976811,300,0.868601,23.99698,0.000821,0.574024,8.157888,1.882721,1.060161,0.000164,0.888502,0.941955
9,line,8.146699,9.009666,2.976811,3.23795,323,0.904667,17.463998,4e-06,0.072659,6.265503,10.454376,7.711797,1.3e-05,0.116916,0.90163
10,arc,9.009666,10.125856,3.23795,3.386703,415,1.138157,11.275119,0.001022,0.278623,9.831774,2.030024,1.41453,0.000223,0.811047,1.14725
11,arc,10.125856,11.018864,3.386703,1.4827,305,2.120154,-65.08965,4.9e-05,0.380156,-27.789638,-15.379544,42.302788,7e-06,0.04971,2.102886
12,arc,11.018864,11.966758,1.4827,1.266766,348,0.949404,-3.231613,0.006002,0.763765,11.509758,1.639556,0.530013,0.000577,2.148055,1.138498
13,arc,11.966758,13.116966,1.266766,1.68811,432,1.185606,14.036132,0.014544,1.171512,12.632023,1.271699,0.639161,0.000422,2.439494,1.559229
14,arc,13.116966,14.510405,1.68811,-7.934448,321,10.385665,-82.289404,1.232261,7.08223,0.60942,-4.571524,13.957614,0.025336,0.701546,9.791903
