segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,arc,0.0,1.537905,0.076148,-0.544556,556,1.657779,-21.922459,0.000262,0.088748,3.322437,6.087228,6.867494,1e-06,0.242067,1.662392
2,arc,1.537905,2.565088,-0.544556,-0.722696,376,1.042919,-9.965619,4e-05,0.063109,3.173159,5.739101,6.491833,1e-06,0.160766,1.043666
3,arc,2.565088,3.699427,-0.722696,-0.702182,419,1.13453,1.051837,8.4e-05,0.068297,3.036341,4.522185,5.266369,0.0,0.215856,1.136778
4,arc,3.699427,4.540783,-0.702182,-0.518401,314,0.861425,12.391869,3.4e-05,0.055148,3.077998,4.126853,4.868174,0.0,0.177086,0.862087
5,arc,4.540783,5.686724,-0.518401,0.030985,432,1.269662,25.503878,0.00023,0.101804,3.21852,3.71174,4.430153,0.0,0.287741,1.274737
6,arc,5.686724,6.700457,0.030985,0.9955,389,1.395506,43.412338,0.000576,0.179175,3.310127,3.534074,4.231522,0.0,0.331982,1.404789
7,arc,6.700457,7.445016,0.9955,2.550818,296,1.688478,63.834551,0.003371,0.624901,3.170975,3.624433,4.399189,2e-06,0.394094,1.733695
8,arc,7.445016,8.235958,2.550818,2.952407,296,0.860342,23.171044,0.000475,0.448909,8.341241,1.621547,1.316921,9.4e-05,0.688353,0.906506
9,line,8.235958,9.047958,2.952407,3.21687,302,0.854003,18.044331,2e-06,0.037154,6.549194,9.506663,6.761397,1.5e-05,0.126265,0.853729
10,arc,9.047958,10.172211,3.21687,3.373694,415,1.148284,11.7425,0.001054,0.279313,9.883743,2.021109,1.409091,0.000246,0.820149,1.155665
11,arc,10.172211,11.098018,3.373694,1.466674,318,2.135717,-64.310897,5.3e-05,0.356443,-26.151217,-15.274008,40.827348,8e-06,0.051919,2.119731
12,arc,11.098018,12.039512,1.466674,1.257121,344,0.943337,-3.582054,0.006097,0.773754,11.587681,1.620115,0.524266,0.000536,2.161122,1.133002
13,arc,12.039512,13.177309,1.257121,1.69719,424,1.174251,14.314059,0.013676,1.156591,12.703551,1.26491,0.639174,0.00041,2.41367,1.542755
14,arc,13.177309,14.633086,1.69719,-9.165487,332,10.874995,-82.307027,1.505593,7.275751,-0.144526,-4.804742,14.813105,0.029912,0.741002,10.976542
